  index  ; Lutry, Croix/Lutry ; Lutry, Echerins ; Lutry, Landar ; Lutry, Corsy-Dessus ; Lutry, Brûlées ; Lutry, Ponfilet ; Lutry, Marionnettes ; Lutry, Corsy-Dessous ; La Conversion, gare ; Lutry, Colline ; Lutry, avenue William ; Lutry, Orzens ; Lutry, Les Champs ; Lutry, Voisinand ; Lutry, gare ; Count ; Direction 
  Route_A;                 Yes;              Yes;            Yes;                  Yes;             Yes;              Yes;                  Yes;                   Yes;                  Yes;             Yes;                    Yes;            Yes;                Yes;                  ;          Yes;     29;          R
  Route_B;                 Yes;              Yes;            Yes;                  Yes;             Yes;              Yes;                  Yes;                   Yes;                  Yes;             Yes;                    Yes;            Yes;                Yes;               Yes;          Yes;     29;          O
