  index  ; Pully, Clergère ; Pully, Ruisselet ; Pully, Caudoz ; Pully,Centre Sportif Rochettaz ; Belmont-sur-L., Chaffeises ; Belmont-sur-L., Burenoz ; Belmont-sur-L., Rouvène ; Belmont-sur-L., Malavaux ; Belmont-sur-L., Pâquis ; Belmont-sur-L., Grands Champs ; Count ; Direction 
  Route_A;              Yes;               Yes;            Yes;                             Yes;                         Yes;                      Yes;                      Yes;                       Yes;                        ;                            Yes;     59;          O
  Route_B;              Yes;               Yes;            Yes;                             Yes;                         Yes;                      Yes;                      Yes;                          ;                     Yes;                            Yes;     58;          R
