  index  ; Renens VD, gare sud ; Chavannes-R., Glycines ; Chavannes-R., Planta ; Chavannes-R., Concorde ; Chavannes-R., Cèdres ; Chavannes-R., Plaine ; Chavannes-R., Berges ; Chavannes-R., Mouline ; Ecublens VD, UNIL-Sorge ; Ecublens VD, Argand ; Ecublens VD, Campus des médias ; St-Sulpice VD, Pâqueret ; St-Sulpice VD, Russel ; St-Sulpice VD, Bochet ; St-Sulpice VD, centre ; St-Sulpice VD, Chantres ; St-Sulpice VD, Laviau ; St-Sulpice VD, Venoge sud ; Count ; Direction 
  Route_A;                  Yes;                     Yes;                   Yes;                     Yes;                   Yes;                   Yes;                   Yes;                    Yes;                      Yes;                  Yes;                                ;                      Yes;                    Yes;                    Yes;                    Yes;                      Yes;                    Yes;                        Yes;     77;          O
  Route_B;                  Yes;                     Yes;                   Yes;                     Yes;                   Yes;                   Yes;                   Yes;                    Yes;                      Yes;                  Yes;                             Yes;                      Yes;                    Yes;                    Yes;                    Yes;                      Yes;                    Yes;                        Yes;     77;          R
