  index  ; Epalinges, Croisettes ; Epalinges, Vaugueny ; Epalinges, Florimont ; Epalinges, Montéclard ; Epalinges, Polny ; Epalinges, Bois-de-Ban ; Epalinges, Biolleyre ; Epalinges, Ballègue ; Count ; Direction 
  Route_A;                    Yes;                  Yes;                   Yes;                    Yes;                  ;                     Yes;                      ;                  Yes;     65;          O
  Route_B;                    Yes;                  Yes;                   Yes;                    Yes;               Yes;                        ;                   Yes;                  Yes;     65;          R
