           STOP_NAME            ; STOP_NUMBER ;     EVENT      ;     85:151:5372     ;     85:151:5383     ;     85:151:5394     ;     85:151:5375     ;     85:151:5384     ;     85:151:5397     ;     85:151:5376     ;     85:151:5387     ;     85:151:5398     ;     85:151:5379     ;     85:151:5388     ;     85:151:5401     ;     85:151:5391     ;     85:151:5402     ;     85:151:5405     ;     85:151:5406     ;     85:151:5409     ;     85:151:5410     ;     85:151:5413     ;     85:151:5414     ;     85:151:5417     ;     85:151:5434     ;     85:151:5444     ;     85:151:5418     ;     85:151:5437     ;     85:151:5445     ;     85:151:5421     ;     85:151:5438     ;     85:151:5448     ;     85:151:5422     ;     85:151:5441     ;     85:151:5449     ;     85:151:5425     ;     85:151:5426     ;     85:151:5429     ;     85:151:5430     
             Mex VD, Les Esserts;      8588850;    ARRIVAL_REAL;  2025-07-01 06:15:15;  2025-07-01 06:43:35;  2025-07-01 06:45:44;  2025-07-01 07:13:06;  2025-07-01 07:14:01;  2025-07-01 07:44:03;  2025-07-01 07:47:06;  2025-07-01 08:13:55;  2025-07-01 08:16:32;  2025-07-01 08:41:30;  2025-07-01 08:46:52;  2025-07-01 09:11:22;  2025-07-01 09:42:14;  2025-07-01 09:45:42;  2025-07-01 10:41:15;  2025-07-01 11:18:34;  2025-07-01 12:18:53;  2025-07-01 12:47:53;  2025-07-01 13:43:11;  2025-07-01 14:17:40;  2025-07-01 15:34:14;  2025-07-01 15:48:58;  2025-07-01 16:25:01;  2025-07-01 16:22:06;  2025-07-01 16:44:49;  2025-07-01 16:51:30;  2025-07-01 17:14:46;  2025-07-01 17:20:36;  2025-07-01 17:45:38;  2025-07-01 17:45:48;  2025-07-01 18:18:35;  2025-07-01 18:17:35;  2025-07-01 18:43:15;  2025-07-01 19:15:56;  2025-07-01 20:11:47;  2025-07-01 20:45:45
             Mex VD, Les Esserts;      8588850;  DEPARTURE_REAL;  2025-07-01 06:15:25;  2025-07-01 06:43:35;  2025-07-01 06:46:27;  2025-07-01 07:13:25;  2025-07-01 07:14:01;  2025-07-01 07:44:36;  2025-07-01 07:47:29;  2025-07-01 08:14:17;  2025-07-01 08:16:32;  2025-07-01 08:41:43;  2025-07-01 08:46:52;  2025-07-01 09:11:42;  2025-07-01 09:42:15;  2025-07-01 09:45:42;  2025-07-01 10:41:15;  2025-07-01 11:18:54;  2025-07-01 12:19:14;  2025-07-01 12:47:53;  2025-07-01 13:43:50;  2025-07-01 14:17:40;  2025-07-01 15:40:59;  2025-07-01 15:49:13;  2025-07-01 16:25:24;  2025-07-01 16:22:31;  2025-07-01 16:44:49;  2025-07-01 16:51:46;  2025-07-01 17:15:06;  2025-07-01 17:21:08;  2025-07-01 17:46:25;  2025-07-01 17:47:04;  2025-07-01 18:18:47;  2025-07-01 18:18:31;  2025-07-01 18:43:34;  2025-07-01 19:16:41;  2025-07-01 20:11:47;  2025-07-01 20:46:05
  Villars-Ste-Croix, Croix Péage;      8588846;    ARRIVAL_REAL;  2025-07-01 06:11:33;  2025-07-01 06:46:35;  2025-07-01 06:41:44;  2025-07-01 07:17:01;  2025-07-01 07:09:23;  2025-07-01 07:47:34;  2025-07-01 07:42:59;  2025-07-01 08:17:40;  2025-07-01 08:12:13;  2025-07-01 08:44:44;  2025-07-01 08:42:59;  2025-07-01 09:14:39;  2025-07-01 09:45:11;  2025-07-01 09:42:04;  2025-07-01 10:44:35;  2025-07-01 11:14:30;  2025-07-01 12:23:15;  2025-07-01 12:43:51;  2025-07-01 13:47:09;  2025-07-01 14:13:44;  2025-07-01 15:44:33;  2025-07-01 15:45:03;  2025-07-01 16:28:46;  2025-07-01 16:16:32;  2025-07-01 16:48:33;  2025-07-01 16:48:21;  2025-07-01 17:18:48;  2025-07-01 17:15:30;  2025-07-01 17:49:57;  2025-07-01 17:42:24;  2025-07-01 18:22:10;  2025-07-01 18:13:54;  2025-07-01 18:46:55;  2025-07-01 19:12:42;  2025-07-01 20:15:07;  2025-07-01 20:42:09
  Villars-Ste-Croix, Croix Péage;      8588846;  DEPARTURE_REAL;  2025-07-01 06:11:45;  2025-07-01 06:47:26;  2025-07-01 06:41:44;  2025-07-01 07:17:01;  2025-07-01 07:09:26;  2025-07-01 07:47:34;  2025-07-01 07:43:19;  2025-07-01 08:17:50;  2025-07-01 08:12:13;  2025-07-01 08:45:03;  2025-07-01 08:43:16;  2025-07-01 09:14:39;  2025-07-01 09:45:15;  2025-07-01 09:42:24;  2025-07-01 10:44:35;  2025-07-01 11:14:54;  2025-07-01 12:23:15;  2025-07-01 12:44:07;  2025-07-01 13:47:09;  2025-07-01 14:14:11;  2025-07-01 15:44:33;  2025-07-01 15:45:16;  2025-07-01 16:28:46;  2025-07-01 16:18:30;  2025-07-01 16:48:33;  2025-07-01 16:48:21;  2025-07-01 17:18:48;  2025-07-01 17:16:51;  2025-07-01 17:50:07;  2025-07-01 17:42:44;  2025-07-01 18:22:10;  2025-07-01 18:14:15;  2025-07-01 18:46:55;  2025-07-01 19:13:01;  2025-07-01 20:15:07;  2025-07-01 20:42:26
               Crissier, Timonet;      8588845;    ARRIVAL_REAL;  2025-07-01 06:09:54;  2025-07-01 06:49:45;  2025-07-01 06:38:45;  2025-07-01 07:18:59;  2025-07-01 07:07:43;  2025-07-01 07:49:54;  2025-07-01 07:40:50;  2025-07-01 08:19:57;  2025-07-01 08:09:52;  2025-07-01 08:46:58;  2025-07-01 08:41:17;  2025-07-01 09:16:40;  2025-07-01 09:47:15;  2025-07-01 09:40:31;  2025-07-01 10:46:55;  2025-07-01 11:12:33;  2025-07-01 12:25:12;  2025-07-01 12:41:59;  2025-07-01 13:49:49;  2025-07-01 14:12:01;  2025-07-01 15:46:33;  2025-07-01 15:42:59;  2025-07-01 16:30:46;  2025-07-01 16:14:10;  2025-07-01 16:50:56;  2025-07-01 16:46:17;  2025-07-01 17:22:46;  2025-07-01 17:13:12;  2025-07-01 17:52:06;  2025-07-01 17:40:46;  2025-07-01 18:24:06;  2025-07-01 18:12:01;  2025-07-01 18:48:48;  2025-07-01 19:11:02;  2025-07-01 20:17:08;  2025-07-01 20:40:29
               Crissier, Timonet;      8588845;  DEPARTURE_REAL;  2025-07-01 06:10:10;  2025-07-01 06:49:56;  2025-07-01 06:39:20;  2025-07-01 07:18:59;  2025-07-01 07:07:45;  2025-07-01 07:49:54;  2025-07-01 07:41:16;  2025-07-01 08:20:27;  2025-07-01 08:10:12;  2025-07-01 08:47:07;  2025-07-01 08:41:17;  2025-07-01 09:16:40;  2025-07-01 09:47:15;  2025-07-01 09:40:31;  2025-07-01 10:46:55;  2025-07-01 11:12:54;  2025-07-01 12:25:34;  2025-07-01 12:42:07;  2025-07-01 13:49:49;  2025-07-01 14:12:11;  2025-07-01 15:46:58;  2025-07-01 15:43:12;  2025-07-01 16:30:56;  2025-07-01 16:14:30;  2025-07-01 16:50:56;  2025-07-01 16:46:26;  2025-07-01 17:22:46;  2025-07-01 17:13:26;  2025-07-01 17:52:36;  2025-07-01 17:40:59;  2025-07-01 18:24:06;  2025-07-01 18:12:08;  2025-07-01 18:48:48;  2025-07-01 19:11:12;  2025-07-01 20:17:27;  2025-07-01 20:41:06
                Crissier, centre;      8588843;    ARRIVAL_REAL;  2025-07-01 06:09:11;  2025-07-01 06:50:43;  2025-07-01 06:38:20;  2025-07-01 07:20:04;  2025-07-01 07:06:32;  2025-07-01 07:50:55;  2025-07-01 07:40:16;  2025-07-01 08:21:13;  2025-07-01 08:08:52;  2025-07-01 08:48:15;  2025-07-01 08:40:24;  2025-07-01 09:17:29;  2025-07-01 09:48:06;  2025-07-01 09:39:23;  2025-07-01 10:47:55;  2025-07-01 11:11:14;  2025-07-01 12:26:35;  2025-07-01 12:40:34;  2025-07-01 13:50:56;  2025-07-01 14:11:08;  2025-07-01 15:48:04;  2025-07-01 15:42:02;  2025-07-01 16:32:28;  2025-07-01 16:12:50;  2025-07-01 16:51:54;  2025-07-01 16:45:09;  2025-07-01 17:24:06;  2025-07-01 17:11:56;  2025-07-01 17:53:25;  2025-07-01 17:39:25;  2025-07-01 18:24:51;  2025-07-01 18:10:59;  2025-07-01 18:49:48;  2025-07-01 19:09:42;  2025-07-01 20:18:12;  2025-07-01 20:39:46
                Crissier, centre;      8588843;  DEPARTURE_REAL;  2025-07-01 06:09:11;  2025-07-01 06:51:15;  2025-07-01 06:38:20;  2025-07-01 07:20:29;  2025-07-01 07:06:57;  2025-07-01 07:50:55;  2025-07-01 07:40:16;  2025-07-01 08:21:27;  2025-07-01 08:09:12;  2025-07-01 08:48:35;  2025-07-01 08:40:50;  2025-07-01 09:17:40;  2025-07-01 09:48:15;  2025-07-01 09:40:04;  2025-07-01 10:47:55;  2025-07-01 11:11:54;  2025-07-01 12:26:35;  2025-07-01 12:41:14;  2025-07-01 13:51:29;  2025-07-01 14:11:40;  2025-07-01 15:48:13;  2025-07-01 15:42:18;  2025-07-01 16:32:28;  2025-07-01 16:13:30;  2025-07-01 16:51:55;  2025-07-01 16:45:27;  2025-07-01 17:24:26;  2025-07-01 17:12:26;  2025-07-01 17:53:56;  2025-07-01 17:40:24;  2025-07-01 18:25:10;  2025-07-01 18:11:10;  2025-07-01 18:49:48;  2025-07-01 19:10:22;  2025-07-01 20:18:19;  2025-07-01 20:40:06
                Crissier, Chisaz;      8595148;    ARRIVAL_REAL;  2025-07-01 06:07:50;  2025-07-01 06:52:11;  2025-07-01 06:37:20;  2025-07-01 07:21:28;  2025-07-01 07:05:08;  2025-07-01 07:52:14;  2025-07-01 07:39:03;  2025-07-01 08:22:22;  2025-07-01 08:07:49;  2025-07-01 08:49:23;  2025-07-01 08:39:20;  2025-07-01 09:18:30;  2025-07-01 09:49:03;  2025-07-01 09:38:05;  2025-07-01 10:49:04;  2025-07-01 11:10:02;  2025-07-01 12:27:54;  2025-07-01 12:39:15;  2025-07-01 13:52:32;  2025-07-01 14:10:04;  2025-07-01 15:49:32;  2025-07-01 15:39:36;  2025-07-01 16:33:18;  2025-07-01 16:11:45;  2025-07-01 16:52:55;  2025-07-01 16:44:01;  2025-07-01 17:25:26;  2025-07-01 17:10:35;  2025-07-01 17:54:54;  2025-07-01 17:38:13;  2025-07-01 18:26:06;  2025-07-01 18:09:10;  2025-07-01 18:50:42;  2025-07-01 19:08:42;  2025-07-01 20:19:07;  2025-07-01 20:38:49
                Crissier, Chisaz;      8595148;  DEPARTURE_REAL;  2025-07-01 06:07:50;  2025-07-01 06:52:11;  2025-07-01 06:37:20;  2025-07-01 07:21:28;  2025-07-01 07:05:08;  2025-07-01 07:52:14;  2025-07-01 07:39:03;  2025-07-01 08:22:22;  2025-07-01 08:07:49;  2025-07-01 08:49:23;  2025-07-01 08:39:20;  2025-07-01 09:18:30;  2025-07-01 09:49:03;  2025-07-01 09:38:05;  2025-07-01 10:49:16;  2025-07-01 11:10:09;  2025-07-01 12:27:54;  2025-07-01 12:39:15;  2025-07-01 13:52:32;  2025-07-01 14:10:04;  2025-07-01 15:49:32;  2025-07-01 15:39:36;  2025-07-01 16:33:18;  2025-07-01 16:11:45;  2025-07-01 16:52:55;  2025-07-01 16:44:01;  2025-07-01 17:25:26;  2025-07-01 17:10:35;  2025-07-01 17:54:54;  2025-07-01 17:38:26;  2025-07-01 18:26:06;  2025-07-01 18:09:10;  2025-07-01 18:50:48;  2025-07-01 19:08:42;  2025-07-01 20:19:07;  2025-07-01 20:39:00
              Crissier, Marcolet;      8593816;    ARRIVAL_REAL;  2025-07-01 06:06:54;  2025-07-01 06:52:59;  2025-07-01 06:36:22;  2025-07-01 07:22:25;  2025-07-01 07:04:04;  2025-07-01 07:53:12;  2025-07-01 07:37:53;  2025-07-01 08:23:22;  2025-07-01 08:06:49;  2025-07-01 08:50:12;  2025-07-01 08:38:39;  2025-07-01 09:19:14;  2025-07-01 09:49:44;  2025-07-01 09:37:05;  2025-07-01 10:50:04;  2025-07-01 11:08:54;  2025-07-01 12:28:56;  2025-07-01 12:38:15;  2025-07-01 13:53:10;  2025-07-01 14:08:42;  2025-07-01 15:50:32;  2025-07-01 15:38:16;  2025-07-01 16:34:30;  2025-07-01 16:09:12;  2025-07-01 16:53:55;  2025-07-01 16:42:49;  2025-07-01 17:26:26;  2025-07-01 17:09:06;  2025-07-01 17:55:52;  2025-07-01 17:37:26;  2025-07-01 18:26:50;  2025-07-01 18:07:25;  2025-07-01 18:51:31;  2025-07-01 19:07:40;  2025-07-01 20:20:07;  2025-07-01 20:37:46
              Crissier, Marcolet;      8593816;  DEPARTURE_REAL;  2025-07-01 06:07:04;  2025-07-01 06:52:59;  2025-07-01 06:36:40;  2025-07-01 07:22:45;  2025-07-01 07:04:05;  2025-07-01 07:53:34;  2025-07-01 07:38:11;  2025-07-01 08:23:37;  2025-07-01 08:06:49;  2025-07-01 08:50:12;  2025-07-01 08:38:39;  2025-07-01 09:19:30;  2025-07-01 09:49:46;  2025-07-01 09:37:25;  2025-07-01 10:50:14;  2025-07-01 11:09:09;  2025-07-01 12:29:14;  2025-07-01 12:38:15;  2025-07-01 13:53:29;  2025-07-01 14:09:02;  2025-07-01 15:50:41;  2025-07-01 15:38:36;  2025-07-01 16:34:30;  2025-07-01 16:10:50;  2025-07-01 16:54:36;  2025-07-01 16:43:06;  2025-07-01 17:26:26;  2025-07-01 17:09:32;  2025-07-01 17:57:03;  2025-07-01 17:37:26;  2025-07-01 18:26:50;  2025-07-01 18:08:02;  2025-07-01 18:51:31;  2025-07-01 19:07:46;  2025-07-01 20:20:07;  2025-07-01 20:38:00
             Crissier, Zinguerie;      8591939;    ARRIVAL_REAL;  2025-07-01 06:06:14;  2025-07-01 06:54:17;  2025-07-01 06:35:40;  2025-07-01 07:24:00;  2025-07-01 07:03:05;  2025-07-01 07:55:07;  2025-07-01 07:36:53;  2025-07-01 08:25:06;  2025-07-01 08:05:52;  2025-07-01 08:51:23;  2025-07-01 08:37:38;  2025-07-01 09:21:13;  2025-07-01 09:52:10;  2025-07-01 09:36:05;  2025-07-01 10:51:50;  2025-07-01 11:07:13;  2025-07-01 12:30:51;  2025-07-01 12:36:55;  2025-07-01 13:54:12;  2025-07-01 14:07:45;  2025-07-01 15:52:12;  2025-07-01 15:36:48;  2025-07-01 16:36:16;  2025-07-01 16:07:57;  2025-07-01 16:56:45;  2025-07-01 16:41:49;  2025-07-01 17:27:32;  2025-07-01 17:07:50;  2025-07-01 17:58:19;  2025-07-01 17:36:44;  2025-07-01 18:28:22;  2025-07-01 18:06:25;  2025-07-01 18:52:37;  2025-07-01 19:06:29;  2025-07-01 20:21:31;  2025-07-01 20:37:00
             Crissier, Zinguerie;      8591939;  DEPARTURE_REAL;  2025-07-01 06:06:14;  2025-07-01 06:54:30;  2025-07-01 06:35:40;  2025-07-01 07:24:19;  2025-07-01 07:03:05;  2025-07-01 07:55:07;  2025-07-01 07:36:53;  2025-07-01 08:25:33;  2025-07-01 08:05:52;  2025-07-01 08:51:37;  2025-07-01 08:37:38;  2025-07-01 09:21:30;  2025-07-01 09:52:10;  2025-07-01 09:36:25;  2025-07-01 10:52:14;  2025-07-01 11:07:54;  2025-07-01 12:31:14;  2025-07-01 12:37:15;  2025-07-01 13:54:50;  2025-07-01 14:07:45;  2025-07-01 15:52:32;  2025-07-01 15:36:56;  2025-07-01 16:36:40;  2025-07-01 16:07:57;  2025-07-01 16:57:13;  2025-07-01 16:41:49;  2025-07-01 17:27:46;  2025-07-01 17:08:12;  2025-07-01 17:58:43;  2025-07-01 17:36:44;  2025-07-01 18:28:47;  2025-07-01 18:06:25;  2025-07-01 18:53:14;  2025-07-01 19:06:46;  2025-07-01 20:21:47;  2025-07-01 20:37:00
                  Crissier, Jura;      8593815;    ARRIVAL_REAL;  2025-07-01 06:04:56;  2025-07-01 06:55:02;  2025-07-01 06:34:40;  2025-07-01 07:25:04;  2025-07-01 07:01:23;  2025-07-01 07:55:51;  2025-07-01 07:35:55;  2025-07-01 08:26:08;  2025-07-01 08:04:54;  2025-07-01 08:52:10;  2025-07-01 08:35:17;  2025-07-01 09:21:53;  2025-07-01 09:52:46;  2025-07-01 09:35:05;  2025-07-01 10:52:34;  2025-07-01 11:05:34;  2025-07-01 12:32:14;  2025-07-01 12:36:15;  2025-07-01 13:55:13;  2025-07-01 14:06:43;  2025-07-01 15:53:12;  2025-07-01 15:35:39;  2025-07-01 16:37:16;  2025-07-01 16:05:53;  2025-07-01 16:57:54;  2025-07-01 16:40:31;  2025-07-01 17:28:28;  2025-07-01 17:06:53;  2025-07-01 17:59:20;  2025-07-01 17:35:26;  2025-07-01 18:29:26;  2025-07-01 18:04:50;  2025-07-01 18:53:55;  2025-07-01 19:05:46;  2025-07-01 20:22:11;  2025-07-01 20:35:46
                  Crissier, Jura;      8593815;  DEPARTURE_REAL;  2025-07-01 06:05:19;  2025-07-01 06:55:02;  2025-07-01 06:34:40;  2025-07-01 07:25:04;  2025-07-01 07:02:08;  2025-07-01 07:55:51;  2025-07-01 07:36:05;  2025-07-01 08:26:08;  2025-07-01 08:04:54;  2025-07-01 08:52:10;  2025-07-01 08:36:35;  2025-07-01 09:21:53;  2025-07-01 09:52:46;  2025-07-01 09:35:25;  2025-07-01 10:52:34;  2025-07-01 11:06:20;  2025-07-01 12:32:14;  2025-07-01 12:36:15;  2025-07-01 13:55:29;  2025-07-01 14:06:43;  2025-07-01 15:53:12;  2025-07-01 15:35:39;  2025-07-01 16:37:16;  2025-07-01 16:06:53;  2025-07-01 16:58:14;  2025-07-01 16:40:35;  2025-07-01 17:28:28;  2025-07-01 17:06:53;  2025-07-01 17:59:20;  2025-07-01 17:35:49;  2025-07-01 18:29:26;  2025-07-01 18:05:17;  2025-07-01 18:53:55;  2025-07-01 19:05:46;  2025-07-01 20:22:11;  2025-07-01 20:35:55
            Renens VD, gare nord;      8588838;    ARRIVAL_REAL;                     ;  2025-07-01 06:55:43;                     ;  2025-07-01 07:25:39;                     ;  2025-07-01 07:57:18;                     ;  2025-07-01 08:27:46;                     ;  2025-07-01 08:53:06;                     ;  2025-07-01 09:22:30;  2025-07-01 09:53:24;                     ;  2025-07-01 10:53:14;                     ;  2025-07-01 12:34:03;                     ;  2025-07-01 13:55:50;                     ;  2025-07-01 15:53:32;                     ;  2025-07-01 16:39:41;                     ;  2025-07-01 17:00:28;                     ;  2025-07-01 17:31:59;                     ;  2025-07-01 18:00:27;                     ;  2025-07-01 18:31:35;                     ;  2025-07-01 18:54:32;                     ;  2025-07-01 20:22:47;                     
            Renens VD, gare nord;      8588838;  DEPARTURE_REAL;  2025-07-01 06:03:56;                     ;  2025-07-01 06:33:00;                     ;  2025-07-01 07:00:23;                     ;  2025-07-01 07:33:59;                     ;  2025-07-01 08:03:12;                     ;  2025-07-01 08:34:17;                     ;                     ;  2025-07-01 09:33:26;                     ;  2025-07-01 11:04:34;                     ;  2025-07-01 12:34:14;                     ;  2025-07-01 14:04:22;                     ;  2025-07-01 15:33:36;                     ;  2025-07-01 16:03:12;                     ;  2025-07-01 16:38:46;                     ;  2025-07-01 17:04:32;                     ;  2025-07-01 17:34:26;                     ;  2025-07-01 18:03:50;                     ;  2025-07-01 19:03:43;                     ;  2025-07-01 20:34:46
