           STOP_NAME            ; STOP_NUMBER ;     EVENT      ;     85:151:5372     ;     85:151:5383     ;     85:151:5394     ;     85:151:5375     ;     85:151:5384     ;     85:151:5397     ;     85:151:5376     ;     85:151:5387     ;     85:151:5398     ;     85:151:5379     ;     85:151:5388     ;     85:151:5401     ;     85:151:5391     ;     85:151:5402     ;     85:151:5405     ;     85:151:5406     ;     85:151:5409     ;     85:151:5410     ;     85:151:5413     ;     85:151:5414     ;     85:151:5417     ;     85:151:5434     ;     85:151:5444     ;     85:151:5418     ;     85:151:5437     ;     85:151:5445     ;     85:151:5421     ;     85:151:5438     ;     85:151:5448     ;     85:151:5422     ;     85:151:5441     ;     85:151:5449     ;     85:151:5425     ;     85:151:5426     ;     85:151:5429     ;     85:151:5430     
                Penthaz, village;      8501299;    ARRIVAL_REAL;  2025-07-01 06:28:37;  2025-07-01 06:29:55;  2025-07-01 06:58:39;  2025-07-01 06:59:16;  2025-07-01 07:29:07;  2025-07-01 07:30:58;  2025-07-01 08:00:31;  2025-07-01 08:00:58;  2025-07-01 08:29:14;  2025-07-01 08:28:50;  2025-07-01 08:59:34;  2025-07-01 08:59:43;  2025-07-01 09:29:16;  2025-07-01 09:58:11;  2025-07-01 10:28:59;  2025-07-01 11:29:48;  2025-07-01 12:05:14;  2025-07-01 13:00:56;  2025-07-01 13:30:54;  2025-07-01 14:31:20;  2025-07-01 15:18:23;  2025-07-01 16:02:45;  2025-07-01 16:07:28;  2025-07-01 16:36:30;  2025-07-01 16:30:41;  2025-07-01 16:58:32;  2025-07-01 17:01:09;  2025-07-01 17:35:51;  2025-07-01 17:32:18;  2025-07-01 18:00:47;  2025-07-01 18:03:25;  2025-07-01 18:32:45;  2025-07-01 18:30:18;  2025-07-01 19:30:05;  2025-07-01 19:59:33;  2025-07-01 20:58:36
                Penthaz, village;      8501299;  DEPARTURE_REAL;  2025-07-01 06:28:53;  2025-07-01 06:29:55;  2025-07-01 06:58:59;  2025-07-01 06:59:51;  2025-07-01 07:29:43;  2025-07-01 07:31:16;  2025-07-01 08:01:47;  2025-07-01 08:00:58;  2025-07-01 08:29:52;  2025-07-01 08:29:26;  2025-07-01 08:59:34;  2025-07-01 09:00:20;  2025-07-01 09:29:25;  2025-07-01 09:58:31;  2025-07-01 10:29:39;  2025-07-01 11:30:34;  2025-07-01 12:05:34;  2025-07-01 13:01:13;  2025-07-01 13:30:54;  2025-07-01 14:31:40;  2025-07-01 15:18:36;  2025-07-01 16:02:56;  2025-07-01 16:08:46;  2025-07-01 16:36:50;  2025-07-01 16:30:47;  2025-07-01 17:06:04;  2025-07-01 17:01:29;  2025-07-01 17:36:08;  2025-07-01 17:32:33;  2025-07-01 18:00:47;  2025-07-01 18:03:48;  2025-07-01 18:32:45;  2025-07-01 18:30:37;  2025-07-01 19:30:05;  2025-07-01 19:59:33;  2025-07-01 20:58:53
  Vufflens-la-Ville,grande salle;      8593779;    ARRIVAL_REAL;  2025-07-01 06:24:36;  2025-07-01 06:34:06;  2025-07-01 06:54:59;  2025-07-01 07:03:46;  2025-07-01 07:24:00;  2025-07-01 07:34:56;  2025-07-01 07:55:44;  2025-07-01 08:04:21;  2025-07-01 08:25:32;  2025-07-01 08:33:10;  2025-07-01 08:55:30;  2025-07-01 09:03:08;  2025-07-01 09:32:43;  2025-07-01 09:53:58;  2025-07-01 10:32:57;  2025-07-01 11:26:34;  2025-07-01 12:09:09;  2025-07-01 12:56:31;  2025-07-01 13:34:10;  2025-07-01 14:27:20;  2025-07-01 15:22:16;  2025-07-01 15:58:21;  2025-07-01 16:12:52;  2025-07-01 16:32:30;  2025-07-01 16:34:47;  2025-07-01 16:58:32;  2025-07-01 17:05:29;  2025-07-01 17:30:59;  2025-07-01 17:36:22;  2025-07-01 17:55:44;  2025-07-01 18:07:51;  2025-07-01 18:28:17;  2025-07-01 18:34:34;  2025-07-01 19:25:46;  2025-07-01 20:03:08;  2025-07-01 20:54:34
  Vufflens-la-Ville,grande salle;      8593779;  DEPARTURE_REAL;  2025-07-01 06:24:36;  2025-07-01 06:34:06;  2025-07-01 06:54:59;  2025-07-01 07:03:55;  2025-07-01 07:24:23;  2025-07-01 07:35:16;  2025-07-01 07:56:09;  2025-07-01 08:04:37;  2025-07-01 08:25:52;  2025-07-01 08:33:10;  2025-07-01 08:55:30;  2025-07-01 09:03:08;  2025-07-01 09:33:12;  2025-07-01 09:54:35;  2025-07-01 10:32:57;  2025-07-01 11:26:34;  2025-07-01 12:09:34;  2025-07-01 12:56:53;  2025-07-01 13:34:29;  2025-07-01 14:27:40;  2025-07-01 15:22:35;  2025-07-01 15:58:25;  2025-07-01 16:12:52;  2025-07-01 16:32:50;  2025-07-01 16:35:00;  2025-07-01 16:58:32;  2025-07-01 17:05:29;  2025-07-01 17:31:28;  2025-07-01 17:36:33;  2025-07-01 17:56:04;  2025-07-01 18:08:28;  2025-07-01 18:28:35;  2025-07-01 18:34:34;  2025-07-01 19:26:00;  2025-07-01 20:03:28;  2025-07-01 20:54:54
       Vufflens-la-Ville, église;      8593781;    ARRIVAL_REAL;  2025-07-01 06:22:26;  2025-07-01 06:35:36;  2025-07-01 06:53:39;  2025-07-01 07:05:25;  2025-07-01 07:21:58;  2025-07-01 07:36:56;  2025-07-01 07:53:56;  2025-07-01 08:06:37;  2025-07-01 08:23:25;  2025-07-01 08:34:39;  2025-07-01 08:53:33;  2025-07-01 09:04:33;  2025-07-01 09:34:39;  2025-07-01 09:52:15;  2025-07-01 10:34:17;  2025-07-01 11:25:14;  2025-07-01 12:11:14;  2025-07-01 12:54:53;  2025-07-01 13:35:49;  2025-07-01 14:26:00;  2025-07-01 15:23:56;  2025-07-01 15:56:01;  2025-07-01 16:14:52;  2025-07-01 16:31:11;  2025-07-01 16:36:41;  2025-07-01 16:58:32;  2025-07-01 17:06:50;  2025-07-01 17:28:48;  2025-07-01 17:38:12;  2025-07-01 17:53:57;  2025-07-01 18:10:03;  2025-07-01 18:26:28;  2025-07-01 18:35:52;  2025-07-01 19:23:40;  2025-07-01 20:04:48;  2025-07-01 20:53:00
       Vufflens-la-Ville, église;      8593781;  DEPARTURE_REAL;  2025-07-01 06:22:53;  2025-07-01 06:36:02;  2025-07-01 06:53:39;  2025-07-01 07:05:47;  2025-07-01 07:21:58;  2025-07-01 07:37:16;  2025-07-01 07:54:29;  2025-07-01 08:06:57;  2025-07-01 08:23:52;  2025-07-01 08:35:06;  2025-07-01 08:53:48;  2025-07-01 09:05:08;  2025-07-01 09:34:39;  2025-07-01 09:52:35;  2025-07-01 10:34:37;  2025-07-01 11:25:14;  2025-07-01 12:11:34;  2025-07-01 12:54:53;  2025-07-01 13:36:29;  2025-07-01 14:26:00;  2025-07-01 15:24:36;  2025-07-01 15:56:36;  2025-07-01 16:16:45;  2025-07-01 16:31:11;  2025-07-01 16:36:56;  2025-07-01 16:58:32;  2025-07-01 17:07:29;  2025-07-01 17:29:08;  2025-07-01 17:38:22;  2025-07-01 17:53:57;  2025-07-01 18:10:03;  2025-07-01 18:26:28;  2025-07-01 18:35:52;  2025-07-01 19:24:00;  2025-07-01 20:05:08;  2025-07-01 20:53:00
                 Mex VD, village;      8588853;    ARRIVAL_REAL;  2025-07-01 06:18:06;  2025-07-01 06:40:27;  2025-07-01 06:49:40;  2025-07-01 07:10:06;  2025-07-01 07:17:05;  2025-07-01 07:40:59;  2025-07-01 07:49:51;  2025-07-01 08:10:57;  2025-07-01 08:19:36;  2025-07-01 08:38:57;  2025-07-01 08:49:17;  2025-07-01 09:08:27;  2025-07-01 09:39:07;  2025-07-01 09:48:01;  2025-07-01 10:38:15;  2025-07-01 11:21:04;  2025-07-01 12:16:06;  2025-07-01 12:50:08;  2025-07-01 13:40:29;  2025-07-01 14:21:20;  2025-07-01 15:29:14;  2025-07-01 15:51:37;  2025-07-01 16:20:58;  2025-07-01 16:26:05;  2025-07-01 16:41:46;  2025-07-01 16:54:32;  2025-07-01 17:11:46;  2025-07-01 17:23:57;  2025-07-01 17:42:58;  2025-07-01 17:49:45;  2025-07-01 18:14:25;  2025-07-01 18:21:30;  2025-07-01 18:40:14;  2025-07-01 19:19:20;  2025-07-01 20:09:08;  2025-07-01 20:48:04
                 Mex VD, village;      8588853;  DEPARTURE_REAL;  2025-07-01 06:18:33;  2025-07-01 06:40:43;  2025-07-01 06:49:40;  2025-07-01 07:10:25;  2025-07-01 07:17:34;  2025-07-01 07:41:36;  2025-07-01 07:50:09;  2025-07-01 08:11:30;  2025-07-01 08:19:52;  2025-07-01 08:39:15;  2025-07-01 08:49:33;  2025-07-01 09:08:49;  2025-07-01 09:39:29;  2025-07-01 09:48:17;  2025-07-01 10:38:55;  2025-07-01 11:21:14;  2025-07-01 12:16:34;  2025-07-01 12:50:33;  2025-07-01 13:40:49;  2025-07-01 14:21:20;  2025-07-01 15:29:36;  2025-07-01 15:51:49;  2025-07-01 16:21:38;  2025-07-01 16:26:30;  2025-07-01 16:42:14;  2025-07-01 16:54:32;  2025-07-01 17:12:06;  2025-07-01 17:24:08;  2025-07-01 17:43:19;  2025-07-01 17:50:04;  2025-07-01 18:15:03;  2025-07-01 18:21:44;  2025-07-01 18:40:52;  2025-07-01 19:19:20;  2025-07-01 20:09:27;  2025-07-01 20:48:41
                   Mex VD, Trésy;      8588851;    ARRIVAL_REAL;  2025-07-01 06:15:58;  2025-07-01 06:42:34;  2025-07-01 06:47:22;  2025-07-01 07:12:05;  2025-07-01 07:15:01;  2025-07-01 07:43:04;  2025-07-01 07:48:09;  2025-07-01 08:13:02;  2025-07-01 08:17:34;  2025-07-01 08:40:43;  2025-07-01 08:47:27;  2025-07-01 09:10:11;  2025-07-01 09:40:57;  2025-07-01 09:46:17;  2025-07-01 10:40:24;  2025-07-01 11:19:14;  2025-07-01 12:18:04;  2025-07-01 12:48:17;  2025-07-01 13:42:30;  2025-07-01 14:18:16;  2025-07-01 15:31:34;  2025-07-01 15:49:49;  2025-07-01 16:23:28;  2025-07-01 16:23:30;  2025-07-01 16:43:58;  2025-07-01 16:52:27;  2025-07-01 17:13:46;  2025-07-01 17:21:52;  2025-07-01 17:44:56;  2025-07-01 17:48:04;  2025-07-01 18:17:03;  2025-07-01 18:19:19;  2025-07-01 18:42:34;  2025-07-01 19:17:20;  2025-07-01 20:11:07;  2025-07-01 20:46:26
                   Mex VD, Trésy;      8588851;  DEPARTURE_REAL;  2025-07-01 06:16:13;  2025-07-01 06:42:43;  2025-07-01 06:47:22;  2025-07-01 07:12:25;  2025-07-01 07:15:02;  2025-07-01 07:43:36;  2025-07-01 07:48:09;  2025-07-01 08:13:05;  2025-07-01 08:17:34;  2025-07-01 08:40:43;  2025-07-01 08:47:27;  2025-07-01 09:10:49;  2025-07-01 09:41:34;  2025-07-01 09:46:17;  2025-07-01 10:40:35;  2025-07-01 11:19:14;  2025-07-01 12:18:14;  2025-07-01 12:48:33;  2025-07-01 13:42:30;  2025-07-01 14:18:16;  2025-07-01 15:33:14;  2025-07-01 15:49:49;  2025-07-01 16:24:06;  2025-07-01 16:24:10;  2025-07-01 16:43:58;  2025-07-01 16:52:27;  2025-07-01 17:14:06;  2025-07-01 17:22:08;  2025-07-01 17:44:56;  2025-07-01 17:48:04;  2025-07-01 18:17:03;  2025-07-01 18:19:19;  2025-07-01 18:42:52;  2025-07-01 19:17:20;  2025-07-01 20:11:07;  2025-07-01 20:46:26
