LINE_ID;LINE_NAME;TRANSPORTER;MEAN_OF_TRANSPORT;JOURNEY_ID;STOP_NUMBER;CANCELLED;ARRIVAL;ARRIVAL_REAL;ARRIVAL_REAL_STATUS;DEPARTURE;DEPARTURE_REAL;DEPARTURE_REAL_STATUS
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8579234;False;;;;08.01.2025 06:18;08.01.2025 06:18:44;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8579233;False;08.01.2025 06:18;08.01.2025 06:19:41;REAL;08.01.2025 06:18;08.01.2025 06:19:46;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8591952;False;08.01.2025 06:21;08.01.2025 06:22:14;REAL;08.01.2025 06:21;08.01.2025 06:22:19;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8591949;False;08.01.2025 06:22;08.01.2025 06:22:42;REAL;08.01.2025 06:22;08.01.2025 06:22:47;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8591954;False;08.01.2025 06:22;08.01.2025 06:23:17;REAL;08.01.2025 06:22;08.01.2025 06:23:22;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8591961;False;08.01.2025 06:23;08.01.2025 06:24:26;REAL;08.01.2025 06:23;08.01.2025 06:24:31;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8592248;False;08.01.2025 06:25;08.01.2025 06:27:00;REAL;08.01.2025 06:25;08.01.2025 06:27:05;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8592244;False;08.01.2025 06:28;08.01.2025 06:29:29;REAL;08.01.2025 06:28;08.01.2025 06:29:34;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8592243;False;08.01.2025 06:29;08.01.2025 06:30:30;REAL;08.01.2025 06:29;08.01.2025 06:30:35;REAL
85:764:705;705;MBC Auto;Bus;85:764:5000_705-R-201_0618_BPS3;8588875;False;08.01.2025 06:30;08.01.2025 06:31:18;REAL;08.01.2025 06:30;08.01.2025 06:31:23;REAL
