      STOP_NAME      ; STOP_NUMBER ;     EVENT      ;     85:151:6076     ;     85:151:6077     ;     85:151:6078     ;     85:151:6079     ;     85:151:6080     ;     85:151:6081     ;     85:151:6082     ;     85:151:6083     ;     85:151:6084     ;     85:151:6085     ;     85:151:6086     ;     85:151:6087     ;     85:151:6088     ;     85:151:6089     ;     85:151:6090     ;     85:151:6091     ;     85:151:6092     ;     85:151:6093     ;     85:151:6094     ;     85:151:6095     ;     85:151:6096     ;     85:151:6097     ;     85:151:6098     ;     85:151:6099     ;     85:151:6100     ;     85:151:6101     ;     85:151:6102     ;     85:151:6103     ;     85:151:6104     ;     85:151:6105     ;     85:151:6106     ;     85:151:6107     
      Lutry, Gravesse;      8592153;    ARRIVAL_REAL;  2025-07-01 05:39:24;  2025-07-01 06:20:51;  2025-07-01 06:41:11;  2025-07-01 07:19:39;  2025-07-01 07:40:00;  2025-07-01 08:19:34;  2025-07-01 08:41:13;  2025-07-01 09:20:24;  2025-07-01 09:39:54;  2025-07-01 10:18:42;  2025-07-01 10:39:33;  2025-07-01 11:17:46;  2025-07-01 11:39:08;  2025-07-01 12:21:15;  2025-07-01 12:41:25;  2025-07-01 13:20:43;  2025-07-01 13:41:29;  2025-07-01 14:19:35;  2025-07-01 14:40:32;  2025-07-01 15:20:10;  2025-07-01 15:40:26;  2025-07-01 16:19:14;  2025-07-01 16:41:34;  2025-07-01 17:20:54;  2025-07-01 17:41:22;  2025-07-01 18:20:01;  2025-07-01 18:39:43;  2025-07-01 19:19:46;  2025-07-01 19:39:24;  2025-07-01 20:19:09;  2025-07-01 20:41:37;  2025-07-01 21:18:03
      Lutry, Gravesse;      8592153;  DEPARTURE_REAL;  2025-07-01 05:39:24;  2025-07-01 06:21:19;  2025-07-01 06:41:11;  2025-07-01 07:19:39;  2025-07-01 07:40:00;  2025-07-01 08:19:34;  2025-07-01 08:41:16;  2025-07-01 09:20:33;  2025-07-01 09:39:54;  2025-07-01 10:18:56;  2025-07-01 10:39:33;  2025-07-01 11:17:46;  2025-07-01 11:39:08;  2025-07-01 12:21:46;  2025-07-01 12:41:25;  2025-07-01 13:20:43;  2025-07-01 13:41:29;  2025-07-01 14:19:35;  2025-07-01 14:40:32;  2025-07-01 15:20:15;  2025-07-01 15:40:26;  2025-07-01 16:19:26;  2025-07-01 16:41:34;  2025-07-01 17:20:54;  2025-07-01 17:41:22;  2025-07-01 18:20:18;  2025-07-01 18:39:46;  2025-07-01 19:20:21;  2025-07-01 19:39:24;  2025-07-01 20:19:20;  2025-07-01 20:41:37;  2025-07-01 21:18:08
     Lutry, Bossières;      8593856;    ARRIVAL_REAL;  2025-07-01 05:39:48;  2025-07-01 06:20:32;  2025-07-01 06:41:37;  2025-07-01 07:19:19;  2025-07-01 07:40:34;  2025-07-01 08:19:09;  2025-07-01 08:41:41;  2025-07-01 09:20:11;  2025-07-01 09:40:22;  2025-07-01 10:18:03;  2025-07-01 10:39:52;  2025-07-01 11:17:21;  2025-07-01 11:39:36;  2025-07-01 12:20:08;  2025-07-01 12:41:58;  2025-07-01 13:19:56;  2025-07-01 13:41:59;  2025-07-01 14:18:56;  2025-07-01 14:41:14;  2025-07-01 15:19:26;  2025-07-01 15:40:55;  2025-07-01 16:18:42;  2025-07-01 16:41:48;  2025-07-01 17:19:59;  2025-07-01 17:41:50;  2025-07-01 18:19:18;  2025-07-01 18:40:11;  2025-07-01 19:19:01;  2025-07-01 19:39:53;  2025-07-01 20:18:34;  2025-07-01 20:42:16;  2025-07-01 21:17:35
     Lutry, Bossières;      8593856;  DEPARTURE_REAL;  2025-07-01 05:39:48;  2025-07-01 06:20:32;  2025-07-01 06:41:50;  2025-07-01 07:19:19;  2025-07-01 07:41:11;  2025-07-01 08:19:09;  2025-07-01 08:41:41;  2025-07-01 09:20:18;  2025-07-01 09:40:22;  2025-07-01 10:18:21;  2025-07-01 10:39:52;  2025-07-01 11:17:21;  2025-07-01 11:39:36;  2025-07-01 12:20:47;  2025-07-01 12:42:09;  2025-07-01 13:20:18;  2025-07-01 13:41:59;  2025-07-01 14:19:07;  2025-07-01 14:41:16;  2025-07-01 15:19:51;  2025-07-01 15:40:55;  2025-07-01 16:18:42;  2025-07-01 16:42:06;  2025-07-01 17:20:22;  2025-07-01 17:41:50;  2025-07-01 18:19:36;  2025-07-01 18:40:11;  2025-07-01 19:19:20;  2025-07-01 19:39:53;  2025-07-01 20:18:51;  2025-07-01 20:42:16;  2025-07-01 21:17:35
  Lutry, Savuit-place;      8592162;    ARRIVAL_REAL;  2025-07-01 05:40:45;  2025-07-01 06:19:33;  2025-07-01 06:43:00;  2025-07-01 07:17:46;  2025-07-01 07:42:19;  2025-07-01 08:17:47;  2025-07-01 08:42:39;  2025-07-01 09:18:51;  2025-07-01 09:41:33;  2025-07-01 10:17:01;  2025-07-01 10:40:57;  2025-07-01 11:16:09;  2025-07-01 11:40:45;  2025-07-01 12:18:28;  2025-07-01 12:43:20;  2025-07-01 13:18:36;  2025-07-01 13:43:43;  2025-07-01 14:17:00;  2025-07-01 14:42:35;  2025-07-01 15:18:03;  2025-07-01 15:42:08;  2025-07-01 16:17:39;  2025-07-01 16:43:17;  2025-07-01 17:18:33;  2025-07-01 17:43:08;  2025-07-01 18:17:48;  2025-07-01 18:41:22;  2025-07-01 19:17:27;  2025-07-01 19:41:02;  2025-07-01 20:17:25;  2025-07-01 20:43:27;  2025-07-01 21:16:26
  Lutry, Savuit-place;      8592162;  DEPARTURE_REAL;  2025-07-01 05:40:45;  2025-07-01 06:19:33;  2025-07-01 06:43:00;  2025-07-01 07:18:18;  2025-07-01 07:42:37;  2025-07-01 08:17:57;  2025-07-01 08:42:46;  2025-07-01 09:19:09;  2025-07-01 09:41:33;  2025-07-01 10:17:05;  2025-07-01 10:40:57;  2025-07-01 11:16:27;  2025-07-01 11:40:45;  2025-07-01 12:18:59;  2025-07-01 12:43:48;  2025-07-01 13:18:36;  2025-07-01 13:43:43;  2025-07-01 14:17:16;  2025-07-01 14:42:35;  2025-07-01 15:18:25;  2025-07-01 15:42:08;  2025-07-01 16:17:39;  2025-07-01 16:43:17;  2025-07-01 17:19:00;  2025-07-01 17:43:25;  2025-07-01 18:18:17;  2025-07-01 18:41:22;  2025-07-01 19:17:54;  2025-07-01 19:41:02;  2025-07-01 20:17:25;  2025-07-01 20:43:35;  2025-07-01 21:16:41
          Lutry, gare;      8593861;    ARRIVAL_REAL;  2025-07-01 05:41:45;  2025-07-01 06:17:44;  2025-07-01 06:44:26;  2025-07-01 07:16:02;  2025-07-01 07:44:04;  2025-07-01 08:16:26;  2025-07-01 08:44:12;  2025-07-01 09:17:07;  2025-07-01 09:42:51;  2025-07-01 10:15:26;  2025-07-01 10:42:14;  2025-07-01 11:14:42;  2025-07-01 11:42:07;  2025-07-01 12:15:55;  2025-07-01 12:44:48;  2025-07-01 13:15:36;  2025-07-01 13:45:23;  2025-07-01 14:14:45;  2025-07-01 14:44:14;  2025-07-01 15:15:50;  2025-07-01 15:44:11;  2025-07-01 16:15:44;  2025-07-01 16:44:42;  2025-07-01 17:16:33;  2025-07-01 17:45:06;  2025-07-01 18:15:40;  2025-07-01 18:42:37;  2025-07-01 19:15:35;  2025-07-01 19:42:02;  2025-07-01 20:15:13;  2025-07-01 20:45:18;  2025-07-01 21:14:41
          Lutry, gare;      8593861;  DEPARTURE_REAL;  2025-07-01 05:41:45;  2025-07-01 06:17:52;  2025-07-01 06:44:49;  2025-07-01 07:16:14;  2025-07-01 07:44:56;  2025-07-01 08:16:26;  2025-07-01 08:44:26;  2025-07-01 09:17:19;  2025-07-01 09:43:05;  2025-07-01 10:15:26;  2025-07-01 10:42:14;  2025-07-01 11:14:42;  2025-07-01 11:42:16;  2025-07-01 12:16:19;  2025-07-01 12:45:21;  2025-07-01 13:15:56;  2025-07-01 13:45:26;  2025-07-01 14:15:02;  2025-07-01 14:44:23;  2025-07-01 15:16:16;  2025-07-01 15:44:15;  2025-07-01 16:16:00;  2025-07-01 16:44:47;  2025-07-01 17:16:48;  2025-07-01 17:45:06;  2025-07-01 18:16:06;  2025-07-01 18:42:37;  2025-07-01 19:15:35;  2025-07-01 19:42:02;  2025-07-01 20:15:25;  2025-07-01 20:45:44;  2025-07-01 21:14:41
    Lutry, Les Champs;      8592154;    ARRIVAL_REAL;  2025-07-01 05:42:26;  2025-07-01 06:17:17;  2025-07-01 06:45:33;  2025-07-01 07:15:17;  2025-07-01 07:45:31;  2025-07-01 08:14:54;  2025-07-01 08:45:18;  2025-07-01 09:15:02;  2025-07-01 09:43:30;  2025-07-01 10:14:25;  2025-07-01 10:43:02;  2025-07-01 11:13:56;  2025-07-01 11:42:55;  2025-07-01 12:14:33;  2025-07-01 12:46:21;  2025-07-01 13:14:46;  2025-07-01 13:46:30;  2025-07-01 14:13:45;  2025-07-01 14:45:00;  2025-07-01 15:14:52;  2025-07-01 15:45:07;  2025-07-01 16:15:03;  2025-07-01 16:46:47;  2025-07-01 17:15:49;  2025-07-01 17:46:25;  2025-07-01 18:14:44;  2025-07-01 18:43:21;  2025-07-01 19:14:16;  2025-07-01 19:43:02;  2025-07-01 20:14:22;  2025-07-01 20:46:14;  2025-07-01 21:14:11
    Lutry, Les Champs;      8592154;  DEPARTURE_REAL;  2025-07-01 05:42:45;  2025-07-01 06:17:17;  2025-07-01 06:45:33;  2025-07-01 07:15:17;  2025-07-01 07:45:31;  2025-07-01 08:15:26;  2025-07-01 08:45:18;  2025-07-01 09:16:19;  2025-07-01 09:43:30;  2025-07-01 10:14:50;  2025-07-01 10:43:02;  2025-07-01 11:14:11;  2025-07-01 11:42:55;  2025-07-01 12:14:40;  2025-07-01 12:46:21;  2025-07-01 13:14:56;  2025-07-01 13:46:38;  2025-07-01 14:14:02;  2025-07-01 14:45:10;  2025-07-01 15:15:11;  2025-07-01 15:45:26;  2025-07-01 16:15:03;  2025-07-01 16:46:47;  2025-07-01 17:15:49;  2025-07-01 17:46:25;  2025-07-01 18:15:08;  2025-07-01 18:43:37;  2025-07-01 19:14:25;  2025-07-01 19:43:44;  2025-07-01 20:14:25;  2025-07-01 20:46:14;  2025-07-01 21:14:11
          Lutry, port;      8592156;    ARRIVAL_REAL;  2025-07-01 05:44:45;                     ;  2025-07-01 06:48:33;                     ;  2025-07-01 07:47:50;                     ;  2025-07-01 08:48:43;                     ;  2025-07-01 09:45:20;                     ;  2025-07-01 10:45:53;                     ;  2025-07-01 11:46:05;                     ;  2025-07-01 12:50:21;                     ;  2025-07-01 13:50:38;                     ;  2025-07-01 14:48:52;                     ;  2025-07-01 15:49:26;                     ;  2025-07-01 16:50:47;                     ;  2025-07-01 17:49:54;                     ;  2025-07-01 18:45:54;                     ;  2025-07-01 19:46:22;                     ;  2025-07-01 20:49:14;                     
          Lutry, port;      8592156;  DEPARTURE_REAL;                     ;  2025-07-01 06:16:04;                     ;  2025-07-01 07:12:22;                     ;  2025-07-01 08:12:46;                     ;  2025-07-01 09:12:57;                     ;  2025-07-01 10:11:28;                     ;  2025-07-01 11:11:11;                     ;  2025-07-01 12:11:38;                     ;  2025-07-01 13:11:00;                     ;  2025-07-01 14:11:36;                     ;  2025-07-01 15:11:51;                     ;  2025-07-01 16:11:29;                     ;  2025-07-01 17:12:30;                     ;  2025-07-01 18:11:00;                     ;  2025-07-01 19:11:25;                     ;  2025-07-01 20:11:47;                     ;  2025-07-01 21:11:50
