      STOP_NAME      ; STOP_NUMBER ;   EVENT   ;     85:151:6076     ;     85:151:6077     ;     85:151:6078     ;     85:151:6079     ;     85:151:6080     ;     85:151:6081     ;     85:151:6082     ;     85:151:6083     ;     85:151:6084     ;     85:151:6085     ;     85:151:6086     ;     85:151:6087     ;     85:151:6088     ;     85:151:6089     ;     85:151:6090     ;     85:151:6091     ;     85:151:6092     ;     85:151:6093     ;     85:151:6094     ;     85:151:6095     ;     85:151:6096     ;     85:151:6097     ;     85:151:6098     ;     85:151:6099     ;     85:151:6100     ;     85:151:6101     ;     85:151:6102     ;     85:151:6103     ;     85:151:6104     ;     85:151:6105     ;     85:151:6106     ;     85:151:6107     
      Lutry, Gravesse;      8592153;    ARRIVAL;  2025-07-01 05:39:00;  2025-07-01 06:18:00;  2025-07-01 06:39:00;  2025-07-01 07:18:00;  2025-07-01 07:38:00;  2025-07-01 08:18:00;  2025-07-01 08:39:00;  2025-07-01 09:18:00;  2025-07-01 09:39:00;  2025-07-01 10:18:00;  2025-07-01 10:39:00;  2025-07-01 11:18:00;  2025-07-01 11:39:00;  2025-07-01 12:18:00;  2025-07-01 12:39:00;  2025-07-01 13:18:00;  2025-07-01 13:39:00;  2025-07-01 14:18:00;  2025-07-01 14:39:00;  2025-07-01 15:18:00;  2025-07-01 15:39:00;  2025-07-01 16:18:00;  2025-07-01 16:39:00;  2025-07-01 17:18:00;  2025-07-01 17:39:00;  2025-07-01 18:18:00;  2025-07-01 18:39:00;  2025-07-01 19:18:00;  2025-07-01 19:39:00;  2025-07-01 20:18:00;  2025-07-01 20:39:00;  2025-07-01 21:18:00
      Lutry, Gravesse;      8592153;  DEPARTURE;  2025-07-01 05:39:00;  2025-07-01 06:18:00;  2025-07-01 06:39:00;  2025-07-01 07:18:00;  2025-07-01 07:38:00;  2025-07-01 08:18:00;  2025-07-01 08:39:00;  2025-07-01 09:18:00;  2025-07-01 09:39:00;  2025-07-01 10:18:00;  2025-07-01 10:39:00;  2025-07-01 11:18:00;  2025-07-01 11:39:00;  2025-07-01 12:18:00;  2025-07-01 12:39:00;  2025-07-01 13:18:00;  2025-07-01 13:39:00;  2025-07-01 14:18:00;  2025-07-01 14:39:00;  2025-07-01 15:18:00;  2025-07-01 15:39:00;  2025-07-01 16:18:00;  2025-07-01 16:39:00;  2025-07-01 17:18:00;  2025-07-01 17:39:00;  2025-07-01 18:18:00;  2025-07-01 18:39:00;  2025-07-01 19:18:00;  2025-07-01 19:39:00;  2025-07-01 20:18:00;  2025-07-01 20:39:00;  2025-07-01 21:18:00
     Lutry, Bossières;      8593856;    ARRIVAL;  2025-07-01 05:39:00;  2025-07-01 06:18:00;  2025-07-01 06:39:00;  2025-07-01 07:18:00;  2025-07-01 07:39:00;  2025-07-01 08:18:00;  2025-07-01 08:39:00;  2025-07-01 09:18:00;  2025-07-01 09:39:00;  2025-07-01 10:18:00;  2025-07-01 10:39:00;  2025-07-01 11:18:00;  2025-07-01 11:39:00;  2025-07-01 12:18:00;  2025-07-01 12:39:00;  2025-07-01 13:18:00;  2025-07-01 13:39:00;  2025-07-01 14:18:00;  2025-07-01 14:39:00;  2025-07-01 15:18:00;  2025-07-01 15:39:00;  2025-07-01 16:18:00;  2025-07-01 16:39:00;  2025-07-01 17:18:00;  2025-07-01 17:39:00;  2025-07-01 18:18:00;  2025-07-01 18:39:00;  2025-07-01 19:18:00;  2025-07-01 19:39:00;  2025-07-01 20:18:00;  2025-07-01 20:39:00;  2025-07-01 21:17:00
     Lutry, Bossières;      8593856;  DEPARTURE;  2025-07-01 05:39:00;  2025-07-01 06:18:00;  2025-07-01 06:39:00;  2025-07-01 07:18:00;  2025-07-01 07:39:00;  2025-07-01 08:18:00;  2025-07-01 08:39:00;  2025-07-01 09:18:00;  2025-07-01 09:39:00;  2025-07-01 10:18:00;  2025-07-01 10:39:00;  2025-07-01 11:18:00;  2025-07-01 11:39:00;  2025-07-01 12:18:00;  2025-07-01 12:39:00;  2025-07-01 13:18:00;  2025-07-01 13:39:00;  2025-07-01 14:18:00;  2025-07-01 14:39:00;  2025-07-01 15:18:00;  2025-07-01 15:39:00;  2025-07-01 16:18:00;  2025-07-01 16:39:00;  2025-07-01 17:18:00;  2025-07-01 17:39:00;  2025-07-01 18:18:00;  2025-07-01 18:39:00;  2025-07-01 19:18:00;  2025-07-01 19:39:00;  2025-07-01 20:18:00;  2025-07-01 20:39:00;  2025-07-01 21:17:00
  Lutry, Savuit-place;      8592162;    ARRIVAL;  2025-07-01 05:41:00;  2025-07-01 06:17:00;  2025-07-01 06:41:00;  2025-07-01 07:17:00;  2025-07-01 07:41:00;  2025-07-01 08:17:00;  2025-07-01 08:41:00;  2025-07-01 09:17:00;  2025-07-01 09:41:00;  2025-07-01 10:17:00;  2025-07-01 10:41:00;  2025-07-01 11:17:00;  2025-07-01 11:41:00;  2025-07-01 12:17:00;  2025-07-01 12:41:00;  2025-07-01 13:17:00;  2025-07-01 13:41:00;  2025-07-01 14:17:00;  2025-07-01 14:41:00;  2025-07-01 15:17:00;  2025-07-01 15:41:00;  2025-07-01 16:17:00;  2025-07-01 16:41:00;  2025-07-01 17:17:00;  2025-07-01 17:41:00;  2025-07-01 18:17:00;  2025-07-01 18:41:00;  2025-07-01 19:17:00;  2025-07-01 19:41:00;  2025-07-01 20:17:00;  2025-07-01 20:41:00;  2025-07-01 21:17:00
  Lutry, Savuit-place;      8592162;  DEPARTURE;  2025-07-01 05:41:00;  2025-07-01 06:17:00;  2025-07-01 06:41:00;  2025-07-01 07:17:00;  2025-07-01 07:41:00;  2025-07-01 08:17:00;  2025-07-01 08:41:00;  2025-07-01 09:17:00;  2025-07-01 09:41:00;  2025-07-01 10:17:00;  2025-07-01 10:41:00;  2025-07-01 11:17:00;  2025-07-01 11:41:00;  2025-07-01 12:17:00;  2025-07-01 12:41:00;  2025-07-01 13:17:00;  2025-07-01 13:41:00;  2025-07-01 14:17:00;  2025-07-01 14:41:00;  2025-07-01 15:17:00;  2025-07-01 15:41:00;  2025-07-01 16:17:00;  2025-07-01 16:41:00;  2025-07-01 17:17:00;  2025-07-01 17:41:00;  2025-07-01 18:17:00;  2025-07-01 18:41:00;  2025-07-01 19:17:00;  2025-07-01 19:41:00;  2025-07-01 20:17:00;  2025-07-01 20:41:00;  2025-07-01 21:17:00
          Lutry, gare;      8593861;    ARRIVAL;  2025-07-01 05:42:00;  2025-07-01 06:15:00;  2025-07-01 06:42:00;  2025-07-01 07:15:00;  2025-07-01 07:42:00;  2025-07-01 08:15:00;  2025-07-01 08:42:00;  2025-07-01 09:15:00;  2025-07-01 09:42:00;  2025-07-01 10:15:00;  2025-07-01 10:42:00;  2025-07-01 11:15:00;  2025-07-01 11:42:00;  2025-07-01 12:15:00;  2025-07-01 12:42:00;  2025-07-01 13:15:00;  2025-07-01 13:42:00;  2025-07-01 14:15:00;  2025-07-01 14:42:00;  2025-07-01 15:15:00;  2025-07-01 15:42:00;  2025-07-01 16:15:00;  2025-07-01 16:42:00;  2025-07-01 17:15:00;  2025-07-01 17:42:00;  2025-07-01 18:15:00;  2025-07-01 18:42:00;  2025-07-01 19:15:00;  2025-07-01 19:42:00;  2025-07-01 20:15:00;  2025-07-01 20:42:00;  2025-07-01 21:15:00
          Lutry, gare;      8593861;  DEPARTURE;  2025-07-01 05:42:00;  2025-07-01 06:15:00;  2025-07-01 06:42:00;  2025-07-01 07:15:00;  2025-07-01 07:42:00;  2025-07-01 08:15:00;  2025-07-01 08:42:00;  2025-07-01 09:15:00;  2025-07-01 09:42:00;  2025-07-01 10:15:00;  2025-07-01 10:42:00;  2025-07-01 11:15:00;  2025-07-01 11:42:00;  2025-07-01 12:15:00;  2025-07-01 12:42:00;  2025-07-01 13:15:00;  2025-07-01 13:42:00;  2025-07-01 14:15:00;  2025-07-01 14:42:00;  2025-07-01 15:15:00;  2025-07-01 15:42:00;  2025-07-01 16:15:00;  2025-07-01 16:42:00;  2025-07-01 17:15:00;  2025-07-01 17:42:00;  2025-07-01 18:15:00;  2025-07-01 18:42:00;  2025-07-01 19:15:00;  2025-07-01 19:42:00;  2025-07-01 20:15:00;  2025-07-01 20:42:00;  2025-07-01 21:15:00
    Lutry, Les Champs;      8592154;    ARRIVAL;  2025-07-01 05:43:00;  2025-07-01 06:14:00;  2025-07-01 06:43:00;  2025-07-01 07:14:00;  2025-07-01 07:43:00;  2025-07-01 08:14:00;  2025-07-01 08:43:00;  2025-07-01 09:14:00;  2025-07-01 09:43:00;  2025-07-01 10:14:00;  2025-07-01 10:43:00;  2025-07-01 11:14:00;  2025-07-01 11:43:00;  2025-07-01 12:14:00;  2025-07-01 12:43:00;  2025-07-01 13:14:00;  2025-07-01 13:43:00;  2025-07-01 14:14:00;  2025-07-01 14:43:00;  2025-07-01 15:14:00;  2025-07-01 15:44:00;  2025-07-01 16:14:00;  2025-07-01 16:44:00;  2025-07-01 17:14:00;  2025-07-01 17:44:00;  2025-07-01 18:14:00;  2025-07-01 18:43:00;  2025-07-01 19:14:00;  2025-07-01 19:43:00;  2025-07-01 20:14:00;  2025-07-01 20:43:00;  2025-07-01 21:14:00
    Lutry, Les Champs;      8592154;  DEPARTURE;  2025-07-01 05:43:00;  2025-07-01 06:14:00;  2025-07-01 06:43:00;  2025-07-01 07:14:00;  2025-07-01 07:43:00;  2025-07-01 08:14:00;  2025-07-01 08:43:00;  2025-07-01 09:14:00;  2025-07-01 09:43:00;  2025-07-01 10:14:00;  2025-07-01 10:43:00;  2025-07-01 11:14:00;  2025-07-01 11:43:00;  2025-07-01 12:14:00;  2025-07-01 12:43:00;  2025-07-01 13:14:00;  2025-07-01 13:43:00;  2025-07-01 14:14:00;  2025-07-01 14:43:00;  2025-07-01 15:14:00;  2025-07-01 15:44:00;  2025-07-01 16:14:00;  2025-07-01 16:44:00;  2025-07-01 17:14:00;  2025-07-01 17:44:00;  2025-07-01 18:14:00;  2025-07-01 18:43:00;  2025-07-01 19:14:00;  2025-07-01 19:43:00;  2025-07-01 20:14:00;  2025-07-01 20:43:00;  2025-07-01 21:14:00
          Lutry, port;      8592156;    ARRIVAL;  2025-07-01 05:46:00;                     ;  2025-07-01 06:46:00;                     ;  2025-07-01 07:47:00;                     ;  2025-07-01 08:47:00;                     ;  2025-07-01 09:47:00;                     ;  2025-07-01 10:47:00;                     ;  2025-07-01 11:47:00;                     ;  2025-07-01 12:47:00;                     ;  2025-07-01 13:47:00;                     ;  2025-07-01 14:47:00;                     ;  2025-07-01 15:48:00;                     ;  2025-07-01 16:48:00;                     ;  2025-07-01 17:48:00;                     ;  2025-07-01 18:47:00;                     ;  2025-07-01 19:46:00;                     ;  2025-07-01 20:46:00;                     
          Lutry, port;      8592156;  DEPARTURE;                     ;  2025-07-01 06:12:00;                     ;  2025-07-01 07:11:00;                     ;  2025-07-01 08:11:00;                     ;  2025-07-01 09:11:00;                     ;  2025-07-01 10:11:00;                     ;  2025-07-01 11:11:00;                     ;  2025-07-01 12:11:00;                     ;  2025-07-01 13:11:00;                     ;  2025-07-01 14:11:00;                     ;  2025-07-01 15:11:00;                     ;  2025-07-01 16:11:00;                     ;  2025-07-01 17:11:00;                     ;  2025-07-01 18:11:00;                     ;  2025-07-01 19:11:00;                     ;  2025-07-01 20:11:00;                     ;  2025-07-01 21:12:00
