STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Lausanne, Bourdonnette;8501210;0;;60;;2534868;1152794
Ecublens VD, allée de Dorigny;8591950;658;60;60;;2534284;1152491
Ecublens VD, Blévallaire;8596053;1051;60;60;;2533903;1152393
Ecublens VD, Champagne;8591945;1408;60;60;;2533573;1152258
St-Sulpice VD, Pâqueret;8592227;1680;60;31321;;2533389;1152057
St-Sulpice VD, Parc Scient.;8595223;2207;31321;60;;2532863;1152073
St-Sulpice VD, Pré-Fleuri;8510528;2493;60;60;;2532618;1151924
St-Sulpice VD, Ochettaz-Ormet;8510527;2851;60;82;;2532296;1151770
St-Sulpice VD, En Champagny;8510526;3363;82;60;;2531784;1151773
St-Sulpice VD, Castolin;8510525;3625;60;142;;2531525;1151737
Denges, Pierraz-Mur;8592240;4400;142;100;;2530776;1151938
Préverenges, village;8579230;5228;100;60;;2529987;1152190
Préverenges, Taudaz;8592279;5887;60;120;;2529331;1152250
Morges, Bief;8592259;6311;120;60;;2528912;1152181
Morges, St-Jean sud;8592272;6571;60;72;;2528655;1152144
Morges, Blancherie;8592260;7059;72;60;;2528220;1151923
Morges, St-Louis;8592277;7533;60;106;;2527951;1151533
Morges, Charpentiers;8592262;7812;106;142;;2527706;1151398
Morges, gare;8570084;7996;142;65;;2527528;1151442
Morges, La Prairie;8592266;8556;65;60;;2527004;1151243
Morges, Eglantine;8592273;8954;60;60;;2526774;1151568
Morges, Vogéaz;8570081;9131;60;60;;2526611;1151500
Morges, Prélionne;8592270;9397;60;31020;;2526400;1151338
Tolochenaz, La Plantaz;8570082;9615;31020;;;2526220;1151214
