STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Prilly, Galicien;8592049;0;;107;;2535968;1153319
Lausanne, Malley;8501209;455;107;79;25;2535848;1152880
Renens VD, Longemalle;8592215;940;79;55;34;2535392;1153045
Renens VD, rue du Lac;8592219;1330;55;39;21;2535061;1153251
Renens VD, Chêne;8592210;1576;39;118;22;2534899;1153437
Renens VD, Caudray;8592218;2015;118;50;23;2534580;1153738
Renens VD, Censuy;8592209;2181;50;73;19;2534431;1153812
Chavannes-R., Préfaully;8593866;2578;73;71;19;2534059;1153950
Chavannes-R., Concorde;8593868;2970;71;34;22;2533691;1153816
Chavannes-R., Planta;8591933;3198;34;55;21;2533594;1154023
Chavannes-R., Glycines;8593869;3556;55;99;23;2533869;1154252
Renens VD, gare sud;8588983;3772;99;145;27;2534082;1154287
Renens VD, Avenir;8592202;4112;145;45;19;2534348;1154499
Renens VD, 14 Avril;8588839;4364;45;27;18689;2534113;1154587
Crissier, Chicorée;8510421;4522;27;49;17;2534111;1154746
Crissier, Noutes;8588840;4830;49;45;16;2534099;1155053
Crissier, scierie;8588841;5197;45;68;18;2534095;1155420
Crissier, Bré;8588842;5605;68;71;33;2534093;1155828
Crissier, centre;8588843;6002;71;44;21;2533922;1156187
Crissier, Timonet;8588845;6344;44;127;38;2533672;1156420
Villars-Ste-Croix, Croix Péage;8588846;7213;127;25;28;2533051;1157027
Villars-Ste-Croix, Colice;8595978;7377;25;75;13;2533113;1157179
Villars-Ste-Croix, Le Sansy;8588848;8006;75;45;20;2533042;1157804
Villars-Ste-Croix, village;8588847;8283;45;229;21;2532765;1157793
Mex VD, Faraz;8594270;9162;229;;;2531907;1157602
