STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Pully, gare;8588445;0;;56;;2540150;1151300
Pully, Joliette;8592182;432;56;51;17;2539720;1151257
Pully, C. F. Ramuz;8592172;822;51;48;18;2539332;1151221
Pully, Pierraz-Portay;8592193;1183;48;32;16;2538971;1151206
Pully, Métairie;8592186;1402;32;60;15;2538767;1151286
Lausanne, Montchoisi;8592077;1716;60;45;21;2538477;1151406
Lausanne, Musée Olympique;8592084;1936;45;33;21;2538334;1151239
Lausanne, Elysée;8592039;2193;33;66;21;2538118;1151378
Lausanne, Délices;8592028;2548;66;74;11978;2537789;1151513
Lausanne, jardin botanique;8591985;2936;74;63;23;2537407;1151579
Lausanne, Cèdres;8592005;3325;63;38;27;2537110;1151830
Lausanne, Riant-Cour;8592110;3580;38;46;18;2536871;1151918
Lausanne, Batelière;8591983;3831;46;49;21;2536637;1152009
Lausanne, Figuiers;8592044;4015;49;42;20;2536461;1152063
Lausanne, Maladière-Figuiers;8593837;4363;42;95;22;2536113;1152075
Lausanne, Bois de Vaux;8591995;4923;95;51;26;2535630;1152359
Lausanne, Sablons;8592114;5376;51;143;21;2535323;1152691
Lausanne, Bourdonnette nord;8595521;5949;143;54;33;2534825;1152975
Chavannes-R., Dorigny;8595602;6406;54;58;20;2534420;1153187
Chavannes-R., Talluchet;8510422;6620;58;40;17;2534387;1153398
Renens VD, piscine;8595534;6859;40;37;19;2534529;1153591
Renens VD, Censuy;8592209;7101;37;119;20;2534431;1153812
Renens VD, gare sud;8588983;7690;119;54;28;2534082;1154287
Chavannes-R., Glycines;8593869;7906;54;;;2533869;1154252
