STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Ecublens VD, Champs-Courbes;8591959;443;;60;;2531812;1152058
Ecublens VD, Montaney;8594890;787;60;60;;2532022;1152331
Ecublens VD, Renges;8591956;1226;60;;;2532177;1152742
Ecublens VD, En Enjalin;8591949;1485;;33722;;2532358;1152927
Ecublens VD, Perrettes;8591954;1730;33722;120;;2532466;1153147
Ecublens VD, Villars;8591961;2153;120;130;;2532675;1153514
Ecublens VD, Pontet;8588873;2529;130;60;;2533051;1153539
Ecublens VD, Veilloud;8591960;2730;60;98;;2532936;1153704
Ecublens VD, Stand;8591957;2958;98;67;;2532783;1153872
Ecublens VD, place de sport;8591955;3255;67;60;;2532890;1154149
Ecublens VD, Croset;8591948;3459;60;60;;2533084;1154084
Ecublens VD, Parc;8591953;3744;60;120;;2533217;1154336
Ecublens VD, Suchet-Forêt;8591958;4118;120;60;;2533411;1154656
Ecublens VD, Epenex/Pont-Bleu;8510721;4504;60;145;;2533763;1154498
Renens VD, gare sud;8588983;4887;145;120;;2534082;1154287
Renens VD, Censuy;8592209;5476;120;60;;2534431;1153812
Renens VD, Caudray;8592218;5643;60;33734;;2534580;1153738
Renens VD, Chêne;8592210;6081;33734;60;;2534899;1153437
Renens VD, rue du Lac;8592219;6328;60;93;;2535061;1153251
Renens VD, Longemalle;8592215;6718;93;131;;2535392;1153045
Lausanne, Malley;8501209;7202;131;110;;2535848;1152880
Prilly, Galicien;8592049;7657;110;120;;2535968;1153319
Prilly, Flumeaux;8592179;7990;120;60;;2535710;1153529
Prilly, Grand Vigne;8592180;8310;60;160;;2535964;1153723
Prilly, centre;8592173;8640;160;60;;2536065;1154037
Prilly, Chasseur;8592175;9159;60;60;;2536176;1154545
Prilly, Coudraie;8592176;9427;60;103;;2536413;1154670
Prilly, Mont-Goulin;8592187;9640;103;;;2536517;1154484
