STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Lonay, parc;8592254;0;;58;;2529262;1153429
Lonay, église;8592250;378;58;31;8;2529572;1153213
Lonay, collège nord;8595219;599;31;62;7;2529472;1153016
Lonay, gare;8595218;814;62;87;8;2529595;1152840
Préverenges, Capellan;8588898;1353;87;87;7;2529954;1152437
Préverenges, village;8579230;1602;87;94;19;2529987;1152190
Denges, Pierraz-Mur;8592240;2431;94;73;20;2530776;1151938
Denges, Sur les Moulins;8592241;2831;73;55;5;2531176;1151922
Denges, La Pale;8592239;3258;55;90;13;2531209;1152348
Denges, village;8592242;3761;90;62;12;2531088;1152836
Denges, Les Oches;8588872;4093;62;86;7;2531179;1153156
Echandens, collège;8595213;4783;86;52;6;2531135;1153844
Echandens, centre;8588875;5035;52;53;12;2531142;1154096
Echandens, Riaz;8592243;5267;53;60;9;2531227;1154312
Echandens, Chocolatière;8592244;5628;60;161;18;2531588;1154297
Ecublens VD, Larges Pièces;8592248;6444;161;76;12;2532232;1153796
Ecublens VD, Villars;8591961;6969;76;37;17;2532675;1153514
Ecublens VD, Cocarde;8591946;7150;37;44;5;2532620;1153341
Ecublens VD, Motty;8591951;7398;44;44;7;2532705;1153108
Ecublens VD, Coquerellaz;8591947;7575;44;123;5;2532646;1152941
Ecublens VD, EPFL (bus);8579233;8105;123;91;13;2533107;1152679
Ecublens VD, Argand;8591944;8534;91;96;10;2533488;1152483
Ecublens VD, EPFL Piccard;8579234;8795;96;;;2533227;1152483
