STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Lausanne, Bourdonnette;8501210;0;;86;;2534868;1152794
Ecublens VD, allée de Dorigny;8591950;658;86;40;13;2534284;1152491
Ecublens VD, Blévallaire;8596053;1051;40;39;10;2533903;1152393
Ecublens VD, Champagne;8591945;1408;39;41;12;2533573;1152258
St-Sulpice VD, Pâqueret;8592227;1680;41;55;16;2533389;1152057
St-Sulpice VD, Parc Scient.;8595223;2207;55;41;16;2532863;1152073
St-Sulpice VD, Pré-Fleuri;8510528;2493;41;54;10;2532618;1151924
St-Sulpice VD, Ochettaz-Ormet;8510527;2851;54;43;14;2532296;1151770
St-Sulpice VD, En Champagny;8510526;3363;43;34;11;2531784;1151773
St-Sulpice VD, Castolin;8510525;3625;34;104;13;2531525;1151737
Denges, Pierraz-Mur;8592240;4400;104;88;15;2530776;1151938
Préverenges, village;8579230;5228;88;78;20;2529987;1152190
Préverenges, Taudaz;8592279;5887;78;62;16;2529331;1152250
Morges, Bief;8592259;6311;62;40;14;2528912;1152181
Morges, St-Jean sud;8592272;6571;40;64;15;2528655;1152144
Morges, Blancherie;8592260;7059;64;55;16;2528220;1151923
Morges, St-Louis;8592277;7533;55;62;26;2527951;1151533
Morges, Charpentiers;8592262;7812;62;96;23;2527706;1151398
Morges, gare;8570084;7996;96;128;78;2527528;1151442
Morges, La Prairie;8592266;8556;128;70;14;2527004;1151243
Morges, Eglantine;8592273;8954;70;37079;17;2526774;1151568
Morges, Vogéaz;8570081;9131;37079;78;12;2526611;1151500
Morges, Prélionne;8592270;9397;78;116;8;2526400;1151338
Tolochenaz, La Plantaz;8570082;9615;116;;;2526220;1151214
