STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Lonay, parc;8592254;0;;60;;2529262;1153429
Lonay, église;8592250;378;60;;;2529572;1153213
Lonay, collège nord;8595219;599;;120;;2529472;1153016
Lonay, gare;8595218;814;120;60;;2529595;1152840
Préverenges, Capellan;8588898;1353;60;60;;2529954;1152437
Préverenges, village;8579230;1602;60;167;;2529987;1152190
Denges, Pierraz-Mur;8592240;2431;167;60;;2530776;1151938
Denges, Sur les Moulins;8592241;2831;60;60;;2531176;1151922
Denges, La Pale;8592239;3258;60;106;;2531209;1152348
Denges, village;8592242;3761;106;60;;2531088;1152836
Denges, Les Oches;8588872;4093;60;120;;2531179;1153156
Echandens, collège;8595213;4783;120;60;;2531135;1153844
Echandens, centre;8588875;5035;60;;;2531142;1154096
Echandens, Riaz;8592243;5267;;60;;2531227;1154312
Echandens, Chocolatière;8592244;5628;60;180;;2531588;1154297
Ecublens VD, Larges Pièces;8592248;6444;180;120;;2532232;1153796
Ecublens VD, Villars;8591961;6969;120;;;2532675;1153514
Ecublens VD, Cocarde;8591946;7150;;60;;2532620;1153341
Ecublens VD, Motty;8591951;7398;60;60;;2532705;1153108
Ecublens VD, Coquerellaz;8591947;7575;60;120;;2532646;1152941
Ecublens VD, EPFL (bus);8579233;8105;120;60;;2533107;1152679
Ecublens VD, Argand;8591944;8534;60;120;;2533488;1152483
Ecublens VD, EPFL Piccard;8579234;8795;120;;;2533227;1152483
