STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Lausanne, Bourdonnette;8501210;0;;109;;2534868;1152794
Lausanne, sports UNIL-EPFL;8595937;391;109;82;29;2534561;1152552
Lausanne, Parc Bourget;8595939;1036;82;76;16;2535156;1152304
Lausanne, Siège du CIO;8595934;1479;76;71;24;2535573;1152152
Lausanne, Stade de Coubertin;8595935;1848;71;57;18;2535848;1151907
Lausanne, Vidy-Port;8595938;2192;57;73;19;2536177;1151807
Lausanne, Théâtre de Vidy;8592121;2547;73;60;22;2536530;1151767
Lausanne, Bellerive;8591989;3075;60;45;21;2536967;1151471
Lausanne, Pêcheurs;8592090;3362;45;61;18;2537175;1151272
Lausanne, Ouchy-Olympique;8592086;3929;61;91;36;2537676;1151008
Lausanne, Parc Musée Olympique;8595933;4409;91;88;13;2538156;1150989
Lausanne, Tour Haldimand-Lac;8595936;5052;88;;;2538756;1150758
