           STOP_NAME            ; STOP_NUMBER ;   EVENT   ;   85:801:43501-171  ;   85:801:43503-171  ;   85:801:43502-171  ;   85:801:43507-171  ;   85:801:43504-171  ;   85:801:43509-171  ;   85:801:43510-171  ;   85:801:43511-171  ;   85:801:43512-171  ;   85:801:43518-171  ;   85:801:43515-171  ;   85:801:43520-171  ;   85:801:43519-171  ;   85:801:43524-171  ;   85:801:43525-171  ;   85:801:43529-171  ;   85:801:43526-171  ;   85:801:43532-171  ;   85:801:43531-171  ;   85:801:43534-171  ;   85:801:43537-171  ;   85:801:43543-171  ;   85:801:43538-171  ;   85:801:43545-171  ;   85:801:43542-171  ;   85:801:43547-171  ;   85:801:43544-171  ;   85:801:43551-171  ;   85:801:43546-171  ;   85:801:43553-171  ;   85:801:43550-171  ;   85:801:43555-171  ;   85:801:43552-171  ;   85:801:43559-171  ;   85:801:43556-171  ;   85:801:43558-171  ;   85:801:43561-171  ;   85:801:43560-171  ;   85:801:43565-171  ;   85:801:43564-171  ;   85:801:43569-171  ;   85:801:43568-171  
       Lausanne, Chalet-Fontaine;      8592006;    ARRIVAL;  2025-07-01 06:00:00;  2025-07-01 06:30:00;  2025-07-01 06:23:00;  2025-07-01 07:00:00;  2025-07-01 06:53:00;  2025-07-01 07:30:00;  2025-07-01 07:23:00;  2025-07-01 08:00:00;  2025-07-01 07:53:00;  2025-07-01 08:23:00;  2025-07-01 09:30:00;  2025-07-01 09:53:00;  2025-07-01 11:00:00;  2025-07-01 11:23:00;  2025-07-01 12:30:00;  2025-07-01 13:00:00;  2025-07-01 12:53:00;  2025-07-01 13:23:00;  2025-07-01 14:00:00;  2025-07-01 14:23:00;  2025-07-01 15:30:00;  2025-07-01 16:00:00;  2025-07-01 15:53:00;  2025-07-01 16:30:00;  2025-07-01 16:23:00;  2025-07-01 17:00:00;  2025-07-01 16:53:00;  2025-07-01 17:30:00;  2025-07-01 17:23:00;  2025-07-01 18:00:00;  2025-07-01 17:53:00;  2025-07-01 18:30:00;  2025-07-01 18:23:00;  2025-07-01 19:00:00;  2025-07-01 18:53:00;  2025-07-01 19:23:00;  2025-07-01 20:00:00;  2025-07-01 20:23:00;  2025-07-01 21:30:00;  2025-07-01 21:53:00;  2025-07-01 23:00:00;  2025-07-01 23:23:00
       Lausanne, Chalet-Fontaine;      8592006;  DEPARTURE;  2025-07-01 06:00:00;  2025-07-01 06:30:00;  2025-07-01 06:23:00;  2025-07-01 07:00:00;  2025-07-01 06:53:00;  2025-07-01 07:30:00;  2025-07-01 07:23:00;  2025-07-01 08:00:00;  2025-07-01 07:53:00;  2025-07-01 08:23:00;  2025-07-01 09:30:00;  2025-07-01 09:53:00;  2025-07-01 11:00:00;  2025-07-01 11:23:00;  2025-07-01 12:30:00;  2025-07-01 13:00:00;  2025-07-01 12:53:00;  2025-07-01 13:23:00;  2025-07-01 14:00:00;  2025-07-01 14:23:00;  2025-07-01 15:30:00;  2025-07-01 16:00:00;  2025-07-01 15:53:00;  2025-07-01 16:30:00;  2025-07-01 16:23:00;  2025-07-01 17:00:00;  2025-07-01 16:53:00;  2025-07-01 17:30:00;  2025-07-01 17:23:00;  2025-07-01 18:00:00;  2025-07-01 17:53:00;  2025-07-01 18:30:00;  2025-07-01 18:23:00;  2025-07-01 19:00:00;  2025-07-01 18:53:00;  2025-07-01 19:23:00;  2025-07-01 20:00:00;  2025-07-01 20:23:00;  2025-07-01 21:30:00;  2025-07-01 21:53:00;  2025-07-01 23:00:00;  2025-07-01 23:23:00
  Villars-Tiercelin, sentier H&N;      8511209;    ARRIVAL;  2025-07-01 05:54:00;  2025-07-01 06:24:00;  2025-07-01 06:29:00;  2025-07-01 06:54:00;  2025-07-01 06:59:00;  2025-07-01 07:24:00;  2025-07-01 07:29:00;  2025-07-01 07:54:00;  2025-07-01 07:59:00;  2025-07-01 08:29:00;  2025-07-01 09:24:00;  2025-07-01 09:59:00;  2025-07-01 10:54:00;  2025-07-01 11:29:00;  2025-07-01 12:24:00;  2025-07-01 12:54:00;  2025-07-01 12:59:00;  2025-07-01 13:29:00;  2025-07-01 13:54:00;  2025-07-01 14:29:00;  2025-07-01 15:24:00;  2025-07-01 15:54:00;  2025-07-01 15:59:00;  2025-07-01 16:24:00;  2025-07-01 16:29:00;  2025-07-01 16:54:00;  2025-07-01 16:59:00;  2025-07-01 17:24:00;  2025-07-01 17:29:00;  2025-07-01 17:54:00;  2025-07-01 17:59:00;  2025-07-01 18:24:00;  2025-07-01 18:29:00;  2025-07-01 18:54:00;  2025-07-01 18:59:00;  2025-07-01 19:29:00;  2025-07-01 19:54:00;  2025-07-01 20:29:00;  2025-07-01 21:24:00;  2025-07-01 21:59:00;  2025-07-01 22:54:00;  2025-07-01 23:29:00
  Villars-Tiercelin, sentier H&N;      8511209;  DEPARTURE;  2025-07-01 05:54:00;  2025-07-01 06:24:00;  2025-07-01 06:29:00;  2025-07-01 06:54:00;  2025-07-01 06:59:00;  2025-07-01 07:24:00;  2025-07-01 07:29:00;  2025-07-01 07:54:00;  2025-07-01 07:59:00;  2025-07-01 08:29:00;  2025-07-01 09:24:00;  2025-07-01 09:59:00;  2025-07-01 10:54:00;  2025-07-01 11:29:00;  2025-07-01 12:24:00;  2025-07-01 12:54:00;  2025-07-01 12:59:00;  2025-07-01 13:29:00;  2025-07-01 13:54:00;  2025-07-01 14:29:00;  2025-07-01 15:24:00;  2025-07-01 15:54:00;  2025-07-01 15:59:00;  2025-07-01 16:24:00;  2025-07-01 16:29:00;  2025-07-01 16:54:00;  2025-07-01 16:59:00;  2025-07-01 17:24:00;  2025-07-01 17:29:00;  2025-07-01 17:54:00;  2025-07-01 17:59:00;  2025-07-01 18:24:00;  2025-07-01 18:29:00;  2025-07-01 18:54:00;  2025-07-01 18:59:00;  2025-07-01 19:29:00;  2025-07-01 19:54:00;  2025-07-01 20:29:00;  2025-07-01 21:24:00;  2025-07-01 21:59:00;  2025-07-01 22:54:00;  2025-07-01 23:29:00
   Villars-Tiercelin, La Sapelle;      8583395;    ARRIVAL;  2025-07-01 05:53:00;  2025-07-01 06:23:00;  2025-07-01 06:30:00;  2025-07-01 06:53:00;  2025-07-01 07:00:00;  2025-07-01 07:23:00;  2025-07-01 07:30:00;  2025-07-01 07:53:00;  2025-07-01 08:00:00;  2025-07-01 08:30:00;  2025-07-01 09:23:00;  2025-07-01 10:00:00;  2025-07-01 10:53:00;  2025-07-01 11:30:00;  2025-07-01 12:23:00;  2025-07-01 12:53:00;  2025-07-01 13:00:00;  2025-07-01 13:30:00;  2025-07-01 13:53:00;  2025-07-01 14:30:00;  2025-07-01 15:23:00;  2025-07-01 15:53:00;  2025-07-01 16:00:00;  2025-07-01 16:23:00;  2025-07-01 16:30:00;  2025-07-01 16:53:00;  2025-07-01 17:00:00;  2025-07-01 17:23:00;  2025-07-01 17:30:00;  2025-07-01 17:53:00;  2025-07-01 18:00:00;  2025-07-01 18:23:00;  2025-07-01 18:30:00;  2025-07-01 18:53:00;  2025-07-01 19:00:00;  2025-07-01 19:30:00;  2025-07-01 19:53:00;  2025-07-01 20:30:00;  2025-07-01 21:23:00;  2025-07-01 22:00:00;  2025-07-01 22:53:00;  2025-07-01 23:30:00
   Villars-Tiercelin, La Sapelle;      8583395;  DEPARTURE;  2025-07-01 05:53:00;  2025-07-01 06:23:00;  2025-07-01 06:30:00;  2025-07-01 06:53:00;  2025-07-01 07:00:00;  2025-07-01 07:23:00;  2025-07-01 07:30:00;  2025-07-01 07:53:00;  2025-07-01 08:00:00;  2025-07-01 08:30:00;  2025-07-01 09:23:00;  2025-07-01 10:00:00;  2025-07-01 10:53:00;  2025-07-01 11:30:00;  2025-07-01 12:23:00;  2025-07-01 12:53:00;  2025-07-01 13:00:00;  2025-07-01 13:30:00;  2025-07-01 13:53:00;  2025-07-01 14:30:00;  2025-07-01 15:23:00;  2025-07-01 15:53:00;  2025-07-01 16:00:00;  2025-07-01 16:23:00;  2025-07-01 16:30:00;  2025-07-01 16:53:00;  2025-07-01 17:00:00;  2025-07-01 17:23:00;  2025-07-01 17:30:00;  2025-07-01 17:53:00;  2025-07-01 18:00:00;  2025-07-01 18:23:00;  2025-07-01 18:30:00;  2025-07-01 18:53:00;  2025-07-01 19:00:00;  2025-07-01 19:30:00;  2025-07-01 19:53:00;  2025-07-01 20:30:00;  2025-07-01 21:23:00;  2025-07-01 22:00:00;  2025-07-01 22:53:00;  2025-07-01 23:30:00
      Villars-Tiercelin, village;      8570172;    ARRIVAL;  2025-07-01 05:52:00;  2025-07-01 06:22:00;  2025-07-01 06:31:00;  2025-07-01 06:52:00;  2025-07-01 07:01:00;  2025-07-01 07:22:00;  2025-07-01 07:31:00;  2025-07-01 07:52:00;  2025-07-01 08:01:00;  2025-07-01 08:31:00;  2025-07-01 09:22:00;  2025-07-01 10:01:00;  2025-07-01 10:52:00;  2025-07-01 11:31:00;  2025-07-01 12:22:00;  2025-07-01 12:52:00;  2025-07-01 13:01:00;  2025-07-01 13:31:00;  2025-07-01 13:52:00;  2025-07-01 14:31:00;  2025-07-01 15:22:00;  2025-07-01 15:52:00;  2025-07-01 16:01:00;  2025-07-01 16:22:00;  2025-07-01 16:31:00;  2025-07-01 16:52:00;  2025-07-01 17:01:00;  2025-07-01 17:22:00;  2025-07-01 17:31:00;  2025-07-01 17:52:00;  2025-07-01 18:01:00;  2025-07-01 18:22:00;  2025-07-01 18:31:00;  2025-07-01 18:52:00;  2025-07-01 19:01:00;  2025-07-01 19:31:00;  2025-07-01 19:52:00;  2025-07-01 20:31:00;  2025-07-01 21:22:00;  2025-07-01 22:01:00;  2025-07-01 22:52:00;  2025-07-01 23:31:00
      Villars-Tiercelin, village;      8570172;  DEPARTURE;  2025-07-01 05:52:00;  2025-07-01 06:22:00;  2025-07-01 06:31:00;  2025-07-01 06:52:00;  2025-07-01 07:01:00;  2025-07-01 07:22:00;  2025-07-01 07:31:00;  2025-07-01 07:52:00;  2025-07-01 08:01:00;  2025-07-01 08:31:00;  2025-07-01 09:22:00;  2025-07-01 10:01:00;  2025-07-01 10:52:00;  2025-07-01 11:31:00;  2025-07-01 12:22:00;  2025-07-01 12:52:00;  2025-07-01 13:01:00;  2025-07-01 13:31:00;  2025-07-01 13:52:00;  2025-07-01 14:31:00;  2025-07-01 15:22:00;  2025-07-01 15:52:00;  2025-07-01 16:01:00;  2025-07-01 16:22:00;  2025-07-01 16:31:00;  2025-07-01 16:52:00;  2025-07-01 17:01:00;  2025-07-01 17:22:00;  2025-07-01 17:31:00;  2025-07-01 17:52:00;  2025-07-01 18:01:00;  2025-07-01 18:22:00;  2025-07-01 18:31:00;  2025-07-01 18:52:00;  2025-07-01 19:01:00;  2025-07-01 19:31:00;  2025-07-01 19:52:00;  2025-07-01 20:31:00;  2025-07-01 21:22:00;  2025-07-01 22:01:00;  2025-07-01 22:52:00;  2025-07-01 23:31:00
  Peney-le-Jorat, Chalet Renards;      8570173;    ARRIVAL;  2025-07-01 05:50:00;  2025-07-01 06:20:00;  2025-07-01 06:32:00;  2025-07-01 06:50:00;  2025-07-01 07:02:00;  2025-07-01 07:20:00;  2025-07-01 07:32:00;  2025-07-01 07:50:00;  2025-07-01 08:02:00;  2025-07-01 08:32:00;  2025-07-01 09:20:00;  2025-07-01 10:02:00;  2025-07-01 10:50:00;  2025-07-01 11:32:00;  2025-07-01 12:20:00;  2025-07-01 12:50:00;  2025-07-01 13:02:00;  2025-07-01 13:32:00;  2025-07-01 13:50:00;  2025-07-01 14:32:00;  2025-07-01 15:20:00;  2025-07-01 15:50:00;  2025-07-01 16:02:00;  2025-07-01 16:20:00;  2025-07-01 16:32:00;  2025-07-01 16:50:00;  2025-07-01 17:02:00;  2025-07-01 17:20:00;  2025-07-01 17:32:00;  2025-07-01 17:50:00;  2025-07-01 18:02:00;  2025-07-01 18:20:00;  2025-07-01 18:32:00;  2025-07-01 18:50:00;  2025-07-01 19:02:00;  2025-07-01 19:32:00;  2025-07-01 19:50:00;  2025-07-01 20:32:00;  2025-07-01 21:20:00;  2025-07-01 22:02:00;  2025-07-01 22:50:00;  2025-07-01 23:32:00
  Peney-le-Jorat, Chalet Renards;      8570173;  DEPARTURE;  2025-07-01 05:50:00;  2025-07-01 06:20:00;  2025-07-01 06:32:00;  2025-07-01 06:50:00;  2025-07-01 07:02:00;  2025-07-01 07:20:00;  2025-07-01 07:32:00;  2025-07-01 07:50:00;  2025-07-01 08:02:00;  2025-07-01 08:32:00;  2025-07-01 09:20:00;  2025-07-01 10:02:00;  2025-07-01 10:50:00;  2025-07-01 11:32:00;  2025-07-01 12:20:00;  2025-07-01 12:50:00;  2025-07-01 13:02:00;  2025-07-01 13:32:00;  2025-07-01 13:50:00;  2025-07-01 14:32:00;  2025-07-01 15:20:00;  2025-07-01 15:50:00;  2025-07-01 16:02:00;  2025-07-01 16:20:00;  2025-07-01 16:32:00;  2025-07-01 16:50:00;  2025-07-01 17:02:00;  2025-07-01 17:20:00;  2025-07-01 17:32:00;  2025-07-01 17:50:00;  2025-07-01 18:02:00;  2025-07-01 18:20:00;  2025-07-01 18:32:00;  2025-07-01 18:50:00;  2025-07-01 19:02:00;  2025-07-01 19:32:00;  2025-07-01 19:50:00;  2025-07-01 20:32:00;  2025-07-01 21:20:00;  2025-07-01 22:02:00;  2025-07-01 22:50:00;  2025-07-01 23:32:00
