,Number,Name,lv95East,lv95North,ArriveePrevue,ArriveeReel,DepartPrevu,DepartReel,InZone
0,8579234,"Ecublens VD, EPFL Piccard",2533226.62602,1152482.70215,,,17.11.2024 15:51,17.11.2024 15:50:57,1
1,8579233,"Ecublens VD, EPFL (bus)",2533107.0,1152679.0,17.11.2024 15:51,17.11.2024 15:52:08,17.11.2024 15:51,17.11.2024 15:52:13,1
2,8591952,"Ecublens VD, Ormet",2532495.0,1152858.0,17.11.2024 15:54,17.11.2024 15:54:11,17.11.2024 15:54,17.11.2024 15:54:16,1
3,8591949,"Ecublens VD, En Enjalin",2532358.0,1152927.0,17.11.2024 15:55,17.11.2024 15:54:54,17.11.2024 15:55,17.11.2024 15:54:59,1
4,8591954,"Ecublens VD, Perrettes",2532466.0,1153147.0,17.11.2024 15:55,17.11.2024 15:55:18,17.11.2024 15:55,17.11.2024 15:55:23,0
5,8591961,"Ecublens VD, Villars",2532675.0,1153514.0,17.11.2024 15:56,17.11.2024 15:56:14,17.11.2024 15:56,17.11.2024 15:56:25,-1
6,8592248,"Ecublens VD, Larges Pièces",2532232.11857,1153795.57806,17.11.2024 15:58,17.11.2024 15:57:38,17.11.2024 15:58,17.11.2024 15:57:43,-1
7,8592244,"Echandens, Chocolatière",2531587.78513,1154297.10699,17.11.2024 16:01,17.11.2024 15:59:47,17.11.2024 16:01,17.11.2024 16:00:13,-1
8,8592243,"Echandens, Riaz",2531227.4023,1154311.99642,17.11.2024 16:02,17.11.2024 16:01:15,17.11.2024 16:02,17.11.2024 16:02:36,-1
9,8588875,"Echandens, centre",2531142.0,1154096.0,17.11.2024 16:03,17.11.2024 16:01:48,17.11.2024 16:03,17.11.2024 16:01:53,-1
10,8595213,"Echandens, collège",2531135.13246,1153844.1333,17.11.2024 16:03,17.11.2024 16:02:51,17.11.2024 16:03,17.11.2024 16:03:02,-1
11,8588872,"Denges, Les Oches",2531178.62831,1153155.79499,17.11.2024 16:05,17.11.2024 16:04:26,17.11.2024 16:05,17.11.2024 16:04:31,-1
12,8592242,"Denges, village",2531088.48382,1152835.77612,17.11.2024 16:06,17.11.2024 16:05:42,17.11.2024 16:06,17.11.2024 16:05:47,-1
13,8592239,"Denges, La Pale",2531209.31847,1152347.6803,17.11.2024 16:08,17.11.2024 16:07:02,17.11.2024 16:08,17.11.2024 16:07:07,-1
14,8592241,"Denges, Sur les Moulins",2531176.04448,1151922.30311,17.11.2024 16:09,17.11.2024 16:07:48,17.11.2024 16:09,17.11.2024 16:07:53,-1
15,8592240,"Denges, Pierraz-Mur",2530776.0,1151938.0,17.11.2024 16:11,17.11.2024 16:09:14,17.11.2024 16:11,17.11.2024 16:10:04,-1
16,8579230,"Préverenges, village",2529987.0,1152190.0,17.11.2024 16:12,17.11.2024 16:11:31,17.11.2024 16:12,17.11.2024 16:12:07,-1
17,8588898,"Préverenges, Capellan",2529954.0,1152437.0,17.11.2024 16:13,17.11.2024 16:13:51,17.11.2024 16:13,17.11.2024 16:14:05,-1
18,8595218,"Lonay, gare",2529595.32548,1152839.54191,17.11.2024 16:15,17.11.2024 16:15:13,17.11.2024 16:15,17.11.2024 16:15:18,-1
19,8595220,"Lonay, collège sud",2529640.51501,1153013.18921,17.11.2024 16:15,17.11.2024 16:16:21,17.11.2024 16:15,17.11.2024 16:16:26,-1
20,8592250,"Lonay, église",2529572.0,1153213.0,17.11.2024 16:17,17.11.2024 16:17:26,17.11.2024 16:17,17.11.2024 16:17:31,-1
21,8592254,"Lonay, parc",2529262.0,1153429.0,17.11.2024 16:18,17.11.2024 16:18:34,,,-1
