,Number,Name,lv95East,lv95North,ArriveePrevue,ArriveeReel,DepartPrevu,DepartReel,InZone
0,8570082,"Tolochenaz, La Plantaz",2526220.0,1151214.0,,,17.11.2024 19:38,17.11.2024 19:38:49,-1
1,8592270,"Morges, Prélionne",2526400.0,1151338.0,17.11.2024 19:39,17.11.2024 19:40:18,17.11.2024 19:39,17.11.2024 19:40:23,-1
2,8570081,"Morges, Vogéaz",2526611.0,1151500.0,17.11.2024 19:40,17.11.2024 19:40:55,17.11.2024 19:40,17.11.2024 19:41:08,-1
3,8592273,"Morges, Eglantine",2526774.0,1151568.0,17.11.2024 19:40,17.11.2024 19:41:27,17.11.2024 19:40,17.11.2024 19:41:32,-1
4,8592266,"Morges, La Prairie",2527004.15254,1151243.2246,17.11.2024 19:42,17.11.2024 19:42:22,17.11.2024 19:42,17.11.2024 19:42:27,-1
5,8570084,"Morges, gare",2527527.52285,1151442.27829,17.11.2024 19:45,17.11.2024 19:44:12,17.11.2024 19:45,17.11.2024 19:45:16,-1
6,8592261,"Morges, Casino",2527894.0,1151272.0,17.11.2024 19:46,17.11.2024 19:46:48,17.11.2024 19:46,17.11.2024 19:46:53,-1
7,8592278,"Morges, temple",2527966.0,1151460.0,17.11.2024 19:47,17.11.2024 19:47:25,17.11.2024 19:47,17.11.2024 19:47:50,-1
8,8592260,"Morges, Blancherie",2528220.0,1151923.0,17.11.2024 19:49,17.11.2024 19:48:50,17.11.2024 19:49,17.11.2024 19:49:05,-1
9,8592272,"Morges, St-Jean sud",2528655.0,1152144.0,17.11.2024 19:49,17.11.2024 19:49:57,17.11.2024 19:49,17.11.2024 19:50:08,-1
10,8592259,"Morges, Bief",2528912.0,1152181.0,17.11.2024 19:50,17.11.2024 19:50:27,17.11.2024 19:50,17.11.2024 19:50:32,-1
11,8592279,"Préverenges, Taudaz",2529331.0,1152250.0,17.11.2024 19:50,17.11.2024 19:51:13,17.11.2024 19:50,17.11.2024 19:51:25,-1
12,8579230,"Préverenges, village",2529987.0,1152190.0,17.11.2024 19:52,17.11.2024 19:52:31,17.11.2024 19:52,17.11.2024 19:53:03,-1
13,8592240,"Denges, Pierraz-Mur",2530776.0,1151938.0,17.11.2024 19:54,17.11.2024 19:54:23,17.11.2024 19:54,17.11.2024 19:54:34,-1
14,8510525,"St-Sulpice VD, Castolin",2531524.51949,1151737.00211,17.11.2024 19:55,17.11.2024 19:56:05,17.11.2024 19:55,17.11.2024 19:56:10,-1
15,8510526,"St-Sulpice VD, En Champagny",2531784.04427,1151773.36619,17.11.2024 19:56,17.11.2024 19:56:43,17.11.2024 19:56,17.11.2024 19:56:54,-1
16,8510527,"St-Sulpice VD, Ochettaz-Ormet",2532295.71238,1151769.50184,17.11.2024 19:57,17.11.2024 19:57:50,17.11.2024 19:57,17.11.2024 19:57:55,-1
17,8510528,"St-Sulpice VD, Pré-Fleuri",2532618.27626,1151924.21398,17.11.2024 19:58,17.11.2024 19:58:33,17.11.2024 19:58,17.11.2024 19:58:45,0
18,8595223,"St-Sulpice VD, Parc Scient.",2532863.0,1152073.0,17.11.2024 19:59,17.11.2024 19:59:19,17.11.2024 19:59,17.11.2024 19:59:31,1
19,8592227,"St-Sulpice VD, Pâqueret",2533389.0391,1152057.10831,17.11.2024 19:59,17.11.2024 20:00:30,17.11.2024 19:59,17.11.2024 20:00:35,1
20,8591945,"Ecublens VD, Champagne",2533572.50547,1152258.17793,17.11.2024 20:00,17.11.2024 20:00:58,17.11.2024 20:00,17.11.2024 20:01:03,0
21,8596053,"Ecublens VD, Blévallaire",2533903.21836,1152393.15561,17.11.2024 20:01,17.11.2024 20:01:27,17.11.2024 20:01,17.11.2024 20:01:32,-1
22,8591950,"Ecublens VD, allée de Dorigny",2534284.0,1152491.0,17.11.2024 20:02,17.11.2024 20:02:13,17.11.2024 20:02,17.11.2024 20:02:18,-1
23,8501210,"Lausanne, Bourdonnette",2534868.0,1152794.0,17.11.2024 20:05,17.11.2024 20:03:21,,,-1
