  index  ; Prilly, église ; Renens VD, Bourg-Dessus ; Renens VD, Follieu ; Renens VD, Borjod ; Renens VD, Saugiaz ; Renens VD, 1er Mai ; Renens VD, Industrie ; Crissier, Chicorée ; Renens VD, 14 Avril ; Renens VD, Avenir ; Count ; Direction 
  Route_A;             Yes;                      Yes;                 Yes;                Yes;                 Yes;                 Yes;                   Yes;                    ;                  Yes;                Yes;     69;          O
  Route_B;             Yes;                      Yes;                 Yes;                Yes;                 Yes;                 Yes;                   Yes;                 Yes;                  Yes;                Yes;     69;          R
