  index  ; Pully, Val-Vert ; Pully, Rosiaz ; Lausanne, Coudrette ; Lausanne, Chailly-Village ; Lausanne, Pont-de-Chailly ; Lausanne, Fauconnières ; Lausanne, Béthusy ; Lausanne, Ours ; Lausanne, César-Roux ; Lausanne, Tunnel ; Lausanne, Riponne-M. Béjart ; Lausanne, Bel-Air ; Lausanne, Chauderon ; Lausanne, Boston ; Lausanne, Recordon ; Lausanne, Prélaz ; Lausanne, Prélaz-les-Roses ; Prilly, Galicien ; Prilly, Galicien/aréna ; Count ; Direction 
  Route_A;              Yes;            Yes;                  Yes;                        Yes;                        Yes;                     Yes;                Yes;             Yes;                   Yes;               Yes;                          Yes;                Yes;                  Yes;               Yes;                 Yes;               Yes;                         Yes;               Yes;                     Yes;    262;         OR
  Route_B;              Yes;            Yes;                  Yes;                        Yes;                        Yes;                     Yes;                Yes;             Yes;                   Yes;               Yes;                          Yes;                Yes;                  Yes;               Yes;                 Yes;               Yes;                         Yes;               Yes;                        ;     11;          R
