           STOP_NAME            ; STOP_NUMBER ;   EVENT   ;      85:151:659     ;      85:151:685     ;      85:151:714     ;      85:151:686     ;      85:151:660     ;      85:151:744     ;      85:151:745     ;      85:151:715     ;      85:151:687     ;      85:151:661     ;      85:151:746     ;      85:151:716     ;      85:151:770     ;      85:151:778     ;      85:151:662     ;      85:151:688     ;      85:151:771     ;      85:151:779     ;      85:151:786     ;      85:151:747     ;      85:151:717     ;      85:151:795     ;      85:151:828     ;      85:151:689     ;      85:151:663     ;      85:151:787     ;      85:151:862     ;      85:151:796     ;      85:151:772     ;      85:151:780     ;      85:151:884     ;      85:151:829     ;      85:151:863     ;      85:151:748     ;      85:151:718     ;      85:151:664     ;      85:151:690     ;      85:151:885     ;      85:151:788     ;      85:151:797     ;      85:151:773     ;      85:151:781     ;      85:151:830     ;      85:151:864     ;      85:151:749     ;      85:151:719     ;      85:151:665     ;      85:151:691     ;      85:151:886     ;      85:151:789     ;      85:151:798     ;      85:151:774     ;      85:151:782     ;      85:151:831     ;      85:151:865     ;      85:151:750     ;      85:151:720     ;      85:151:666     ;      85:151:692     ;      85:151:887     ;      85:151:790     ;      85:151:799     ;      85:151:775     ;      85:151:783     ;      85:151:832     ;      85:151:866     ;      85:151:751     ;      85:151:721     ;      85:151:667     ;      85:151:693     ;      85:151:888     ;      85:151:791     ;      85:151:800     ;      85:151:833     ;      85:151:867     ;      85:151:752     ;      85:151:722     ;      85:151:668     ;      85:151:694     ;      85:151:792     ;      85:151:801     ;      85:151:834     ;      85:151:868     ;      85:151:753     ;      85:151:723     ;      85:151:669     ;      85:151:695     ;      85:151:802     ;      85:151:835     ;      85:151:869     ;      85:151:754     ;      85:151:724     ;      85:151:670     ;      85:151:696     ;      85:151:803     ;      85:151:836     ;      85:151:870     ;      85:151:755     ;      85:151:725     ;      85:151:671     ;      85:151:697     ;      85:151:804     ;      85:151:837     ;      85:151:871     ;      85:151:756     ;      85:151:726     ;      85:151:672     ;      85:151:698     ;      85:151:805     ;      85:151:838     ;      85:151:872     ;      85:151:757     ;      85:151:727     ;      85:151:673     ;      85:151:699     ;      85:151:806     ;      85:151:839     ;      85:151:873     ;      85:151:758     ;      85:151:728     ;      85:151:674     ;      85:151:700     ;      85:151:807     ;      85:151:840     ;      85:151:891     ;      85:151:874     ;      85:151:759     ;      85:151:892     ;      85:151:729     ;      85:151:675     ;      85:151:701     ;      85:151:841     ;      85:151:808     ;      85:151:760     ;      85:151:913     ;      85:151:875     ;      85:151:893     ;      85:151:730     ;      85:151:676     ;      85:151:702     ;      85:151:926     ;      85:151:914     ;      85:151:842     ;      85:151:809     ;      85:151:934     ;      85:151:761     ;      85:151:876     ;      85:151:894     ;      85:151:927     ;      85:151:935     ;      85:151:731     ;      85:151:677     ;      85:151:703     ;      85:151:915     ;      85:151:843     ;      85:151:810     ;      85:151:762     ;      85:151:877     ;      85:151:895     ;      85:151:928     ;      85:151:936     ;      85:151:732     ;      85:151:678     ;      85:151:704     ;      85:151:916     ;      85:151:844     ;      85:151:811     ;      85:151:763     ;      85:151:878     ;      85:151:896     ;      85:151:929     ;      85:151:937     ;      85:151:733     ;      85:151:705     ;      85:151:679     ;      85:151:917     ;      85:151:845     ;      85:151:812     ;      85:151:764     ;      85:151:879     ;      85:151:897     ;      85:151:930     ;      85:151:938     ;      85:151:734     ;      85:151:680     ;      85:151:706     ;      85:151:918     ;      85:151:846     ;      85:151:813     ;      85:151:765     ;      85:151:880     ;      85:151:898     ;      85:151:931     ;      85:151:735     ;      85:151:939     ;      85:151:707     ;      85:151:681     ;      85:151:847     ;      85:151:919     ;      85:151:766     ;      85:151:814     ;      85:151:899     ;      85:151:881     ;      85:151:736     ;      85:151:940     ;      85:151:682     ;      85:151:708     ;      85:151:920     ;      85:151:848     ;      85:151:767     ;      85:151:815     ;      85:151:900     ;      85:151:737     ;      85:151:941     ;      85:151:709     ;      85:151:921     ;      85:151:849     ;      85:151:816     ;      85:151:901     ;      85:151:738     ;      85:151:942     ;      85:151:710     ;      85:151:922     ;      85:151:850     ;      85:151:817     ;      85:151:902     ;      85:151:739     ;      85:151:943     ;      85:151:711     ;      85:151:923     ;      85:151:851     ;      85:151:818     ;      85:151:903     ;      85:151:740     ;      85:151:944     ;      85:151:852     ;      85:151:819     ;      85:151:904     ;      85:151:741     ;      85:151:945     ;      85:151:853     ;      85:151:905     ;      85:151:820     ;      85:151:946     ;      85:151:854     ;      85:151:821     ;      85:151:906     ;      85:151:855     ;      85:151:947     ;      85:151:822     ;      85:151:907     ;      85:151:856     ;      85:151:948     ;      85:151:823     ;      85:151:908     ;      85:151:857     ;      85:151:949     ;      85:151:909     ;      85:151:824     ;      85:151:950     ;      85:151:858     ;      85:151:825     ;      85:151:910     ;      85:151:859     ;      85:151:951     
  Villars-Ste-Croix, Croix Péage;      8588846;    ARRIVAL;  2025-07-01 05:10:00;                     ;  2025-07-01 05:26:00;  2025-07-01 05:39:00;                     ;                     ;  2025-07-01 05:56:00;                     ;                     ;  2025-07-01 06:13:00;                     ;  2025-07-01 06:33:00;                     ;  2025-07-01 06:25:00;                     ;  2025-07-01 06:47:00;  2025-07-01 06:59:00;                     ;  2025-07-01 06:53:00;  2025-07-01 07:14:00;                     ;                     ;  2025-07-01 07:08:00;                     ;  2025-07-01 07:24:00;                     ;                     ;  2025-07-01 07:34:00;                     ;  2025-07-01 07:43:00;  2025-07-01 07:29:00;                     ;  2025-07-01 07:50:00;                     ;  2025-07-01 07:57:00;                     ;  2025-07-01 08:04:00;                     ;  2025-07-01 08:11:00;                     ;  2025-07-01 08:19:00;                     ;  2025-07-01 08:26:00;                     ;  2025-07-01 08:34:00;                     ;  2025-07-01 08:40:00;                     ;  2025-07-01 08:48:00;                     ;  2025-07-01 08:55:00;                     ;  2025-07-01 09:02:00;                     ;  2025-07-01 09:09:00;                     ;  2025-07-01 09:16:00;                     ;  2025-07-01 09:24:00;                     ;  2025-07-01 09:29:00;                     ;                     ;                     ;  2025-07-01 09:39:00;                     ;  2025-07-01 09:48:00;                     ;  2025-07-01 09:56:00;                     ;                     ;                     ;  2025-07-01 10:09:00;                     ;  2025-07-01 10:19:00;                     ;  2025-07-01 10:29:00;                     ;  2025-07-01 10:37:00;                     ;                     ;  2025-07-01 10:49:00;                     ;  2025-07-01 10:59:00;                     ;  2025-07-01 11:09:00;                     ;  2025-07-01 11:19:00;                     ;  2025-07-01 11:29:00;                     ;  2025-07-01 11:39:00;                     ;  2025-07-01 11:49:00;                     ;  2025-07-01 11:59:00;                     ;  2025-07-01 12:09:00;                     ;  2025-07-01 12:19:00;                     ;  2025-07-01 12:29:00;                     ;  2025-07-01 12:39:00;                     ;  2025-07-01 12:49:00;                     ;  2025-07-01 12:59:00;                     ;  2025-07-01 13:09:00;                     ;  2025-07-01 13:19:00;                     ;  2025-07-01 13:29:00;                     ;  2025-07-01 13:40:00;                     ;  2025-07-01 13:50:00;                     ;  2025-07-01 14:00:00;                     ;  2025-07-01 14:10:00;                     ;  2025-07-01 14:20:00;                     ;                     ;  2025-07-01 14:29:00;  2025-07-01 14:36:00;                     ;  2025-07-01 14:46:00;                     ;                     ;  2025-07-01 14:59:00;                     ;  2025-07-01 14:53:00;  2025-07-01 15:08:00;                     ;  2025-07-01 15:19:00;                     ;  2025-07-01 15:26:00;  2025-07-01 15:13:00;                     ;  2025-07-01 15:36:00;                     ;                     ;  2025-07-01 15:43:00;                     ;  2025-07-01 15:51:00;                     ;  2025-07-01 15:57:00;                     ;  2025-07-01 16:04:00;                     ;  2025-07-01 16:12:00;                     ;  2025-07-01 16:19:00;                     ;  2025-07-01 16:26:00;                     ;  2025-07-01 16:35:00;                     ;  2025-07-01 16:43:00;                     ;  2025-07-01 16:51:00;                     ;  2025-07-01 16:58:00;                     ;  2025-07-01 17:08:00;                     ;  2025-07-01 17:16:00;                     ;  2025-07-01 17:24:00;                     ;                     ;  2025-07-01 17:32:00;  2025-07-01 17:39:00;                     ;  2025-07-01 17:46:00;                     ;  2025-07-01 17:53:00;                     ;  2025-07-01 18:01:00;                     ;  2025-07-01 18:06:00;                     ;  2025-07-01 18:14:00;                     ;  2025-07-01 18:23:00;                     ;  2025-07-01 18:32:00;                     ;  2025-07-01 18:40:00;                     ;                     ;  2025-07-01 18:46:00;                     ;  2025-07-01 18:54:00;                     ;  2025-07-01 19:02:00;                     ;  2025-07-01 19:11:00;                     ;                     ;  2025-07-01 19:24:00;                     ;                     ;  2025-07-01 19:32:00;                     ;  2025-07-01 19:40:00;                     ;                     ;  2025-07-01 19:52:00;                     ;  2025-07-01 20:01:00;                     ;  2025-07-01 20:11:00;                     ;  2025-07-01 20:21:00;                     ;  2025-07-01 20:31:00;                     ;  2025-07-01 20:41:00;                     ;  2025-07-01 20:49:00;                     ;  2025-07-01 21:00:00;                     ;  2025-07-01 21:10:00;                     ;                     ;                     ;  2025-07-01 21:26:00;                     ;  2025-07-01 21:39:00;                     ;  2025-07-01 21:51:00;                     ;  2025-07-01 22:05:00;                     ;  2025-07-01 22:20:00;                     ;                     ;  2025-07-01 22:34:00;                     ;  2025-07-01 22:50:00;                     ;  2025-07-01 23:06:00;                     ;  2025-07-01 23:21:00;  2025-07-01 23:35:00;                     ;  2025-07-01 23:50:00;                     ;                     ;  2025-08-01 00:05:00;                     ;  2025-08-01 00:20:00;                     ;  2025-08-01 00:35:00;                     ;  2025-08-01 00:50:00;                     ;                     ;                     ;                     
  Villars-Ste-Croix, Croix Péage;      8588846;  DEPARTURE;                     ;                     ;                     ;                     ;  2025-07-01 05:17:00;                     ;                     ;  2025-07-01 05:30:00;  2025-07-01 05:43:00;                     ;  2025-07-01 06:02:00;                     ;                     ;                     ;  2025-07-01 06:16:00;                     ;                     ;  2025-07-01 06:32:00;                     ;                     ;  2025-07-01 06:46:00;                     ;                     ;  2025-07-01 06:52:00;                     ;  2025-07-01 06:58:00;                     ;                     ;  2025-07-01 07:05:00;                     ;                     ;  2025-07-01 07:13:00;                     ;  2025-07-01 07:20:00;                     ;  2025-07-01 07:28:00;                     ;  2025-07-01 07:34:00;                     ;  2025-07-01 07:42:00;                     ;  2025-07-01 07:49:00;                     ;  2025-07-01 07:56:00;                     ;  2025-07-01 08:03:00;                     ;  2025-07-01 08:11:00;                     ;  2025-07-01 08:19:00;                     ;  2025-07-01 08:26:00;                     ;  2025-07-01 08:32:00;                     ;  2025-07-01 08:39:00;                     ;  2025-07-01 08:47:00;                     ;  2025-07-01 08:55:00;                     ;  2025-07-01 09:01:00;                     ;  2025-07-01 09:06:00;                     ;  2025-07-01 09:13:00;                     ;  2025-07-01 09:20:00;                     ;  2025-07-01 09:28:00;                     ;  2025-07-01 09:36:00;                     ;  2025-07-01 09:43:00;                     ;  2025-07-01 09:53:00;                     ;  2025-07-01 10:03:00;                     ;                     ;  2025-07-01 10:13:00;                     ;  2025-07-01 10:23:00;                     ;  2025-07-01 10:33:00;                     ;  2025-07-01 10:43:00;                     ;  2025-07-01 10:53:00;                     ;  2025-07-01 11:03:00;                     ;  2025-07-01 11:13:00;                     ;  2025-07-01 11:23:00;                     ;  2025-07-01 11:33:00;                     ;  2025-07-01 11:43:00;                     ;  2025-07-01 11:53:00;                     ;  2025-07-01 12:03:00;                     ;  2025-07-01 12:13:00;                     ;  2025-07-01 12:23:00;                     ;  2025-07-01 12:33:00;                     ;  2025-07-01 12:43:00;                     ;  2025-07-01 12:53:00;                     ;  2025-07-01 13:03:00;                     ;  2025-07-01 13:13:00;                     ;  2025-07-01 13:23:00;                     ;  2025-07-01 13:35:00;                     ;  2025-07-01 13:47:00;                     ;                     ;  2025-07-01 13:58:00;                     ;                     ;  2025-07-01 14:07:00;                     ;  2025-07-01 14:18:00;  2025-07-01 14:25:00;                     ;  2025-07-01 14:33:00;                     ;                     ;  2025-07-01 14:41:00;                     ;  2025-07-01 14:52:00;                     ;                     ;  2025-07-01 14:59:00;                     ;  2025-07-01 15:06:00;                     ;                     ;  2025-07-01 15:12:00;                     ;  2025-07-01 15:19:00;                     ;  2025-07-01 15:26:00;                     ;  2025-07-01 15:33:00;                     ;  2025-07-01 15:40:00;                     ;  2025-07-01 15:48:00;                     ;  2025-07-01 15:56:00;                     ;  2025-07-01 16:04:00;                     ;  2025-07-01 16:10:00;                     ;  2025-07-01 16:18:00;                     ;  2025-07-01 16:25:00;                     ;  2025-07-01 16:32:00;                     ;  2025-07-01 16:40:00;                     ;  2025-07-01 16:48:00;  2025-07-01 16:55:00;                     ;                     ;  2025-07-01 17:03:00;                     ;  2025-07-01 17:12:00;                     ;  2025-07-01 17:20:00;                     ;  2025-07-01 17:28:00;                     ;  2025-07-01 17:36:00;                     ;  2025-07-01 17:44:00;                     ;  2025-07-01 17:52:00;                     ;  2025-07-01 18:00:00;                     ;  2025-07-01 18:05:00;  2025-07-01 18:12:00;                     ;  2025-07-01 18:20:00;                     ;  2025-07-01 18:27:00;                     ;  2025-07-01 18:36:00;                     ;  2025-07-01 18:44:00;                     ;                     ;  2025-07-01 18:53:00;  2025-07-01 18:58:00;                     ;  2025-07-01 19:06:00;                     ;                     ;  2025-07-01 19:16:00;                     ;  2025-07-01 19:28:00;                     ;  2025-07-01 19:36:00;                     ;  2025-07-01 19:45:00;                     ;  2025-07-01 19:56:00;                     ;  2025-07-01 20:05:00;                     ;  2025-07-01 20:15:00;                     ;  2025-07-01 20:25:00;                     ;  2025-07-01 20:37:00;                     ;  2025-07-01 20:45:00;                     ;  2025-07-01 20:53:00;                     ;  2025-07-01 21:07:00;                     ;  2025-07-01 21:22:00;                     ;  2025-07-01 21:37:00;                     ;  2025-07-01 21:43:00;                     ;  2025-07-01 21:55:00;  2025-07-01 22:09:00;                     ;  2025-07-01 22:24:00;                     ;  2025-07-01 22:39:00;                     ;  2025-07-01 22:55:00;                     ;                     ;  2025-07-01 23:10:00;                     ;  2025-07-01 23:25:00;  2025-07-01 23:40:00;                     ;  2025-07-01 23:55:00;                     ;  2025-08-01 00:09:00;                     ;  2025-08-01 00:24:00;                     ;  2025-08-01 00:39:00;                     ;  2025-08-01 00:54:00;                     
                 Bussigny, Rente;      8594178;    ARRIVAL;  2025-07-01 05:09:00;                     ;  2025-07-01 05:25:00;  2025-07-01 05:38:00;  2025-07-01 05:18:00;                     ;  2025-07-01 05:55:00;  2025-07-01 05:31:00;  2025-07-01 05:44:00;  2025-07-01 06:12:00;  2025-07-01 06:03:00;  2025-07-01 06:32:00;                     ;  2025-07-01 06:24:00;  2025-07-01 06:17:00;  2025-07-01 06:46:00;  2025-07-01 06:58:00;  2025-07-01 06:33:00;  2025-07-01 06:52:00;  2025-07-01 07:13:00;  2025-07-01 06:47:00;                     ;  2025-07-01 07:07:00;  2025-07-01 06:53:00;  2025-07-01 07:23:00;  2025-07-01 06:59:00;                     ;  2025-07-01 07:33:00;  2025-07-01 07:06:00;  2025-07-01 07:42:00;  2025-07-01 07:28:00;  2025-07-01 07:14:00;  2025-07-01 07:49:00;  2025-07-01 07:21:00;  2025-07-01 07:56:00;  2025-07-01 07:29:00;  2025-07-01 08:03:00;  2025-07-01 07:35:00;  2025-07-01 08:10:00;  2025-07-01 07:43:00;  2025-07-01 08:18:00;  2025-07-01 07:50:00;  2025-07-01 08:25:00;  2025-07-01 07:57:00;  2025-07-01 08:33:00;  2025-07-01 08:04:00;  2025-07-01 08:39:00;  2025-07-01 08:12:00;  2025-07-01 08:47:00;  2025-07-01 08:20:00;  2025-07-01 08:54:00;  2025-07-01 08:27:00;  2025-07-01 09:01:00;  2025-07-01 08:33:00;  2025-07-01 09:08:00;  2025-07-01 08:40:00;  2025-07-01 09:15:00;  2025-07-01 08:48:00;  2025-07-01 09:23:00;  2025-07-01 08:56:00;  2025-07-01 09:28:00;  2025-07-01 09:02:00;                     ;  2025-07-01 09:07:00;  2025-07-01 09:38:00;  2025-07-01 09:14:00;  2025-07-01 09:47:00;  2025-07-01 09:21:00;  2025-07-01 09:55:00;  2025-07-01 09:29:00;                     ;  2025-07-01 09:37:00;  2025-07-01 10:08:00;  2025-07-01 09:44:00;  2025-07-01 10:18:00;  2025-07-01 09:54:00;  2025-07-01 10:28:00;  2025-07-01 10:04:00;  2025-07-01 10:36:00;                     ;  2025-07-01 10:14:00;  2025-07-01 10:48:00;  2025-07-01 10:24:00;  2025-07-01 10:58:00;  2025-07-01 10:34:00;  2025-07-01 11:08:00;  2025-07-01 10:44:00;  2025-07-01 11:18:00;  2025-07-01 10:54:00;  2025-07-01 11:28:00;  2025-07-01 11:04:00;  2025-07-01 11:38:00;  2025-07-01 11:14:00;  2025-07-01 11:48:00;  2025-07-01 11:24:00;  2025-07-01 11:58:00;  2025-07-01 11:34:00;  2025-07-01 12:08:00;  2025-07-01 11:44:00;  2025-07-01 12:18:00;  2025-07-01 11:54:00;  2025-07-01 12:28:00;  2025-07-01 12:04:00;  2025-07-01 12:38:00;  2025-07-01 12:14:00;  2025-07-01 12:48:00;  2025-07-01 12:24:00;  2025-07-01 12:58:00;  2025-07-01 12:34:00;  2025-07-01 13:08:00;  2025-07-01 12:44:00;  2025-07-01 13:18:00;  2025-07-01 12:54:00;  2025-07-01 13:28:00;  2025-07-01 13:04:00;  2025-07-01 13:39:00;  2025-07-01 13:14:00;  2025-07-01 13:49:00;  2025-07-01 13:24:00;  2025-07-01 13:59:00;  2025-07-01 13:36:00;  2025-07-01 14:09:00;  2025-07-01 13:48:00;  2025-07-01 14:19:00;                     ;  2025-07-01 13:59:00;  2025-07-01 14:28:00;  2025-07-01 14:35:00;  2025-07-01 14:08:00;  2025-07-01 14:45:00;  2025-07-01 14:19:00;  2025-07-01 14:26:00;  2025-07-01 14:58:00;  2025-07-01 14:34:00;  2025-07-01 14:52:00;  2025-07-01 15:07:00;  2025-07-01 14:42:00;  2025-07-01 15:18:00;  2025-07-01 14:53:00;  2025-07-01 15:25:00;  2025-07-01 15:12:00;  2025-07-01 15:00:00;  2025-07-01 15:35:00;  2025-07-01 15:07:00;                     ;  2025-07-01 15:42:00;  2025-07-01 15:13:00;  2025-07-01 15:50:00;  2025-07-01 15:20:00;  2025-07-01 15:56:00;  2025-07-01 15:27:00;  2025-07-01 16:03:00;  2025-07-01 15:34:00;  2025-07-01 16:11:00;  2025-07-01 15:41:00;  2025-07-01 16:18:00;  2025-07-01 15:49:00;  2025-07-01 16:25:00;  2025-07-01 15:57:00;  2025-07-01 16:34:00;  2025-07-01 16:05:00;  2025-07-01 16:42:00;  2025-07-01 16:11:00;  2025-07-01 16:50:00;  2025-07-01 16:19:00;  2025-07-01 16:57:00;  2025-07-01 16:26:00;  2025-07-01 17:07:00;  2025-07-01 16:33:00;  2025-07-01 17:15:00;  2025-07-01 16:41:00;  2025-07-01 17:23:00;  2025-07-01 16:49:00;  2025-07-01 16:56:00;  2025-07-01 17:31:00;  2025-07-01 17:38:00;  2025-07-01 17:04:00;  2025-07-01 17:45:00;  2025-07-01 17:13:00;  2025-07-01 17:52:00;  2025-07-01 17:21:00;  2025-07-01 18:00:00;  2025-07-01 17:29:00;  2025-07-01 18:05:00;  2025-07-01 17:37:00;  2025-07-01 18:13:00;  2025-07-01 17:45:00;  2025-07-01 18:22:00;  2025-07-01 17:53:00;  2025-07-01 18:31:00;  2025-07-01 18:01:00;  2025-07-01 18:39:00;  2025-07-01 18:06:00;  2025-07-01 18:13:00;  2025-07-01 18:45:00;  2025-07-01 18:21:00;  2025-07-01 18:53:00;  2025-07-01 18:28:00;  2025-07-01 19:01:00;  2025-07-01 18:37:00;  2025-07-01 19:10:00;  2025-07-01 18:45:00;                     ;  2025-07-01 19:23:00;  2025-07-01 18:54:00;  2025-07-01 18:59:00;  2025-07-01 19:31:00;  2025-07-01 19:07:00;  2025-07-01 19:39:00;                     ;  2025-07-01 19:17:00;  2025-07-01 19:51:00;  2025-07-01 19:29:00;  2025-07-01 20:00:00;  2025-07-01 19:37:00;  2025-07-01 20:10:00;  2025-07-01 19:46:00;  2025-07-01 20:20:00;  2025-07-01 19:57:00;  2025-07-01 20:30:00;  2025-07-01 20:06:00;  2025-07-01 20:40:00;  2025-07-01 20:16:00;  2025-07-01 20:48:00;  2025-07-01 20:26:00;  2025-07-01 20:59:00;  2025-07-01 20:38:00;  2025-07-01 21:09:00;  2025-07-01 20:46:00;                     ;  2025-07-01 20:54:00;  2025-07-01 21:25:00;  2025-07-01 21:08:00;  2025-07-01 21:38:00;  2025-07-01 21:23:00;  2025-07-01 21:50:00;  2025-07-01 21:38:00;  2025-07-01 22:04:00;  2025-07-01 21:44:00;  2025-07-01 22:19:00;  2025-07-01 21:56:00;  2025-07-01 22:10:00;  2025-07-01 22:33:00;  2025-07-01 22:25:00;  2025-07-01 22:49:00;  2025-07-01 22:40:00;  2025-07-01 23:05:00;  2025-07-01 22:56:00;  2025-07-01 23:20:00;  2025-07-01 23:34:00;  2025-07-01 23:11:00;  2025-07-01 23:49:00;  2025-07-01 23:26:00;  2025-07-01 23:41:00;  2025-08-01 00:04:00;  2025-07-01 23:56:00;  2025-08-01 00:19:00;  2025-08-01 00:10:00;  2025-08-01 00:34:00;  2025-08-01 00:25:00;  2025-08-01 00:49:00;  2025-08-01 00:40:00;                     ;  2025-08-01 00:55:00;                     
