           STOP_NAME            ; STOP_NUMBER ;   POSITION_X  ;   POSITION_Y  ;      DISTANCE      ; Route_A ; Route_B ; Route_C ; Route_D 
                Prilly, Galicien;      8592049;      2535968.0;      1153319.0;                 0.0;      Yes;      Yes;      Yes;      Yes
                Lausanne, Malley;      8501209;  2535847.94901;  1152880.22349;  454.90335888816327;      Yes;      Yes;      Yes;      Yes
           Renens VD, Longemalle;      8592215;      2535392.0;      1153045.0;   939.7134226944427;      Yes;      Yes;      Yes;      Yes
           Renens VD, rue du Lac;      8592219;      2535061.0;      1153251.0;  1329.5813490489968;      Yes;      Yes;      Yes;      Yes
                Renens VD, Chêne;      8592210;      2534899.0;      1153437.0;  1576.2390065421305;      Yes;      Yes;      Yes;      Yes
              Renens VD, Caudray;      8592218;      2534580.0;      1153738.0;  2014.8299321208524;      Yes;      Yes;      Yes;      Yes
               Renens VD, Censuy;      8592209;      2534431.0;      1153812.0;   2181.193990739293;      Yes;      Yes;      Yes;      Yes
         Chavannes-R., Préfaully;      8593866;      2534059.0;      1153950.0;  2577.9659655560636;      Yes;      Yes;      Yes;      Yes
          Chavannes-R., Concorde;      8593868;      2533691.0;      1153816.0;  2969.6035531290645;      Yes;      Yes;      Yes;      Yes
            Chavannes-R., Planta;      8591933;      2533594.0;      1154023.0;  3198.2036406181114;      Yes;      Yes;      Yes;      Yes
          Chavannes-R., Glycines;      8593869;      2533869.0;      1154252.0;  3556.0667429351847;      Yes;      Yes;      Yes;      Yes
             Renens VD, gare sud;      8588983;      2534082.0;      1154287.0;  3771.9231767054107;      Yes;      Yes;      Yes;      Yes
               Renens VD, Avenir;      8592202;   2534348.3731;  1154498.66053;    4112.15075989565;      Yes;      Yes;      Yes;      Yes
             Renens VD, 14 Avril;      8588839;      2534113.0;      1154587.0;   4363.555529467503;      Yes;      Yes;      Yes;      Yes
              Crissier, Chicorée;      8510421;  2534110.61799;  1154745.76893;   4522.342327108209;      Yes;         ;         ;      Yes
                Crissier, Noutes;      8588840;      2534099.0;      1155053.0;   4829.792986669994;      Yes;      Yes;      Yes;      Yes
               Crissier, scierie;      8588841;      2534095.0;      1155420.0;   5196.814784387787;      Yes;      Yes;      Yes;      Yes
                   Crissier, Bré;      8588842;      2534093.0;      1155828.0;   5604.819686319124;      Yes;      Yes;      Yes;      Yes
                Crissier, centre;      8588843;      2533922.0;      1156187.0;   6002.465257148223;      Yes;      Yes;      Yes;      Yes
               Crissier, Timonet;      8588845;      2533672.0;      1156420.0;   6344.209313424261;      Yes;      Yes;      Yes;      Yes
  Villars-Ste-Croix, Croix Péage;      8588846;      2533051.0;      1157027.0;   7212.592869233559;      Yes;      Yes;      Yes;      Yes
       Villars-Ste-Croix, Colice;      8595978;      2533113.0;      1157179.0;   7376.751329265322;      Yes;         ;         ;      Yes
     Villars-Ste-Croix, Le Sansy;      8588848;      2533042.0;      1157804.0;  8005.7712017653885;      Yes;         ;         ;      Yes
      Villars-Ste-Croix, village;      8588847;  2532765.12513;  1157793.40264;   8282.848804029545;      Yes;         ;         ;      Yes
   Villars-Ste-Croix, En Coulaye;      8583748;  2532574.57735;  1157569.64818;   8576.744218816606;      Yes;      Yes;      Yes;         
                   Mex VD, Faraz;      8594270;      2531907.2;      1157602.4;   9161.778572084022;         ;         ;      Yes;      Yes
                           Count;             ;               ;               ;                    ;       47;       46;       34;       34
                       Direction;             ;               ;               ;                    ;        O;        R;        R;        O
