STOP_NAME;STOP_NUMBER;EVENT;85:151:7069;85:151:7070;85:151:7072;85:151:7073;85:151:7075;85:151:7076;POSITION_X;POSITION_Y
Ecublens VD, place de sport;8591955;DEPARTURE;2025-04-01 01:31:00;;2025-04-01 03:23:00;;2025-04-01 04:47:00;;2532890;1154149
Ecublens VD, Renges;8591956;ARRIVAL;2025-04-01 01:38:00;;2025-04-01 03:30:00;;2025-04-01 04:54:00;;2532177;1152742
Ecublens VD, Renges;8591956;DEPARTURE;2025-04-01 01:38:00;;2025-04-01 03:30:00;;2025-04-01 04:54:00;;2532177;1152742
Ecublens VD, Stand;8591957;ARRIVAL;2025-04-01 01:32:00;;2025-04-01 03:24:00;;2025-04-01 04:48:00;;2532783;1153872
Ecublens VD, Stand;8591957;DEPARTURE;2025-04-01 01:32:00;;2025-04-01 03:24:00;;2025-04-01 04:48:00;;2532783;1153872
Ecublens VD, Suchet-Forêt;8591958;ARRIVAL;2025-04-01 01:29:00;;2025-04-01 03:21:00;;2025-04-01 04:45:00;;2533411;1154656
Ecublens VD, Suchet-Forêt;8591958;DEPARTURE;2025-04-01 01:29:00;;2025-04-01 03:21:00;;2025-04-01 04:45:00;;2533411;1154656
Ecublens VD, Champs-Courbes;8591959;ARRIVAL;2025-04-01 01:39:00;;2025-04-01 03:31:00;;2025-04-01 04:55:00;;2531812;1152058
Ecublens VD, Champs-Courbes;8591959;DEPARTURE;2025-04-01 01:39:00;;2025-04-01 03:31:00;;2025-04-01 04:55:00;;2531812;1152058
Ecublens VD, Veilloud;8591960;ARRIVAL;2025-04-01 01:33:00;;2025-04-01 03:25:00;;2025-04-01 04:49:00;;2532936;1153704
Ecublens VD, Veilloud;8591960;DEPARTURE;2025-04-01 01:33:00;;2025-04-01 03:25:00;;2025-04-01 04:49:00;;2532936;1153704
Ecublens VD, Villars;8591961;ARRIVAL;2025-04-01 01:35:00;;2025-04-01 03:27:00;;2025-04-01 04:51:00;;2532675;1153514
Ecublens VD, Villars;8591961;DEPARTURE;2025-04-01 01:35:00;;2025-04-01 03:27:00;;2025-04-01 04:51:00;;2532675;1153514
Lausanne, Bel-Air;8591988;ARRIVAL;2025-04-01 01:01:00;2025-04-01 02:10:00;2025-04-01 02:53:00;2025-04-01 04:02:00;2025-04-01 04:17:00;2025-04-01 05:26:00;2537880;1152653
Lausanne, Bel-Air;8591988;DEPARTURE;2025-04-01 01:01:00;2025-04-01 02:10:00;2025-04-01 02:53:00;2025-04-01 04:02:00;2025-04-01 04:17:00;2025-04-01 05:26:00;2537880;1152653
Lausanne, Belvédère;8591990;ARRIVAL;2025-04-01 01:05:00;2025-04-01 02:05:00;2025-04-01 02:57:00;2025-04-01 03:57:00;2025-04-01 04:21:00;2025-04-01 05:21:00;2536962;1152509
Lausanne, Belvédère;8591990;DEPARTURE;2025-04-01 01:05:00;2025-04-01 02:05:00;2025-04-01 02:57:00;2025-04-01 03:57:00;2025-04-01 04:21:00;2025-04-01 05:21:00;2536962;1152509
Lausanne, Bois de Vaux;8591995;ARRIVAL;2025-04-01 01:12:00;2025-04-01 01:58:00;2025-04-01 03:04:00;2025-04-01 03:50:00;2025-04-01 04:28:00;2025-04-01 05:14:00;2535630;1152359
Lausanne, Bois de Vaux;8591995;DEPARTURE;2025-04-01 01:12:00;2025-04-01 01:58:00;2025-04-01 03:04:00;2025-04-01 03:50:00;2025-04-01 04:28:00;2025-04-01 05:14:00;2535630;1152359
Lausanne, Chauderon;8592010;ARRIVAL;2025-04-01 01:02:00;2025-04-01 02:08:00;2025-04-01 02:54:00;2025-04-01 04:00:00;2025-04-01 04:18:00;2025-04-01 05:24:00;2537555;1152802
Lausanne, Chauderon;8592010;DEPARTURE;2025-04-01 01:02:00;2025-04-01 02:08:00;2025-04-01 02:54:00;2025-04-01 04:00:00;2025-04-01 04:18:00;2025-04-01 05:24:00;2537555;1152802
Lausanne, Figuiers;8592044;ARRIVAL;2025-04-01 01:10:00;2025-04-01 02:00:00;2025-04-01 03:02:00;2025-04-01 03:52:00;2025-04-01 04:26:00;2025-04-01 05:16:00;2536461;1152063
Lausanne, Figuiers;8592044;DEPARTURE;2025-04-01 01:10:00;2025-04-01 02:00:00;2025-04-01 03:02:00;2025-04-01 03:52:00;2025-04-01 04:26:00;2025-04-01 05:16:00;2536461;1152063
Lausanne, Montoie;8592080;ARRIVAL;2025-04-01 01:09:00;2025-04-01 02:02:00;2025-04-01 03:01:00;2025-04-01 03:54:00;2025-04-01 04:25:00;2025-04-01 05:18:00;2536302;1152226
Lausanne, Montoie;8592080;DEPARTURE;2025-04-01 01:09:00;2025-04-01 02:02:00;2025-04-01 03:01:00;2025-04-01 03:54:00;2025-04-01 04:25:00;2025-04-01 05:18:00;2536302;1152226
Lausanne, Sablons;8592114;ARRIVAL;2025-04-01 01:13:00;2025-04-01 01:57:00;2025-04-01 03:05:00;2025-04-01 03:49:00;2025-04-01 04:29:00;2025-04-01 05:13:00;2535323;1152691
Lausanne, Sablons;8592114;DEPARTURE;2025-04-01 01:13:00;2025-04-01 01:57:00;2025-04-01 03:05:00;2025-04-01 03:49:00;2025-04-01 04:29:00;2025-04-01 05:13:00;2535323;1152691
Lausanne, Tivoli;8592122;ARRIVAL;2025-04-01 01:04:00;2025-04-01 02:06:00;2025-04-01 02:56:00;2025-04-01 03:58:00;2025-04-01 04:20:00;2025-04-01 05:22:00;2537305;1152534
Lausanne, Tivoli;8592122;DEPARTURE;2025-04-01 01:04:00;2025-04-01 02:06:00;2025-04-01 02:56:00;2025-04-01 03:58:00;2025-04-01 04:20:00;2025-04-01 05:22:00;2537305;1152534
Renens VD, Censuy;8592209;ARRIVAL;2025-04-01 01:22:00;;2025-04-01 03:14:00;;2025-04-01 04:38:00;;2534431;1153812
Renens VD, Censuy;8592209;DEPARTURE;2025-04-01 01:22:00;;2025-04-01 03:14:00;;2025-04-01 04:38:00;;2534431;1153812
Renens VD, Chêne;8592210;ARRIVAL;2025-04-01 01:19:00;;2025-04-01 03:11:00;;2025-04-01 04:35:00;;2534899;1153437
Renens VD, Chêne;8592210;DEPARTURE;2025-04-01 01:19:00;;2025-04-01 03:11:00;;2025-04-01 04:35:00;;2534899;1153437
Renens VD, Longemalle;8592215;ARRIVAL;2025-04-01 01:18:00;;2025-04-01 03:10:00;;2025-04-01 04:34:00;;2535392;1153045
Renens VD, Longemalle;8592215;DEPARTURE;2025-04-01 01:18:00;;2025-04-01 03:10:00;;2025-04-01 04:34:00;;2535392;1153045
Renens VD, Caudray;8592218;ARRIVAL;2025-04-01 01:21:00;;2025-04-01 03:13:00;;2025-04-01 04:37:00;;2534580;1153738
Renens VD, Caudray;8592218;DEPARTURE;2025-04-01 01:21:00;;2025-04-01 03:13:00;;2025-04-01 04:37:00;;2534580;1153738
Renens VD, rue du Lac;8592219;ARRIVAL;2025-04-01 01:19:00;;2025-04-01 03:11:00;;2025-04-01 04:35:00;;2535061;1153251
Renens VD, rue du Lac;8592219;DEPARTURE;2025-04-01 01:19:00;;2025-04-01 03:11:00;;2025-04-01 04:35:00;;2535061;1153251
St-Sulpice VD, Russel;8592226;ARRIVAL;;2025-04-01 01:46:00;;2025-04-01 03:38:00;;2025-04-01 05:02:00;2532871;1151912
St-Sulpice VD, Russel;8592226;DEPARTURE;;2025-04-01 01:46:00;;2025-04-01 03:38:00;;2025-04-01 05:02:00;2532871;1151912
St-Sulpice VD, Pâqueret;8592227;ARRIVAL;;2025-04-01 01:48:00;;2025-04-01 03:40:00;;2025-04-01 05:04:00;2533389;1152057
St-Sulpice VD, Pâqueret;8592227;DEPARTURE;;2025-04-01 01:48:00;;2025-04-01 03:40:00;;2025-04-01 05:04:00;2533389;1152057
Lausanne, Maladière-Figuiers;8593837;ARRIVAL;2025-04-01 01:11:00;2025-04-01 02:00:00;2025-04-01 03:03:00;2025-04-01 03:52:00;2025-04-01 04:27:00;2025-04-01 05:16:00;2536113;1152075
Lausanne, Maladière-Figuiers;8593837;DEPARTURE;2025-04-01 01:11:00;2025-04-01 02:00:00;2025-04-01 03:03:00;2025-04-01 03:52:00;2025-04-01 04:27:00;2025-04-01 05:16:00;2536113;1152075
Chavannes-R., Préfaully;8593866;ARRIVAL;2025-04-01 01:23:00;;2025-04-01 03:15:00;;2025-04-01 04:39:00;;2534059;1153950
Chavannes-R., Préfaully;8593866;DEPARTURE;2025-04-01 01:23:00;;2025-04-01 03:15:00;;2025-04-01 04:39:00;;2534059;1153950
Chavannes-R., Concorde;8593868;ARRIVAL;2025-04-01 01:25:00;;2025-04-01 03:17:00;;2025-04-01 04:41:00;;2533691;1153816
Chavannes-R., Concorde;8593868;DEPARTURE;2025-04-01 01:25:00;;2025-04-01 03:17:00;;2025-04-01 04:41:00;;2533691;1153816
Chavannes-R., Glycines;8593869;ARRIVAL;2025-04-01 01:26:00;;2025-04-01 03:18:00;;2025-04-01 04:42:00;;2533869;1154252
Chavannes-R., Glycines;8593869;DEPARTURE;2025-04-01 01:26:00;;2025-04-01 03:18:00;;2025-04-01 04:42:00;;2533869;1154252
Ecublens VD, Montaney;8594890;ARRIVAL;2025-04-01 01:39:00;;2025-04-01 03:31:00;;2025-04-01 04:55:00;;2532022;1152331
Ecublens VD, Montaney;8594890;DEPARTURE;2025-04-01 01:39:00;;2025-04-01 03:31:00;;2025-04-01 04:55:00;;2532022;1152331
Chavannes-R., Berges;8594986;ARRIVAL;;2025-04-01 01:52:00;;2025-04-01 03:44:00;;2025-04-01 05:08:00;2533735;1153276
Chavannes-R., Berges;8594986;DEPARTURE;;2025-04-01 01:52:00;;2025-04-01 03:44:00;;2025-04-01 05:08:00;2533735;1153276
Chavannes-R., Mouline;8594987;ARRIVAL;;2025-04-01 01:52:00;;2025-04-01 03:44:00;;2025-04-01 05:08:00;2534069;1153126
Chavannes-R., Mouline;8594987;DEPARTURE;;2025-04-01 01:52:00;;2025-04-01 03:44:00;;2025-04-01 05:08:00;2534069;1153126
St-Sulpice VD, Venoge nord;8594988;ARRIVAL;2025-04-01 01:41:00;;2025-04-01 03:33:00;;2025-04-01 04:57:00;;2531466;1151782
St-Sulpice VD, Venoge nord;8594988;DEPARTURE;2025-04-01 01:41:00;;2025-04-01 03:33:00;;2025-04-01 04:57:00;;2531466;1151782
Lausanne, Bourdonnette nord;8595521;ARRIVAL;;2025-04-01 01:56:00;;2025-04-01 03:48:00;;2025-04-01 05:12:00;2534825;1152975
Lausanne, Bourdonnette nord;8595521;DEPARTURE;;2025-04-01 01:56:00;;2025-04-01 03:48:00;;2025-04-01 05:12:00;2534825;1152975
Chavannes-R., Dorigny;8595602;ARRIVAL;;2025-04-01 01:54:00;;2025-04-01 03:46:00;;2025-04-01 05:10:00;2534420;1153187
Chavannes-R., Dorigny;8595602;DEPARTURE;;2025-04-01 01:54:00;;2025-04-01 03:46:00;;2025-04-01 05:10:00;2534420;1153187
