STOP_NAME;STOP_NUMBER;EVENT;85:151:7069;85:151:7070;85:151:7072;85:151:7073;85:151:7075;85:151:7076;POSITION_X;POSITION_Y
Ecublens VD, Perrettes;8591954;DEPARTURE_REAL;2025-04-01 01:37:56;;2025-04-01 02:49:09;;2025-04-01 04:52:16;;2532466;1153147
Ecublens VD, place de sport;8591955;ARRIVAL_REAL;2025-04-01 01:33:51;;2025-04-01 02:44:21;;2025-04-01 04:47:28;;2532890;1154149
Ecublens VD, place de sport;8591955;DEPARTURE_REAL;2025-04-01 01:33:51;;2025-04-01 02:44:21;;2025-04-01 04:47:28;;2532890;1154149
Ecublens VD, Renges;8591956;ARRIVAL_REAL;2025-04-01 01:39:04;;2025-04-01 02:50:52;;2025-04-01 04:54:00;;2532177;1152742
Ecublens VD, Renges;8591956;DEPARTURE_REAL;2025-04-01 01:39:04;;2025-04-01 02:50:52;;2025-04-01 04:54:00;;2532177;1152742
Ecublens VD, Stand;8591957;ARRIVAL_REAL;2025-04-01 01:34:28;;2025-04-01 02:45:15;;2025-04-01 04:48:23;;2532783;1153872
Ecublens VD, Stand;8591957;DEPARTURE_REAL;2025-04-01 01:34:28;;2025-04-01 02:45:15;;2025-04-01 04:48:23;;2532783;1153872
Ecublens VD, Suchet-Forêt;8591958;ARRIVAL_REAL;2025-04-01 01:29:26;;2025-04-01 02:41:52;;2025-04-01 04:45:00;;2533411;1154656
Ecublens VD, Suchet-Forêt;8591958;DEPARTURE_REAL;2025-04-01 01:29:46;;2025-04-01 02:41:52;;2025-04-01 04:45:00;;2533411;1154656
Ecublens VD, Champs-Courbes;8591959;ARRIVAL_REAL;2025-04-01 01:40:12;;2025-04-01 02:52:48;;2025-04-01 04:55:56;;2531812;1152058
Ecublens VD, Champs-Courbes;8591959;DEPARTURE_REAL;2025-04-01 01:40:12;;2025-04-01 02:52:48;;2025-04-01 04:55:56;;2531812;1152058
Ecublens VD, Veilloud;8591960;ARRIVAL_REAL;2025-04-01 01:35:16;;2025-04-01 02:46:14;;2025-04-01 04:49:21;;2532936;1153704
Ecublens VD, Veilloud;8591960;DEPARTURE_REAL;2025-04-01 01:35:16;;2025-04-01 02:46:14;;2025-04-01 04:49:21;;2532936;1153704
Ecublens VD, Villars;8591961;ARRIVAL_REAL;2025-04-01 01:37:06;;2025-04-01 02:47:52;;2025-04-01 04:51:00;;2532675;1153514
Ecublens VD, Villars;8591961;DEPARTURE_REAL;2025-04-01 01:37:06;;2025-04-01 02:47:52;;2025-04-01 04:51:00;;2532675;1153514
Lausanne, Bel-Air;8591988;ARRIVAL_REAL;2025-04-01 01:00:55;2025-04-01 02:10:15;2025-04-01 02:13:51;2025-04-01 04:02:00;2025-04-01 04:17:00;2025-04-01 05:26:00;2537880;1152653
Lausanne, Bel-Air;8591988;DEPARTURE_REAL;2025-04-01 01:01:08;2025-04-01 02:10:15;2025-04-01 02:13:51;2025-04-01 04:02:00;2025-04-01 04:17:00;2025-04-01 05:26:00;2537880;1152653
Lausanne, Belvédère;8591990;ARRIVAL_REAL;2025-04-01 01:05:10;2025-04-01 02:06:09;2025-04-01 02:17:51;2025-04-01 03:57:00;2025-04-01 04:21:00;2025-04-01 05:21:00;2536962;1152509
Lausanne, Belvédère;8591990;DEPARTURE_REAL;2025-04-01 01:05:10;2025-04-01 02:06:09;2025-04-01 02:17:51;2025-04-01 03:57:00;2025-04-01 04:21:00;2025-04-01 05:21:00;2536962;1152509
Lausanne, Bois de Vaux;8591995;ARRIVAL_REAL;2025-04-01 01:13:09;2025-04-01 01:58:44;2025-04-01 02:24:51;2025-04-01 03:50:17;2025-04-01 04:28:00;2025-04-01 05:14:17;2535630;1152359
Lausanne, Bois de Vaux;8591995;DEPARTURE_REAL;2025-04-01 01:13:16;2025-04-01 01:58:44;2025-04-01 02:24:51;2025-04-01 03:50:17;2025-04-01 04:28:00;2025-04-01 05:14:17;2535630;1152359
Lausanne, Chauderon;8592010;ARRIVAL_REAL;2025-04-01 01:02:08;2025-04-01 02:08:36;2025-04-01 02:14:51;2025-04-01 04:00:00;2025-04-01 04:18:00;2025-04-01 05:24:00;2537555;1152802
Lausanne, Chauderon;8592010;DEPARTURE_REAL;2025-04-01 01:02:46;2025-04-01 02:08:46;2025-04-01 02:14:51;2025-04-01 04:00:00;2025-04-01 04:18:00;2025-04-01 05:24:00;2537555;1152802
Lausanne, Figuiers;8592044;ARRIVAL_REAL;2025-04-01 01:11:24;2025-04-01 02:00:34;2025-04-01 02:23:00;2025-04-01 03:52:34;2025-04-01 04:26:09;2025-04-01 05:16:34;2536461;1152063
Lausanne, Figuiers;8592044;DEPARTURE_REAL;2025-04-01 01:11:24;2025-04-01 02:00:34;2025-04-01 02:23:00;2025-04-01 03:52:34;2025-04-01 04:26:09;2025-04-01 05:16:34;2536461;1152063
Lausanne, Montoie;8592080;ARRIVAL_REAL;2025-04-01 01:10:01;2025-04-01 02:01:52;2025-04-01 02:21:51;2025-04-01 03:54:00;2025-04-01 04:25:00;2025-04-01 05:18:00;2536302;1152226
Lausanne, Montoie;8592080;DEPARTURE_REAL;2025-04-01 01:10:19;2025-04-01 02:01:59;2025-04-01 02:21:51;2025-04-01 03:54:00;2025-04-01 04:25:00;2025-04-01 05:18:00;2536302;1152226
Lausanne, Sablons;8592114;ARRIVAL_REAL;2025-04-01 01:14:07;2025-04-01 01:57:25;2025-04-01 02:26:24;2025-04-01 03:49:00;2025-04-01 04:29:33;2025-04-01 05:13:00;2535323;1152691
