LINE_ID;LINE_NAME;TRANSPORTER;MEAN_OF_TRANSPORT
85:151:1;1;TL;Bus
85:151:24;24;TL;Bus
85:151:25;25;TL;Bus
85:151:31;31;TL;Bus
85:151:32;32;TL;Bus
85:151:33;33;TL;Bus
85:151:70;m1;TL;Metro
85:151:95;N5;TL;Bus
85:764:701;701;MBC Auto;Bus
85:764:705;705;MBC Auto;Bus
