          STOP_NAME           ; STOP_NUMBER ;   EVENT   ;   85:801:36001-287  ;   85:801:36003-287  ;   85:801:36005-287  ;   85:801:36002-287  ;   85:801:36007-287  ;   85:801:36006-287  ;   85:801:36015-287  ;   85:801:36013-287  ;   85:801:36017-287  ;   85:801:36014-287  ;   85:801:36018-287  ;   85:801:36023-287  ;   85:801:36027-287  ;   85:801:36022-287  ;   85:801:36024-287  ;   85:801:36033-287  ;   85:801:36026-287  ;   85:801:36035-287  ;   85:801:36028-287  ;   85:801:36039-287  ;   85:801:36030-287  ;   85:801:36032-287  ;   85:801:36041-287  ;   85:801:36034-287  ;   85:801:36043-287  ;   85:801:36038-287  ;   85:801:36045-287  ;   85:801:36040-287  ;   85:801:36049-287  ;   85:801:36055-287  ;   85:801:36057-287  ;   85:801:36044-287  ;   85:801:36061-287  ;   85:801:36048-287  ;   85:801:36063-287  ;   85:801:36050-287  ;   85:801:36052-287  ;   85:801:36067-287  ;   85:801:36054-287  ;   85:801:36056-287  ;   85:801:36058-287  ;   85:801:36071-287  ;   85:801:36060-287  ;   85:801:36073-287  ;   85:801:36062-287  ;   85:801:36075-287  ;   85:801:36077-287  ;   85:801:36066-287  ;   85:801:36079-287  
     Carrouge VD, Ecorcheboeuf;      8591904;  DEPARTURE;                     ;                     ;  2025-07-01 06:28:00;  2025-07-01 06:59:00;  2025-07-01 06:58:00;                     ;                     ;                     ;  2025-07-01 07:58:00;  2025-07-01 08:29:00;  2025-07-01 08:59:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:29:00;                     ;                     ;  2025-07-01 16:58:00;  2025-07-01 17:29:00;  2025-07-01 17:28:00;  2025-07-01 17:59:00;  2025-07-01 17:58:00;  2025-07-01 18:29:00;  2025-07-01 18:59:00;  2025-07-01 18:58:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
   Ferlens VD, Champ des Oches;      8570423;    ARRIVAL;  2025-07-01 05:40:00;  2025-07-01 06:10:00;  2025-07-01 06:40:00;  2025-07-01 06:45:00;  2025-07-01 07:10:00;  2025-07-01 07:19:00;  2025-07-01 07:40:00;                     ;  2025-07-01 08:10:00;  2025-07-01 08:15:00;  2025-07-01 08:45:00;  2025-07-01 08:40:00;  2025-07-01 09:10:00;  2025-07-01 09:43:00;  2025-07-01 10:13:00;  2025-07-01 10:21:00;  2025-07-01 11:03:00;  2025-07-01 11:21:00;  2025-07-01 12:03:00;  2025-07-01 12:25:00;  2025-07-01 13:03:00;  2025-07-01 13:32:00;  2025-07-01 13:21:00;  2025-07-01 14:03:00;  2025-07-01 14:21:00;  2025-07-01 15:03:00;  2025-07-01 15:21:00;  2025-07-01 16:15:00;  2025-07-01 15:55:00;  2025-07-01 16:40:00;  2025-07-01 17:10:00;  2025-07-01 17:15:00;  2025-07-01 17:40:00;  2025-07-01 17:45:00;  2025-07-01 18:10:00;  2025-07-01 18:15:00;  2025-07-01 18:45:00;  2025-07-01 19:10:00;  2025-07-01 19:15:00;  2025-07-01 19:45:00;  2025-07-01 20:15:00;  2025-07-01 20:10:00;  2025-07-01 21:03:00;  2025-07-01 21:21:00;  2025-07-01 22:03:00;  2025-07-01 22:21:00;  2025-07-01 23:21:00;  2025-08-01 00:03:00;  2025-08-01 00:12:00
   Ferlens VD, Champ des Oches;      8570423;  DEPARTURE;  2025-07-01 05:40:00;  2025-07-01 06:10:00;  2025-07-01 06:40:00;  2025-07-01 06:45:00;  2025-07-01 07:10:00;  2025-07-01 07:19:00;  2025-07-01 07:40:00;                     ;  2025-07-01 08:10:00;  2025-07-01 08:15:00;  2025-07-01 08:45:00;  2025-07-01 08:40:00;  2025-07-01 09:10:00;  2025-07-01 09:43:00;  2025-07-01 10:13:00;  2025-07-01 10:21:00;  2025-07-01 11:03:00;  2025-07-01 11:21:00;  2025-07-01 12:03:00;  2025-07-01 12:25:00;  2025-07-01 13:03:00;  2025-07-01 13:32:00;  2025-07-01 13:21:00;  2025-07-01 14:03:00;  2025-07-01 14:21:00;  2025-07-01 15:03:00;  2025-07-01 15:21:00;  2025-07-01 16:15:00;  2025-07-01 15:55:00;  2025-07-01 16:40:00;  2025-07-01 17:10:00;  2025-07-01 17:15:00;  2025-07-01 17:40:00;  2025-07-01 17:45:00;  2025-07-01 18:10:00;  2025-07-01 18:15:00;  2025-07-01 18:45:00;  2025-07-01 19:10:00;  2025-07-01 19:15:00;  2025-07-01 19:45:00;  2025-07-01 20:15:00;  2025-07-01 20:10:00;  2025-07-01 21:03:00;  2025-07-01 21:21:00;  2025-07-01 22:03:00;  2025-07-01 22:21:00;  2025-07-01 23:21:00;  2025-08-01 00:03:00;  2025-08-01 00:12:00
              Ropraz, Ussières;      8591905;    ARRIVAL;                     ;                     ;  2025-07-01 06:27:00;  2025-07-01 07:00:00;  2025-07-01 06:57:00;                     ;                     ;                     ;  2025-07-01 07:57:00;  2025-07-01 08:30:00;  2025-07-01 09:00:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:30:00;                     ;                     ;  2025-07-01 16:57:00;  2025-07-01 17:30:00;  2025-07-01 17:27:00;  2025-07-01 18:00:00;  2025-07-01 17:57:00;  2025-07-01 18:30:00;  2025-07-01 19:00:00;  2025-07-01 18:57:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
              Ropraz, Ussières;      8591905;  DEPARTURE;                     ;                     ;  2025-07-01 06:27:00;  2025-07-01 07:00:00;  2025-07-01 06:57:00;                     ;                     ;                     ;  2025-07-01 07:57:00;  2025-07-01 08:30:00;  2025-07-01 09:00:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:30:00;                     ;                     ;  2025-07-01 16:57:00;  2025-07-01 17:30:00;  2025-07-01 17:27:00;  2025-07-01 18:00:00;  2025-07-01 17:57:00;  2025-07-01 18:30:00;  2025-07-01 19:00:00;  2025-07-01 18:57:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
         Ferlens VD, Le Moulin;      8570422;    ARRIVAL;  2025-07-01 05:41:00;  2025-07-01 06:11:00;  2025-07-01 06:41:00;  2025-07-01 06:44:00;  2025-07-01 07:11:00;  2025-07-01 07:18:00;  2025-07-01 07:41:00;                     ;  2025-07-01 08:11:00;  2025-07-01 08:14:00;  2025-07-01 08:44:00;  2025-07-01 08:41:00;  2025-07-01 09:11:00;  2025-07-01 09:42:00;  2025-07-01 10:12:00;  2025-07-01 10:22:00;  2025-07-01 11:02:00;  2025-07-01 11:22:00;  2025-07-01 12:02:00;  2025-07-01 12:26:00;  2025-07-01 13:02:00;  2025-07-01 13:31:00;  2025-07-01 13:22:00;  2025-07-01 14:02:00;  2025-07-01 14:22:00;  2025-07-01 15:02:00;  2025-07-01 15:22:00;  2025-07-01 16:14:00;  2025-07-01 15:56:00;  2025-07-01 16:41:00;  2025-07-01 17:11:00;  2025-07-01 17:14:00;  2025-07-01 17:41:00;  2025-07-01 17:44:00;  2025-07-01 18:11:00;  2025-07-01 18:14:00;  2025-07-01 18:44:00;  2025-07-01 19:11:00;  2025-07-01 19:14:00;  2025-07-01 19:44:00;  2025-07-01 20:14:00;  2025-07-01 20:11:00;  2025-07-01 21:02:00;  2025-07-01 21:22:00;  2025-07-01 22:02:00;  2025-07-01 22:22:00;  2025-07-01 23:22:00;  2025-08-01 00:02:00;  2025-08-01 00:13:00
         Ferlens VD, Le Moulin;      8570422;  DEPARTURE;  2025-07-01 05:41:00;  2025-07-01 06:11:00;  2025-07-01 06:41:00;  2025-07-01 06:44:00;  2025-07-01 07:11:00;  2025-07-01 07:18:00;  2025-07-01 07:41:00;                     ;  2025-07-01 08:11:00;  2025-07-01 08:14:00;  2025-07-01 08:44:00;  2025-07-01 08:41:00;  2025-07-01 09:11:00;  2025-07-01 09:42:00;  2025-07-01 10:12:00;  2025-07-01 10:22:00;  2025-07-01 11:02:00;  2025-07-01 11:22:00;  2025-07-01 12:02:00;  2025-07-01 12:26:00;  2025-07-01 13:02:00;  2025-07-01 13:31:00;  2025-07-01 13:22:00;  2025-07-01 14:02:00;  2025-07-01 14:22:00;  2025-07-01 15:02:00;  2025-07-01 15:22:00;  2025-07-01 16:14:00;  2025-07-01 15:56:00;  2025-07-01 16:41:00;  2025-07-01 17:11:00;  2025-07-01 17:14:00;  2025-07-01 17:41:00;  2025-07-01 17:44:00;  2025-07-01 18:11:00;  2025-07-01 18:14:00;  2025-07-01 18:44:00;  2025-07-01 19:11:00;  2025-07-01 19:14:00;  2025-07-01 19:44:00;  2025-07-01 20:14:00;  2025-07-01 20:11:00;  2025-07-01 21:02:00;  2025-07-01 21:22:00;  2025-07-01 22:02:00;  2025-07-01 22:22:00;  2025-07-01 23:22:00;  2025-08-01 00:02:00;  2025-08-01 00:13:00
         Ropraz, Home du Jorat;      8592225;    ARRIVAL;                     ;                     ;  2025-07-01 06:26:00;  2025-07-01 07:01:00;  2025-07-01 06:56:00;                     ;                     ;                     ;  2025-07-01 07:56:00;  2025-07-01 08:31:00;  2025-07-01 09:01:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:31:00;                     ;                     ;  2025-07-01 16:56:00;  2025-07-01 17:31:00;  2025-07-01 17:26:00;  2025-07-01 18:01:00;  2025-07-01 17:56:00;  2025-07-01 18:31:00;  2025-07-01 19:01:00;  2025-07-01 18:56:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
         Ropraz, Home du Jorat;      8592225;  DEPARTURE;                     ;                     ;  2025-07-01 06:26:00;  2025-07-01 07:01:00;  2025-07-01 06:56:00;                     ;                     ;                     ;  2025-07-01 07:56:00;  2025-07-01 08:31:00;  2025-07-01 09:01:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;  2025-07-01 16:31:00;                     ;                     ;  2025-07-01 16:56:00;  2025-07-01 17:31:00;  2025-07-01 17:26:00;  2025-07-01 18:01:00;  2025-07-01 17:56:00;  2025-07-01 18:31:00;  2025-07-01 19:01:00;  2025-07-01 18:56:00;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     ;                     
          Servion, Mannessivaz;      8570421;    ARRIVAL;  2025-07-01 05:42:00;  2025-07-01 06:12:00;  2025-07-01 06:42:00;  2025-07-01 06:43:00;  2025-07-01 07:12:00;  2025-07-01 07:17:00;  2025-07-01 07:42:00;                     ;  2025-07-01 08:12:00;  2025-07-01 08:13:00;  2025-07-01 08:43:00;  2025-07-01 08:42:00;  2025-07-01 09:12:00;  2025-07-01 09:41:00;  2025-07-01 10:11:00;  2025-07-01 10:23:00;  2025-07-01 11:01:00;  2025-07-01 11:23:00;  2025-07-01 12:01:00;  2025-07-01 12:27:00;  2025-07-01 13:01:00;  2025-07-01 13:30:00;  2025-07-01 13:23:00;  2025-07-01 14:01:00;  2025-07-01 14:23:00;  2025-07-01 15:01:00;  2025-07-01 15:23:00;  2025-07-01 16:13:00;  2025-07-01 15:57:00;  2025-07-01 16:42:00;  2025-07-01 17:12:00;  2025-07-01 17:13:00;  2025-07-01 17:42:00;  2025-07-01 17:43:00;  2025-07-01 18:12:00;  2025-07-01 18:13:00;  2025-07-01 18:43:00;  2025-07-01 19:12:00;  2025-07-01 19:13:00;  2025-07-01 19:43:00;  2025-07-01 20:13:00;  2025-07-01 20:12:00;  2025-07-01 21:01:00;  2025-07-01 21:23:00;  2025-07-01 22:01:00;  2025-07-01 22:23:00;  2025-07-01 23:23:00;  2025-08-01 00:01:00;  2025-08-01 00:14:00
