  index  ; Lausanne, Praz-Séchaud ; Lausanne, Boveresses ; Lausanne, Foyer ; Lausanne, Valmont ; Lausanne, St-Etienne ; Lausanne, Sallaz ; Lausanne, Praz-Berthoud ; Lausanne, Boissonnet ; Lausanne, Abeilles ; Lausanne, Cigale ; Lausanne, Montolieu ; Count ; Direction 
  Route_A;                        ;                      ;                 ;                   ;                      ;               Yes;                      Yes;                   Yes;                 Yes;               Yes;                  Yes;    236;         RO
  Route_B;                     Yes;                   Yes;              Yes;                Yes;                   Yes;               Yes;                      Yes;                   Yes;                 Yes;               Yes;                  Yes;     11;         RO
