  index  ; Lausanne, gare ; Lausanne, Villard ; Lausanne, Cécil ; Lausanne, Pont Chauderon ; Lausanne, Chauderon ; Lausanne, St-Roch ; Lausanne, Beaulieu-Jomini ; Lausanne, Mont-Blanc ; Lausanne, casernes ; Lausanne, Stade Olympique ; Lausanne, Parc Vélodrome ; Lausanne, Bois-Gentil ; Lausanne, Blécherette ; Lausanne, Boston ; Lausanne, Prélaz ; Lausanne, Recordon ; Count ; Direction 
  Route_A;             Yes;                Yes;              Yes;                          ;                  Yes;                Yes;                        Yes;                   Yes;                 Yes;                        Yes;                       Yes;                    Yes;                    Yes;                  ;                  ;                    ;     63;          O
  Route_B;             Yes;                   ;              Yes;                       Yes;                     ;                Yes;                        Yes;                   Yes;                 Yes;                        Yes;                       Yes;                    Yes;                    Yes;                  ;                  ;                    ;     60;          R
