STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"St-Sulpice VD, Venoge nord",8594988,ARRIVAL,0,,50,2531466,1151782
"Ecublens VD, Champs-Courbes",8591959,ARRIVAL,443,50,22,2531812,1152058
"Ecublens VD, Champs-Courbes",8591959,DEPARTURE,443,14,14,2531812,1152058
"Ecublens VD, Montaney",8594890,ARRIVAL,787,22,56,2532022,1152331
"Ecublens VD, Montaney",8594890,DEPARTURE,787,16,16,2532022,1152331
"Ecublens VD, Renges",8591956,ARRIVAL,1226,56,47,2532177,1152742
"Ecublens VD, Renges",8591956,DEPARTURE,1226,17,17,2532177,1152742
"Ecublens VD, En Enjalin",8591949,ARRIVAL,1485,47,28,2532358,1152927
"Ecublens VD, En Enjalin",8591949,DEPARTURE,1485,15,15,2532358,1152927
"Ecublens VD, Perrettes",8591954,ARRIVAL,1730,28,32594,2532466,1153147
"Ecublens VD, Perrettes",8591954,DEPARTURE,1730,14,14,2532466,1153147
"Ecublens VD, Villars",8591961,ARRIVAL,2153,32594,80,2532675,1153514
"Ecublens VD, Villars",8591961,DEPARTURE,2153,25,25,2532675,1153514
"Ecublens VD, Pontet",8588873,ARRIVAL,2529,80,38,2533051,1153539
"Ecublens VD, Pontet",8588873,DEPARTURE,2529,20,20,2533051,1153539
"Ecublens VD, Veilloud",8591960,ARRIVAL,2730,38,47,2532936,1153704
"Ecublens VD, Veilloud",8591960,DEPARTURE,2730,15,15,2532936,1153704
"Ecublens VD, Stand",8591957,ARRIVAL,2958,47,43,2532783,1153872
"Ecublens VD, Stand",8591957,DEPARTURE,2958,20,20,2532783,1153872
"Ecublens VD, place de sport",8591955,ARRIVAL,3255,43,32,2532890,1154149
"Ecublens VD, place de sport",8591955,DEPARTURE,3255,20,20,2532890,1154149
"Ecublens VD, Croset",8591948,ARRIVAL,3459,32,62,2533084,1154084
"Ecublens VD, Croset",8591948,DEPARTURE,3459,28,28,2533084,1154084
"Ecublens VD, Parc",8591953,ARRIVAL,3744,62,68,2533217,1154336
"Ecublens VD, Parc",8591953,DEPARTURE,3744,21,21,2533217,1154336
"Ecublens VD, Suchet-Forêt",8591958,ARRIVAL,4118,68,57,2533411,1154656
"Ecublens VD, Suchet-Forêt",8591958,DEPARTURE,4118,23,23,2533411,1154656
"Ecublens VD, Epenex/Pont-Bleu",8510721,ARRIVAL,4504,57,119,2533763,1154498
"Ecublens VD, Epenex/Pont-Bleu",8510721,DEPARTURE,4504,19,19,2533763,1154498
"Renens VD, gare sud",8588983,ARRIVAL,4887,119,93,2534082,1154287
"Renens VD, gare sud",8588983,DEPARTURE,4887,25,25,2534082,1154287
"Renens VD, Censuy",8592209,ARRIVAL,5476,93,30,2534431,1153812
"Renens VD, Censuy",8592209,DEPARTURE,5476,21,21,2534431,1153812
"Renens VD, Caudray",8592218,ARRIVAL,5643,30,32641,2534580,1153738
"Renens VD, Caudray",8592218,DEPARTURE,5643,24,24,2534580,1153738
"Renens VD, Chêne",8592210,ARRIVAL,6081,32641,31,2534899,1153437
"Renens VD, Chêne",8592210,DEPARTURE,6081,21,21,2534899,1153437
"Renens VD, rue du Lac",8592219,ARRIVAL,6328,31,82,2535061,1153251
"Renens VD, rue du Lac",8592219,DEPARTURE,6328,21,21,2535061,1153251
"Renens VD, Longemalle",8592215,ARRIVAL,6718,82,90,2535392,1153045
"Renens VD, Longemalle",8592215,DEPARTURE,6718,30,30,2535392,1153045
"Lausanne, Malley",8501209,ARRIVAL,7202,90,80,2535848,1152880
"Lausanne, Malley",8501209,DEPARTURE,7202,29,29,2535848,1152880
"Prilly, Galicien",8592049,ARRIVAL,7657,80,154,2535968,1153319
"Prilly, Galicien",8592049,DEPARTURE,7657,73,73,2535968,1153319
"Prilly, Grand Vigne",8592180,ARRIVAL,8061,154,28,2535964,1153723
"Prilly, Grand Vigne",8592180,DEPARTURE,8061,19,19,2535964,1153723
"Prilly, Flumeaux",8592179,ARRIVAL,8381,28,145,2535710,1153529
"Prilly, Flumeaux",8592179,DEPARTURE,8381,21,21,2535710,1153529
"Prilly, centre",8592173,ARRIVAL,9001,145,54,2536065,1154037
"Prilly, centre",8592173,DEPARTURE,9001,27,27,2536065,1154037
"Prilly, Chasseur",8592175,ARRIVAL,9521,54,58,2536176,1154545
"Prilly, Chasseur",8592175,DEPARTURE,9521,30,30,2536176,1154545
"Prilly, Coudraie",8592176,ARRIVAL,9788,58,50,2536413,1154670
"Prilly, Coudraie",8592176,DEPARTURE,9788,21,21,2536413,1154670
"Prilly, Mont-Goulin",8592187,ARRIVAL,10002,50,,2536517,1154484
