STOP_NAME,STOP_NUMBER,BUS_EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Ecublens VD, Suchet-Forêt",8591958,ARRIVAL_REAL,9501.309342082575,0 days 00:00:34,0 days 00:00:20,2533411.0,1154656.0
"Ecublens VD, Suchet-Forêt",8591958,DEPARTURE_REAL,9501.309342082575,0 days 00:00:20,0 days 00:01:07,2533411.0,1154656.0
"Ecublens VD, Parc",8591953,ARRIVAL_REAL,9875.523184691318,0 days 00:01:07,,2533217.0,1154336.0
"Ecublens VD, Parc",8591953,DEPARTURE_REAL,9875.523184691318,,0 days 00:00:46.500000,2533217.0,1154336.0
"Ecublens VD, Croset",8591948,ARRIVAL_REAL,10160.467038809984,0 days 00:00:46.500000,,2533084.0,1154084.0
"Ecublens VD, Croset",8591948,DEPARTURE_REAL,10160.467038809984,,0 days 00:00:22,2533084.0,1154084.0
"Ecublens VD, place de sport",8591955,DEPARTURE_REAL,10365.066647802767,0 days 00:00:22,,2532890.0,1154149.0
"Ecublens VD, place de sport",8591955,ARRIVAL_REAL,10365.066647802767,,0 days 00:00:52,2532890.0,1154149.0
"Ecublens VD, Stand",8591957,DEPARTURE_REAL,10662.014454664512,0 days 00:00:52,,2532783.0,1153872.0
"Ecublens VD, Stand",8591957,ARRIVAL_REAL,10662.014454664512,,0 days 00:00:52,2532783.0,1153872.0
"Ecublens VD, Veilloud",8591960,DEPARTURE_REAL,10889.2434140865,0 days 00:00:52,,2532936.0,1153704.0
"Ecublens VD, Veilloud",8591960,ARRIVAL_REAL,10889.2434140865,,0 days 00:00:32,2532936.0,1153704.0
"Ecublens VD, Pontet",8588873,ARRIVAL_REAL,11090.365267697689,0 days 00:00:32,,2533051.0,1153539.0
"Ecublens VD, Pontet",8588873,DEPARTURE_REAL,11090.365267697689,,0 days 00:00:55.500000,2533051.0,1153539.0
"Ecublens VD, Villars",8591961,ARRIVAL_REAL,11467.195468185919,0 days 00:00:55.500000,,2532675.0,1153514.0
"Ecublens VD, Villars",8591961,DEPARTURE_REAL,11467.195468185919,,0 days 00:01:03,2532675.0,1153514.0
"Ecublens VD, Perrettes",8591954,ARRIVAL_REAL,11889.534194802363,0 days 00:01:03,,2532466.0,1153147.0
"Ecublens VD, Perrettes",8591954,DEPARTURE_REAL,11889.534194802363,,0 days 00:00:37.500000,2532466.0,1153147.0
"Ecublens VD, En Enjalin",8591949,ARRIVAL_REAL,12134.61377371501,0 days 00:00:37.500000,0 days 00:00:06,2532358.0,1152927.0
"Ecublens VD, En Enjalin",8591949,DEPARTURE_REAL,12134.61377371501,0 days 00:00:06,0 days 00:00:41.500000,2532358.0,1152927.0
"Ecublens VD, Renges",8591956,ARRIVAL_REAL,12393.43031105372,0 days 00:00:41.500000,0 days 00:00:17,2532177.0,1152742.0
"Ecublens VD, Renges",8591956,DEPARTURE_REAL,12393.43031105372,0 days 00:00:17,0 days 00:00:54,2532177.0,1152742.0
"Ecublens VD, Montaney",8594890,DEPARTURE_REAL,12832.686500537717,0 days 00:00:54,,2532022.0,1152331.0
"Ecublens VD, Montaney",8594890,ARRIVAL_REAL,12832.686500537717,,0 days 00:00:33.500000,2532022.0,1152331.0
"Ecublens VD, Champs-Courbes",8591959,ARRIVAL_REAL,13177.112109341708,0 days 00:00:33.500000,,2531812.0,1152058.0
"Ecublens VD, Champs-Courbes",8591959,DEPARTURE_REAL,13177.112109341708,,0 days 00:00:47,2531812.0,1152058.0
"St-Sulpice VD, Venoge nord",8594988,ARRIVAL_REAL,13619.708991391277,0 days 00:00:47,0 days 00:00:07,2531466.0,1151782.0
"St-Sulpice VD, Venoge nord",8594988,DEPARTURE_REAL,13619.708991391277,0 days 00:00:07,0 days 00:01:00,2531466.0,1151782.0
"St-Sulpice VD, Venoge sud",8579231,ARRIVAL_REAL,13742.713056364757,0 days 00:01:00,,2531519.0,1151671.0
"St-Sulpice VD, Venoge sud",8579231,DEPARTURE_REAL,13742.713056364757,,,2531519.0,1151671.0
