STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Renens VD, gare sud",8588983,ARRIVAL,0,,142,2534082,1154287
"Chavannes-R., Glycines",8593869,ARRIVAL,216,142,59,2533869,1154252
"Chavannes-R., Glycines",8593869,DEPARTURE,216,17,17,2533869,1154252
"Chavannes-R., Planta",8591933,ARRIVAL,574,59,22,2533594,1154023
"Chavannes-R., Planta",8591933,DEPARTURE,574,29,29,2533594,1154023
"Chavannes-R., Concorde",8593868,ARRIVAL,802,22,44,2533691,1153816
"Chavannes-R., Concorde",8593868,DEPARTURE,802,26,26,2533691,1153816
"Chavannes-R., Cèdres",8507227,ARRIVAL,1069,44,22,2533580,1153574
"Chavannes-R., Cèdres",8507227,DEPARTURE,1069,17,17,2533580,1153574
"Chavannes-R., Plaine",8593867,ARRIVAL,1250,22,69,2533535,1153398
"Chavannes-R., Plaine",8593867,DEPARTURE,1250,20,20,2533535,1153398
"Chavannes-R., Berges",8594986,ARRIVAL,1484,69,55,2533735,1153276
"Chavannes-R., Berges",8594986,DEPARTURE,1484,16,16,2533735,1153276
"Chavannes-R., Mouline",8594987,ARRIVAL,1851,55,114,2534069,1153126
"Chavannes-R., Mouline",8594987,DEPARTURE,1851,23,23,2534069,1153126
"Ecublens VD, UNIL-Sorge",8501213,ARRIVAL,2456,114,48,2533622,1152717
"Ecublens VD, UNIL-Sorge",8501213,DEPARTURE,2456,23,23,2533622,1152717
"Ecublens VD, Argand",8591944,ARRIVAL,2726,48,32634,2533488,1152483
"Ecublens VD, Argand",8591944,DEPARTURE,2726,19,19,2533488,1152483
"St-Sulpice VD, Pâqueret",8592227,ARRIVAL,3163,32634,81,2533389,1152057
"St-Sulpice VD, Pâqueret",8592227,DEPARTURE,3163,21,21,2533389,1152057
"St-Sulpice VD, Russel",8592226,ARRIVAL,3701,81,49,2532871,1151912
"St-Sulpice VD, Russel",8592226,DEPARTURE,3701,14,14,2532871,1151912
"St-Sulpice VD, Bochet",8588157,ARRIVAL,4096,49,71,2532528,1151716
"St-Sulpice VD, Bochet",8588157,DEPARTURE,4096,20,20,2532528,1151716
"St-Sulpice VD, centre",8588158,ARRIVAL,4474,71,55,2532419,1151355
"St-Sulpice VD, centre",8588158,DEPARTURE,4474,20,20,2532419,1151355
"St-Sulpice VD, Chantres",8588155,ARRIVAL,4827,55,37,2532069,1151404
"St-Sulpice VD, Chantres",8588155,DEPARTURE,4827,17,17,2532069,1151404
"St-Sulpice VD, Laviau",8588156,ARRIVAL,5068,37,99,2531846,1151495
"St-Sulpice VD, Laviau",8588156,DEPARTURE,5068,16,16,2531846,1151495
"St-Sulpice VD, Venoge sud",8579231,ARRIVAL,5439,99,,2531519,1151671
