STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Ecublens VD, Champs-Courbes",8591959,ARRIVAL,443,,60,2531812,1152058
"Ecublens VD, Montaney",8594890,ARRIVAL,787,60,60,2532022,1152331
"Ecublens VD, Renges",8591956,ARRIVAL,1226,60,,2532177,1152742
"Ecublens VD, En Enjalin",8591949,ARRIVAL,1485,,32600,2532358,1152927
"Ecublens VD, Perrettes",8591954,ARRIVAL,1730,32600,120,2532466,1153147
"Ecublens VD, Villars",8591961,ARRIVAL,2153,120,130,2532675,1153514
"Ecublens VD, Pontet",8588873,ARRIVAL,2529,130,60,2533051,1153539
"Ecublens VD, Veilloud",8591960,ARRIVAL,2730,60,98,2532936,1153704
"Ecublens VD, Stand",8591957,ARRIVAL,2958,98,67,2532783,1153872
"Ecublens VD, place de sport",8591955,ARRIVAL,3255,67,60,2532890,1154149
"Ecublens VD, Croset",8591948,ARRIVAL,3459,60,60,2533084,1154084
"Ecublens VD, Parc",8591953,ARRIVAL,3744,60,120,2533217,1154336
"Ecublens VD, Suchet-Forêt",8591958,ARRIVAL,4118,120,60,2533411,1154656
"Ecublens VD, Epenex/Pont-Bleu",8510721,ARRIVAL,4504,60,145,2533763,1154498
"Renens VD, gare sud",8588983,ARRIVAL,4887,145,120,2534082,1154287
"Renens VD, Censuy",8592209,ARRIVAL,5476,120,60,2534431,1153812
"Renens VD, Caudray",8592218,ARRIVAL,5643,60,32611,2534580,1153738
"Renens VD, Chêne",8592210,ARRIVAL,6081,32611,60,2534899,1153437
"Renens VD, rue du Lac",8592219,ARRIVAL,6328,60,93,2535061,1153251
"Renens VD, Longemalle",8592215,ARRIVAL,6718,93,131,2535392,1153045
"Lausanne, Malley",8501209,ARRIVAL,7202,131,110,2535848,1152880
"Prilly, Galicien",8592049,ARRIVAL,7657,110,132,2535968,1153319
"Prilly, Grand Vigne",8592180,ARRIVAL,8061,132,73,2535964,1153723
"Prilly, Flumeaux",8592179,ARRIVAL,8381,73,172,2535710,1153529
"Prilly, centre",8592173,ARRIVAL,9001,172,60,2536065,1154037
"Prilly, Chasseur",8592175,ARRIVAL,9521,60,60,2536176,1154545
"Prilly, Coudraie",8592176,ARRIVAL,9788,60,103,2536413,1154670
"Prilly, Mont-Goulin",8592187,ARRIVAL,10002,103,,2536517,1154484
