STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Prilly, Galicien",8592049,ARRIVAL,0,,145,2535968,1153319
"Lausanne, Malley",8501209,ARRIVAL,455,145,60,2535848,1152880
"Renens VD, Longemalle",8592215,ARRIVAL,940,60,60,2535392,1153045
"Renens VD, rue du Lac",8592219,ARRIVAL,1330,60,60,2535061,1153251
"Renens VD, Chêne",8592210,ARRIVAL,1576,60,132,2534899,1153437
"Renens VD, Caudray",8592218,ARRIVAL,2015,132,69,2534580,1153738
"Renens VD, Censuy",8592209,ARRIVAL,2181,69,64,2534431,1153812
"Chavannes-R., Préfaully",8593866,ARRIVAL,2578,64,108,2534059,1153950
"Chavannes-R., Concorde",8593868,ARRIVAL,2970,108,60,2533691,1153816
"Chavannes-R., Planta",8591933,ARRIVAL,3198,60,98,2533594,1154023
"Chavannes-R., Glycines",8593869,ARRIVAL,3556,98,121,2533869,1154252
"Renens VD, gare sud",8588983,ARRIVAL,3772,121,29668,2534082,1154287
"Renens VD, Avenir",8592202,ARRIVAL,4112,29668,60,2534348,1154499
"Renens VD, 14 Avril",8588839,ARRIVAL,4364,60,,2534113,1154587
"Crissier, Chicorée",8510421,ARRIVAL,4522,,60,2534111,1154746
"Crissier, Noutes",8588840,ARRIVAL,4830,60,98,2534099,1155053
"Crissier, scierie",8588841,ARRIVAL,5197,98,105,2534095,1155420
"Crissier, Bré",8588842,ARRIVAL,5605,105,60,2534093,1155828
"Crissier, centre",8588843,ARRIVAL,6002,60,107,2533922,1156187
"Crissier, Timonet",8588845,ARRIVAL,6344,107,126,2533672,1156420
"Villars-Ste-Croix, Croix Péage",8588846,ARRIVAL,7213,126,,2533051,1157027
"Villars-Ste-Croix, Colice",8595978,ARRIVAL,7377,,107,2533113,1157179
"Villars-Ste-Croix, Le Sansy",8588848,ARRIVAL,8006,107,60,2533042,1157804
"Villars-Ste-Croix, village",8588847,ARRIVAL,8283,60,240,2532765,1157793
"Mex VD, Faraz",8594270,ARRIVAL,9162,240,,2531907,1157602
