STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Lonay, parc",8592254,ARRIVAL,0,,90,2529262,1153429
"Lonay, église",8592250,ARRIVAL,378,90,30,2529572,1153213
"Lonay, église",8592250,DEPARTURE,378,5,5,2529572,1153213
"Lonay, collège nord",8595219,ARRIVAL,599,30,79,2529472,1153016
"Lonay, collège nord",8595219,DEPARTURE,599,5,5,2529472,1153016
"Lonay, gare",8595218,ARRIVAL,814,79,78,2529595,1152840
"Lonay, gare",8595218,DEPARTURE,814,4,4,2529595,1152840
"Préverenges, Capellan",8588898,ARRIVAL,1353,78,96,2529954,1152437
"Préverenges, Capellan",8588898,DEPARTURE,1353,4,4,2529954,1152437
"Préverenges, village",8579230,ARRIVAL,1602,96,100,2529987,1152190
"Préverenges, village",8579230,DEPARTURE,1602,15,15,2529987,1152190
"Denges, Pierraz-Mur",8592240,ARRIVAL,2431,100,73,2530776,1151938
"Denges, Pierraz-Mur",8592240,DEPARTURE,2431,13,13,2530776,1151938
"Denges, Sur les Moulins",8592241,ARRIVAL,2831,73,54,2531176,1151922
"Denges, Sur les Moulins",8592241,DEPARTURE,2831,6,6,2531176,1151922
"Denges, La Pale",8592239,ARRIVAL,3258,54,96,2531209,1152348
"Denges, La Pale",8592239,DEPARTURE,3258,6,6,2531209,1152348
"Denges, village",8592242,ARRIVAL,3761,96,67,2531088,1152836
"Denges, village",8592242,DEPARTURE,3761,6,6,2531088,1152836
"Denges, Les Oches",8588872,ARRIVAL,4093,67,86,2531179,1153156
"Denges, Les Oches",8588872,DEPARTURE,4093,5,5,2531179,1153156
"Echandens, collège",8595213,ARRIVAL,4783,86,61,2531135,1153844
"Echandens, collège",8595213,DEPARTURE,4783,5,5,2531135,1153844
"Echandens, centre",8588875,ARRIVAL,5035,61,48,2531142,1154096
"Echandens, centre",8588875,DEPARTURE,5035,6,6,2531142,1154096
"Echandens, Riaz",8592243,ARRIVAL,5267,48,67,2531227,1154312
"Echandens, Riaz",8592243,DEPARTURE,5267,5,5,2531227,1154312
"Echandens, Chocolatière",8592244,ARRIVAL,5628,67,142,2531588,1154297
"Echandens, Chocolatière",8592244,DEPARTURE,5628,7,7,2531588,1154297
"Ecublens VD, Larges Pièces",8592248,ARRIVAL,6444,142,91,2532232,1153796
"Ecublens VD, Larges Pièces",8592248,DEPARTURE,6444,5,5,2532232,1153796
"Ecublens VD, Villars",8591961,ARRIVAL,6969,91,43,2532675,1153514
"Ecublens VD, Villars",8591961,DEPARTURE,6969,6,6,2532675,1153514
"Ecublens VD, Cocarde",8591946,ARRIVAL,7150,43,47,2532620,1153341
"Ecublens VD, Cocarde",8591946,DEPARTURE,7150,5,5,2532620,1153341
"Ecublens VD, Motty",8591951,ARRIVAL,7398,47,46,2532705,1153108
"Ecublens VD, Motty",8591951,DEPARTURE,7398,5,5,2532705,1153108
"Ecublens VD, Coquerellaz",8591947,ARRIVAL,7575,46,136,2532646,1152941
"Ecublens VD, Coquerellaz",8591947,DEPARTURE,7575,5,5,2532646,1152941
"Ecublens VD, EPFL (bus)",8579233,ARRIVAL,8105,136,84,2533107,1152679
"Ecublens VD, EPFL (bus)",8579233,DEPARTURE,8105,9,9,2533107,1152679
"Ecublens VD, Argand",8591944,ARRIVAL,8534,84,79,2533488,1152483
"Ecublens VD, Argand",8591944,DEPARTURE,8534,6,6,2533488,1152483
"Ecublens VD, EPFL Piccard",8579234,ARRIVAL,8795,79,,2533227,1152483
