STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Lausanne, Bourdonnette",8501210,ARRIVAL,0,,101,2534868,1152794
"Ecublens VD, allée de Dorigny",8591950,ARRIVAL,658,101,43,2534284,1152491
"Ecublens VD, allée de Dorigny",8591950,DEPARTURE,658,8,8,2534284,1152491
"Ecublens VD, Blévallaire",8596053,ARRIVAL,1051,43,38,2533903,1152393
"Ecublens VD, Blévallaire",8596053,DEPARTURE,1051,8,8,2533903,1152393
"Ecublens VD, Champagne",8591945,ARRIVAL,1408,38,42,2533573,1152258
"Ecublens VD, Champagne",8591945,DEPARTURE,1408,7,7,2533573,1152258
"St-Sulpice VD, Pâqueret",8592227,ARRIVAL,1680,42,65,2533389,1152057
"St-Sulpice VD, Pâqueret",8592227,DEPARTURE,1680,9,9,2533389,1152057
"St-Sulpice VD, Parc Scient.",8595223,ARRIVAL,2207,65,30,2532863,1152073
"St-Sulpice VD, Parc Scient.",8595223,DEPARTURE,2207,8,8,2532863,1152073
"St-Sulpice VD, Pré-Fleuri",8510528,ARRIVAL,2493,30,64,2532618,1151924
"St-Sulpice VD, Pré-Fleuri",8510528,DEPARTURE,2493,6,6,2532618,1151924
"St-Sulpice VD, Ochettaz-Ormet",8510527,ARRIVAL,2851,64,51,2532296,1151770
"St-Sulpice VD, Ochettaz-Ormet",8510527,DEPARTURE,2851,7,7,2532296,1151770
"St-Sulpice VD, En Champagny",8510526,ARRIVAL,3363,51,38,2531784,1151773
"St-Sulpice VD, En Champagny",8510526,DEPARTURE,3363,7,7,2531784,1151773
"St-Sulpice VD, Castolin",8510525,ARRIVAL,3625,38,100,2531525,1151737
"St-Sulpice VD, Castolin",8510525,DEPARTURE,3625,9,9,2531525,1151737
"Denges, Pierraz-Mur",8592240,ARRIVAL,4400,100,94,2530776,1151938
"Denges, Pierraz-Mur",8592240,DEPARTURE,4400,11,11,2530776,1151938
"Préverenges, village",8579230,ARRIVAL,5228,94,76,2529987,1152190
"Préverenges, village",8579230,DEPARTURE,5228,12,12,2529987,1152190
"Préverenges, Taudaz",8592279,ARRIVAL,5887,76,62,2529331,1152250
"Préverenges, Taudaz",8592279,DEPARTURE,5887,11,11,2529331,1152250
"Morges, Bief",8592259,ARRIVAL,6311,62,38,2528912,1152181
"Morges, Bief",8592259,DEPARTURE,6311,7,7,2528912,1152181
"Morges, St-Jean sud",8592272,ARRIVAL,6571,38,67,2528655,1152144
"Morges, St-Jean sud",8592272,DEPARTURE,6571,10,10,2528655,1152144
"Morges, Blancherie",8592260,ARRIVAL,7059,67,63,2528220,1151923
"Morges, Blancherie",8592260,DEPARTURE,7059,11,11,2528220,1151923
"Morges, St-Louis",8592277,ARRIVAL,7533,63,58,2527951,1151533
"Morges, St-Louis",8592277,DEPARTURE,7533,14,14,2527951,1151533
"Morges, Charpentiers",8592262,ARRIVAL,7812,58,89,2527706,1151398
"Morges, Charpentiers",8592262,DEPARTURE,7812,14,14,2527706,1151398
"Morges, gare",8570084,ARRIVAL,7996,89,150,2527528,1151442
"Morges, gare",8570084,DEPARTURE,7996,69,69,2527528,1151442
"Morges, La Prairie",8592266,ARRIVAL,8556,150,84,2527004,1151243
"Morges, La Prairie",8592266,DEPARTURE,8556,8,8,2527004,1151243
"Morges, Eglantine",8592273,ARRIVAL,8954,84,50,2526774,1151568
"Morges, Eglantine",8592273,DEPARTURE,8954,11,11,2526774,1151568
"Morges, Vogéaz",8570081,ARRIVAL,9131,50,56,2526611,1151500
"Morges, Vogéaz",8570081,DEPARTURE,9131,8,8,2526611,1151500
"Morges, Prélionne",8592270,ARRIVAL,9397,56,116,2526400,1151338
"Morges, Prélionne",8592270,DEPARTURE,9397,6,6,2526400,1151338
"Tolochenaz, La Plantaz",8570082,ARRIVAL,9615,116,,2526220,1151214
