STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Lausanne, Bourdonnette",8501210,ARRIVAL,0,,120,2534868,1152794
"Lausanne, sports UNIL-EPFL",8595937,ARRIVAL,391,120,107,2534561,1152552
"Lausanne, Parc Bourget",8595939,ARRIVAL,1036,107,120,2535156,1152304
"Lausanne, Siège du CIO",8595934,ARRIVAL,1479,120,60,2535573,1152152
"Lausanne, Stade de Coubertin",8595935,ARRIVAL,1848,60,78,2535848,1151907
"Lausanne, Vidy-Port",8595938,ARRIVAL,2192,78,60,2536177,1151807
"Lausanne, Théâtre de Vidy",8592121,ARRIVAL,2547,60,120,2536530,1151767
"Lausanne, Bellerive",8591989,ARRIVAL,3075,120,60,2536967,1151471
"Lausanne, Pêcheurs",8592090,ARRIVAL,3362,60,120,2537175,1151272
"Lausanne, Ouchy-Olympique",8592086,ARRIVAL,3929,120,96,2537676,1151008
"Lausanne, Parc Musée Olympique",8595933,ARRIVAL,4409,96,120,2538156,1150989
"Lausanne, Tour Haldimand-Lac",8595936,ARRIVAL,5052,120,,2538756,1150758
