STOP_NAME,STOP_NUMBER,BUS_EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Ecublens VD, Stand",8591957,ARRIVAL,10662.014454664512,,0 days 00:01:00,2532783.0,1153872.0
"Ecublens VD, Veilloud",8591960,DEPARTURE,10889.2434140865,0 days 00:01:00,,2532936.0,1153704.0
"Ecublens VD, Veilloud",8591960,ARRIVAL,10889.2434140865,,0 days 00:01:00,2532936.0,1153704.0
"Ecublens VD, Pontet",8588873,DEPARTURE,11090.365267697689,0 days 00:01:00,,2533051.0,1153539.0
"Ecublens VD, Pontet",8588873,ARRIVAL,11090.365267697689,,0 days 00:01:00,2533051.0,1153539.0
"Ecublens VD, Villars",8591961,DEPARTURE,11467.195468185919,0 days 00:01:00,,2532675.0,1153514.0
"Ecublens VD, Villars",8591961,ARRIVAL,11467.195468185919,,0 days 00:01:00,2532675.0,1153514.0
"Ecublens VD, Perrettes",8591954,ARRIVAL,11889.534194802363,0 days 00:01:00,,2532466.0,1153147.0
"Ecublens VD, Perrettes",8591954,DEPARTURE,11889.534194802363,,0 days 00:01:00,2532466.0,1153147.0
"Ecublens VD, En Enjalin",8591949,ARRIVAL,12134.61377371501,0 days 00:01:00,,2532358.0,1152927.0
"Ecublens VD, En Enjalin",8591949,DEPARTURE,12134.61377371501,,0 days 00:01:00,2532358.0,1152927.0
"Ecublens VD, Renges",8591956,DEPARTURE,12393.43031105372,0 days 00:01:00,,2532177.0,1152742.0
"Ecublens VD, Renges",8591956,ARRIVAL,12393.43031105372,,0 days 00:01:00,2532177.0,1152742.0
"Ecublens VD, Montaney",8594890,DEPARTURE,12832.686500537717,0 days 00:01:00,,2532022.0,1152331.0
"Ecublens VD, Montaney",8594890,ARRIVAL,12832.686500537717,,,2532022.0,1152331.0
"Ecublens VD, Champs-Courbes",8591959,ARRIVAL,13177.112109341708,,,2531812.0,1152058.0
"Ecublens VD, Champs-Courbes",8591959,DEPARTURE,13177.112109341708,,0 days 00:02:00,2531812.0,1152058.0
"St-Sulpice VD, Venoge nord",8594988,ARRIVAL,13619.708991391277,0 days 00:02:00,,2531466.0,1151782.0
"St-Sulpice VD, Venoge nord",8594988,DEPARTURE,13619.708991391277,,0 days 00:01:00,2531466.0,1151782.0
"St-Sulpice VD, Venoge sud",8579231,ARRIVAL,13742.713056364757,0 days 00:01:00,,2531519.0,1151671.0
"St-Sulpice VD, Venoge sud",8579231,DEPARTURE,13742.713056364757,,,2531519.0,1151671.0
