STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Lausanne, Blécherette",8591994,ARRIVAL,0,,90,2537294,1154878
"Lausanne, Bois-Gentil",8591996,ARRIVAL,407,90,32,2537375,1154479
"Lausanne, Bois-Gentil",8591996,DEPARTURE,407,31,31,2537375,1154479
"Lausanne, Parc Vélodrome",8592088,ARRIVAL,723,32,32,2537488,1154184
"Lausanne, Parc Vélodrome",8592088,DEPARTURE,723,20,20,2537488,1154184
"Lausanne, Stade Olympique",8592116,ARRIVAL,1024,32,96,2537662,1153939
"Lausanne, Stade Olympique",8592116,DEPARTURE,1024,26,26,2537662,1153939
"Lausanne, casernes",8592003,ARRIVAL,1315,96,43,2537827,1153699
"Lausanne, casernes",8592003,DEPARTURE,1315,23,23,2537827,1153699
"Lausanne, Druey",8592033,ARRIVAL,1525,43,33,2537780,1153494
"Lausanne, Druey",8592033,DEPARTURE,1525,17,17,2537780,1153494
"Lausanne, Druey-Collège",8592034,ARRIVAL,1796,33,88,2537996,1153331
"Lausanne, Druey-Collège",8592034,DEPARTURE,1796,27,27,2537996,1153331
"Lausanne, Valentin",8592125,ARRIVAL,2228,88,23,2538052,1152903
"Lausanne, Valentin",8592125,DEPARTURE,2228,10208,10208,2538052,1152903
"Lausanne, Riponne-M. Béjart",8590442,ARRIVAL,2401,23,129,2538107,1152738
"Lausanne, Riponne-M. Béjart",8590442,DEPARTURE,2401,57,57,2538107,1152738
"Lausanne, Bel-Air",8591988,ARRIVAL,2644,129,119,2537880,1152653
"Lausanne, Bel-Air",8591988,DEPARTURE,2644,51,51,2537880,1152653
"Lausanne, St-François",8579254,ARRIVAL,3113,119,79,2538215,1152325
"Lausanne, St-François",8579254,DEPARTURE,3113,56,56,2538215,1152325
"Lausanne, Georgette",8592051,ARRIVAL,3508,79,135,2538569,1152150
"Lausanne, Georgette",8592051,DEPARTURE,3508,63,63,2538569,1152150
"Lausanne, gare",8592050,ARRIVAL,4158,135,117,2537919,1152132
"Lausanne, gare",8592050,DEPARTURE,4158,47,47,2537919,1152132
"Lausanne, Epinettes",8592040,ARRIVAL,4519,117,34,2537608,1151949
"Lausanne, Epinettes",8592040,DEPARTURE,4519,37,37,2537608,1151949
"Lausanne, Dapples",8592027,ARRIVAL,4650,34,67,2537591,1151819
"Lausanne, Dapples",8592027,DEPARTURE,4650,19,19,2537591,1151819
"Lausanne, jardin botanique",8591985,ARRIVAL,4953,67,62,2537407,1151579
"Lausanne, jardin botanique",8591985,DEPARTURE,4953,23,23,2537407,1151579
"Lausanne, Cèdres",8592005,ARRIVAL,5341,62,36,2537110,1151830
"Lausanne, Cèdres",8592005,DEPARTURE,5341,27,27,2537110,1151830
"Lausanne, Riant-Cour",8592110,ARRIVAL,5596,36,46,2536871,1151918
"Lausanne, Riant-Cour",8592110,DEPARTURE,5596,20,20,2536871,1151918
"Lausanne, Batelière",8591983,ARRIVAL,5847,46,17229,2536637,1152009
"Lausanne, Batelière",8591983,DEPARTURE,5847,21,21,2536637,1152009
"Lausanne, Montoie",8592080,ARRIVAL,6246,17229,72,2536302,1152226
"Lausanne, Montoie",8592080,DEPARTURE,6246,28,28,2536302,1152226
"Lausanne, Maladière",8592068,ARRIVAL,6507,72,133,2536059,1152132
"Lausanne, Maladière",8592068,DEPARTURE,6507,19,19,2536059,1152132
"Lausanne, Bois de Vaux",8591995,ARRIVAL,6992,133,52,2535630,1152359
"Lausanne, Bois de Vaux",8591995,DEPARTURE,6992,23,23,2535630,1152359
"Lausanne, Sablons",8592114,ARRIVAL,7444,52,188,2535323,1152691
"Lausanne, Sablons",8592114,DEPARTURE,7444,24,24,2535323,1152691
"Ecublens VD, allée de Dorigny",8591950,ARRIVAL,8502,188,38,2534284,1152491
"Ecublens VD, allée de Dorigny",8591950,DEPARTURE,8502,18,18,2534284,1152491
"Ecublens VD, Blévallaire",8596053,ARRIVAL,8895,38,36,2533903,1152393
"Ecublens VD, Blévallaire",8596053,DEPARTURE,8895,18,18,2533903,1152393
"Ecublens VD, Champagne",8591945,ARRIVAL,9253,36,33,2533573,1152258
"Ecublens VD, Champagne",8591945,DEPARTURE,9253,19,19,2533573,1152258
"St-Sulpice VD, Pâqueret",8592227,ARRIVAL,9525,33,58,2533389,1152057
"St-Sulpice VD, Pâqueret",8592227,DEPARTURE,9525,18,18,2533389,1152057
"St-Sulpice VD, Parc Scient.",8595223,ARRIVAL,10051,58,24,2532863,1152073
"St-Sulpice VD, Parc Scient.",8595223,DEPARTURE,10051,18,18,2532863,1152073
"St-Sulpice VD, Pré-Fleuri",8510528,ARRIVAL,10337,24,104,2532618,1151924
"St-Sulpice VD, Pré-Fleuri",8510528,DEPARTURE,10337,15,15,2532618,1151924
"Ecublens VD, EPFL/Colladon",8510727,ARRIVAL,10729,104,,2532850,1152240
