STOP_NAME,STOP_NUMBER,EVENT,DISTANCE,TIME_A,TIME_R,POSITION_X,POSTION_Y
"Pully, gare",8588445,ARRIVAL,0,,57,2540150,1151300
"Pully, Joliette",8592182,ARRIVAL,432,57,51,2539720,1151257
"Pully, Joliette",8592182,DEPARTURE,432,19,19,2539720,1151257
"Pully, C. F. Ramuz",8592172,ARRIVAL,822,51,45,2539332,1151221
"Pully, C. F. Ramuz",8592172,DEPARTURE,822,18,18,2539332,1151221
"Pully, Pierraz-Portay",8592193,ARRIVAL,1183,45,27,2538971,1151206
"Pully, Pierraz-Portay",8592193,DEPARTURE,1183,17,17,2538971,1151206
"Pully, Métairie",8592186,ARRIVAL,1402,27,57,2538767,1151286
"Pully, Métairie",8592186,DEPARTURE,1402,15,15,2538767,1151286
"Lausanne, Montchoisi",8592077,ARRIVAL,1716,57,42,2538477,1151406
"Lausanne, Montchoisi",8592077,DEPARTURE,1716,22,22,2538477,1151406
"Lausanne, Musée Olympique",8592084,ARRIVAL,1936,42,31,2538334,1151239
"Lausanne, Musée Olympique",8592084,DEPARTURE,1936,19,19,2538334,1151239
"Lausanne, Elysée",8592039,ARRIVAL,2193,31,59,2538118,1151378
"Lausanne, Elysée",8592039,DEPARTURE,2193,20,20,2538118,1151378
"Lausanne, Délices",8592028,ARRIVAL,2548,59,71,2537789,1151513
"Lausanne, Délices",8592028,DEPARTURE,2548,32,32,2537789,1151513
"Lausanne, jardin botanique",8591985,ARRIVAL,2936,71,59,2537407,1151579
"Lausanne, jardin botanique",8591985,DEPARTURE,2936,24,24,2537407,1151579
"Lausanne, Cèdres",8592005,ARRIVAL,3325,59,38,2537110,1151830
"Lausanne, Cèdres",8592005,DEPARTURE,3325,29,29,2537110,1151830
"Lausanne, Riant-Cour",8592110,ARRIVAL,3580,38,23242,2536871,1151918
"Lausanne, Riant-Cour",8592110,DEPARTURE,3580,19,19,2536871,1151918
"Lausanne, Batelière",8591983,ARRIVAL,3831,23242,48,2536637,1152009
"Lausanne, Batelière",8591983,DEPARTURE,3831,21,21,2536637,1152009
"Lausanne, Figuiers",8592044,ARRIVAL,4015,48,38,2536461,1152063
"Lausanne, Figuiers",8592044,DEPARTURE,4015,19,19,2536461,1152063
"Lausanne, Maladière-Figuiers",8593837,ARRIVAL,4363,38,92,2536113,1152075
"Lausanne, Maladière-Figuiers",8593837,DEPARTURE,4363,23,23,2536113,1152075
"Lausanne, Bois de Vaux",8591995,ARRIVAL,4923,92,49,2535630,1152359
"Lausanne, Bois de Vaux",8591995,DEPARTURE,4923,25,25,2535630,1152359
"Lausanne, Sablons",8592114,ARRIVAL,5376,49,131,2535323,1152691
"Lausanne, Sablons",8592114,DEPARTURE,5376,22,22,2535323,1152691
"Lausanne, Bourdonnette nord",8595521,ARRIVAL,5949,131,55,2534825,1152975
"Lausanne, Bourdonnette nord",8595521,DEPARTURE,5949,34,34,2534825,1152975
"Chavannes-R., Dorigny",8595602,ARRIVAL,6406,55,60,2534420,1153187
"Chavannes-R., Dorigny",8595602,DEPARTURE,6406,23,23,2534420,1153187
"Chavannes-R., Talluchet",8510422,ARRIVAL,6620,60,41,2534387,1153398
"Chavannes-R., Talluchet",8510422,DEPARTURE,6620,17,17,2534387,1153398
"Renens VD, piscine",8595534,ARRIVAL,6859,41,38,2534529,1153591
"Renens VD, piscine",8595534,DEPARTURE,6859,19,19,2534529,1153591
"Renens VD, Censuy",8592209,ARRIVAL,7101,38,111,2534431,1153812
"Renens VD, Censuy",8592209,DEPARTURE,7101,21,21,2534431,1153812
"Renens VD, gare sud",8588983,ARRIVAL,7690,111,55,2534082,1154287
"Renens VD, gare sud",8588983,DEPARTURE,7690,27,27,2534082,1154287
"Chavannes-R., Glycines",8593869,ARRIVAL,7906,55,,2533869,1154252
