  index  ; St-Sulpice VD, Venoge sud ; St-Sulpice VD, Venoge nord ; Ecublens VD, Champs-Courbes ; St-Sulpice VD, Laviau ; Ecublens VD, Montaney ; St-Sulpice VD, Chantres ; Ecublens VD, Renges ; Ecublens VD, En Enjalin ; St-Sulpice VD, centre ; Ecublens VD, Perrettes ; Ecublens VD, Villars ; St-Sulpice VD, Bochet ; Ecublens VD, Pontet ; Ecublens VD, Veilloud ; St-Sulpice VD, Russel ; Ecublens VD, Stand ; Ecublens VD, place de sport ; Ecublens VD, Croset ; Ecublens VD, Parc ; St-Sulpice VD, Pâqueret ; Ecublens VD, Campus des médias ; Ecublens VD, Suchet-Forêt ; Ecublens VD, Epenex/Pont-Bleu ; Ecublens VD, Argand ; Renens VD, gare sud ; Ecublens VD, UNIL-Sorge ; Chavannes-R., Glycines ; Chavannes-R., Planta ; Chavannes-R., Concorde ; Chavannes-R., Préfaully ; Chavannes-R., Mouline ; Renens VD, Censuy ; Renens VD, Caudray ; Chavannes-R., Berges ; Renens VD, Chêne ; Renens VD, rue du Lac ; Renens VD, Longemalle ; Chavannes-R., Dorigny ; Lausanne, Malley ; Lausanne, Bourdonnette nord ; Lausanne, Bourdonnette ; Lausanne, Sablons ; Lausanne, Bois de Vaux ; Lausanne, Maladière-Figuiers ; Lausanne, Figuiers ; Lausanne, Montoie ; Lausanne, Montelly ; Lausanne, Belvédère ; Lausanne, Tivoli ; Lausanne, Chauderon ; Lausanne, Bel-Air ; Lausanne, St-François ; Count ; Direction 
  Route_A;                        Yes;                            ;                             ;                    Yes;                       ;                      Yes;                     ;                         ;                    Yes;                        ;                      ;                    Yes;                     ;                       ;                    Yes;                    ;                             ;                     ;                   ;                      Yes;                             Yes;                           ;                               ;                  Yes;                     ;                      Yes;                        ;                      ;                        ;                         ;                    Yes;                   ;                    ;                   Yes;                  ;                       ;                       ;                    Yes;                  ;                          Yes;                        ;                Yes;                     Yes;                           Yes;                 Yes;                Yes;                    ;                  Yes;               Yes;                  Yes;                Yes;                    Yes;      3;          O
  Route_B;                        Yes;                         Yes;                          Yes;                       ;                    Yes;                         ;                  Yes;                      Yes;                       ;                     Yes;                   Yes;                       ;                  Yes;                    Yes;                       ;                 Yes;                          Yes;                  Yes;                Yes;                         ;                                ;                        Yes;                            Yes;                     ;                  Yes;                         ;                     Yes;                   Yes;                     Yes;                      Yes;                       ;                Yes;                 Yes;                      ;               Yes;                    Yes;                    Yes;                       ;               Yes;                             ;                     Yes;                Yes;                     Yes;                           Yes;                 Yes;                Yes;                 Yes;                  Yes;               Yes;                  Yes;                Yes;                    Yes;      3;          R
