           STOP_NAME            ; STOP_NUMBER ;     EVENT      ;     85:151:7069     ;     85:151:7070     ;     85:151:7072     ;     85:151:7073     ;     85:151:7075     ;     85:151:7076     
  Ecublens VD, Campus des médias;      8511813;  DEPARTURE_REAL;                     ;  2025-04-01 01:48:37;                     ;  2025-04-01 03:40:20;                     ;  2025-04-01 05:04:20
       Ecublens VD, Suchet-Forêt;      8591958;    ARRIVAL_REAL;  2025-04-01 01:29:26;                     ;  2025-04-01 02:41:52;                     ;  2025-04-01 04:45:00;                     
       Ecublens VD, Suchet-Forêt;      8591958;  DEPARTURE_REAL;  2025-04-01 01:29:46;                     ;  2025-04-01 02:41:52;                     ;  2025-04-01 04:45:00;                     
   Ecublens VD, Epenex/Pont-Bleu;      8510721;    ARRIVAL_REAL;  2025-04-01 01:28:36;                     ;  2025-04-01 02:41:17;                     ;  2025-04-01 04:44:25;                     
   Ecublens VD, Epenex/Pont-Bleu;      8510721;  DEPARTURE_REAL;  2025-04-01 01:28:46;                     ;  2025-04-01 02:41:17;                     ;  2025-04-01 04:44:25;                     
             Ecublens VD, Argand;      8591944;    ARRIVAL_REAL;                     ;  2025-04-01 01:49:45;                     ;  2025-04-01 03:41:24;                     ;  2025-04-01 05:05:24
             Ecublens VD, Argand;      8591944;  DEPARTURE_REAL;                     ;  2025-04-01 01:49:45;                     ;  2025-04-01 03:41:24;                     ;  2025-04-01 05:05:24
             Renens VD, gare sud;      8588983;    ARRIVAL_REAL;  2025-04-01 01:27:52;                     ;  2025-04-01 02:40:52;                     ;  2025-04-01 04:44:00;                     
             Renens VD, gare sud;      8588983;  DEPARTURE_REAL;  2025-04-01 01:28:35;                     ;  2025-04-01 02:40:52;                     ;  2025-04-01 04:44:00;                     
         Ecublens VD, UNIL-Sorge;      8501213;    ARRIVAL_REAL;                     ;  2025-04-01 01:50:25;                     ;  2025-04-01 03:42:00;                     ;  2025-04-01 05:06:00
         Ecublens VD, UNIL-Sorge;      8501213;  DEPARTURE_REAL;                     ;  2025-04-01 01:50:25;                     ;  2025-04-01 03:42:00;                     ;  2025-04-01 05:06:00
          Chavannes-R., Glycines;      8593869;    ARRIVAL_REAL;  2025-04-01 01:26:23;                     ;  2025-04-01 02:39:25;                     ;  2025-04-01 04:42:32;                     
          Chavannes-R., Glycines;      8593869;  DEPARTURE_REAL;  2025-04-01 01:26:25;                     ;  2025-04-01 02:39:25;                     ;  2025-04-01 04:42:32;                     
            Chavannes-R., Planta;      8591933;    ARRIVAL_REAL;  2025-04-01 01:25:34;                     ;  2025-04-01 02:38:30;                     ;  2025-04-01 04:41:37;                     
            Chavannes-R., Planta;      8591933;  DEPARTURE_REAL;  2025-04-01 01:25:34;                     ;  2025-04-01 02:38:30;                     ;  2025-04-01 04:41:37;                     
          Chavannes-R., Concorde;      8593868;    ARRIVAL_REAL;  2025-04-01 01:25:01;                     ;  2025-04-01 02:37:52;                     ;  2025-04-01 04:41:00;                     
          Chavannes-R., Concorde;      8593868;  DEPARTURE_REAL;  2025-04-01 01:25:01;                     ;  2025-04-01 02:37:52;                     ;  2025-04-01 04:41:00;                     
         Chavannes-R., Préfaully;      8593866;    ARRIVAL_REAL;  2025-04-01 01:23:28;                     ;  2025-04-01 02:36:26;                     ;  2025-04-01 04:39:33;                     
         Chavannes-R., Préfaully;      8593866;  DEPARTURE_REAL;  2025-04-01 01:23:40;                     ;  2025-04-01 02:36:26;                     ;  2025-04-01 04:39:33;                     
           Chavannes-R., Mouline;      8594987;    ARRIVAL_REAL;                     ;  2025-04-01 01:52:08;                     ;  2025-04-01 03:44:00;                     ;  2025-04-01 05:08:00
           Chavannes-R., Mouline;      8594987;  DEPARTURE_REAL;                     ;  2025-04-01 01:52:08;                     ;  2025-04-01 03:44:00;                     ;  2025-04-01 05:08:00
               Renens VD, Censuy;      8592209;    ARRIVAL_REAL;  2025-04-01 01:22:06;                     ;  2025-04-01 02:34:52;                     ;  2025-04-01 04:38:00;                     
