  index  ; St-Sulpice VD, Venoge sud ; St-Sulpice VD, Laviau ; St-Sulpice VD, Chantres ; St-Sulpice VD, centre ; St-Sulpice VD, Bochet ; St-Sulpice VD, Russel ; St-Sulpice VD, Pâqueret ; Ecublens VD, Campus des médias ; Ecublens VD, Argand ; Ecublens VD, UNIL-Sorge ; Chavannes-R., Mouline ; Chavannes-R., Berges ; Chavannes-R., Plaine ; Chavannes-R., Cèdres ; Chavannes-R., Concorde ; Chavannes-R., Planta ; Chavannes-R., Glycines ; Renens VD, gare sud ; Count ; Direction 
  Route_A;                        Yes;                    Yes;                      Yes;                    Yes;                    Yes;                    Yes;                      Yes;                                ;                  Yes;                      Yes;                    Yes;                   Yes;                   Yes;                   Yes;                     Yes;                   Yes;                     Yes;                  Yes;     77;          R
  Route_B;                        Yes;                    Yes;                      Yes;                    Yes;                    Yes;                    Yes;                      Yes;                             Yes;                  Yes;                      Yes;                    Yes;                   Yes;                   Yes;                   Yes;                     Yes;                   Yes;                     Yes;                  Yes;     77;          O
